 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    drift    0.00000E+00    0.36296E+04    0.91368E+04    0.91368E+04
    2    quad     0.00000E+00    0.28274E+03    0.91368E+04    0.91368E+04
    3    drift    0.00000E+00    0.78930E+02    0.91368E+04    0.91368E+04
    4    quad     0.00000E+00    0.28274E+03    0.91368E+04    0.91368E+04
    5    drift    0.00000E+00    0.12577E+03    0.91368E+04    0.91368E+04
    6    quad     0.00000E+00    0.23561E+03    0.91368E+04    0.91368E+04
    7    drift    0.00000E+00    0.94245E+03    0.91368E+04    0.91368E+04
    8    drift    0.00000E+00    0.22421E+04    0.91368E+04    0.91368E+04
