n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn95.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn95.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn95.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.913684E+01  -0.135020E-04   0.194325E+00   0.200471E+00   0.503520E+00   0.514843E+00   0.525622E+01   0.139685E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.272691E+02        0.360495E+02        0.552906E+02     0.306715E-05   0.587097E-06   0.730960E-06   0.103948E-03   0.140406E+00  -0.115961E-03  -0.475875E+00   0.166291E+00  -0.491052E+00   0.174908E+00   0.108560E+00      0.942554E+01     0.000000E+00    0.100100E+04
   1  drift  0.385127E+01   0.913684E+01  -0.135019E-04   0.607794E+00   0.607392E+00   0.148375E+01   0.158322E+01   0.118147E+02   0.325300E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.272692E+02        0.362143E+02        0.550369E+02     0.329326E-05   0.587097E-06   0.407641E-04   0.103948E-03   0.140406E+00   0.485205E-01  -0.331632E+01   0.162677E+01  -0.322388E+01   0.160563E+01   0.202778E+01      0.476214E+02     0.000000E+00    0.100100E+04
   2  quad   0.415127E+01   0.913684E+01  -0.135019E-04   0.554016E+00   0.739666E+00   0.134536E+01   0.192605E+01   0.125201E+02   0.344685E+02   0.560934E-02      0.127595E+00        0.164986E+00        0.232375E+00        0.129138E+00        0.160873E+00        0.236579E+00        0.272694E+02        0.362596E+02        0.550222E+02    -0.756767E-05  -0.694689E-03   0.583202E-04   0.110881E-02   0.140406E+00   0.560152E-01   0.115432E+02   0.135101E+01  -0.251509E+02   0.237938E+01   0.217727E+01      0.534775E+02     0.000000E+00    0.100100E+04
   3  drift  0.423502E+01   0.913684E+01  -0.135019E-04   0.514383E+00   0.805151E+00   0.124659E+01   0.209613E+01   0.127186E+02   0.350096E+02   0.560934E-02      0.127595E+00        0.164986E+00        0.232375E+00        0.129138E+00        0.160873E+00        0.236579E+00        0.272695E+02        0.363132E+02        0.550200E+02    -0.133857E-04  -0.694689E-03   0.676065E-04   0.110881E-02   0.140406E+00   0.602495E-01   0.107110E+02   0.116463E+01  -0.273810E+02   0.281934E+01   0.221900E+01      0.551867E+02     0.000000E+00    0.100100E+04
   4  quad   0.453502E+01   0.913684E+01  -0.135019E-04   0.505840E+00   0.809822E+00   0.123042E+01   0.210646E+01   0.134347E+02   0.369481E+02   0.560934E-02      0.127542E+00        0.164318E+00        0.235413E+00        0.129752E+00        0.162079E+00        0.233207E+00        0.272697E+02        0.363034E+02        0.550052E+02    -0.235263E-04  -0.117875E-04   0.626114E-04  -0.142989E-02   0.140406E+00   0.673604E-01  -0.921199E+01   0.112673E+01   0.263677E+02   0.283865E+01   0.236848E+01      0.615755E+02     0.000000E+00    0.100100E+04
   5  drift  0.466848E+01   0.913684E+01  -0.135019E-04   0.561063E+00   0.709446E+00   0.137018E+01   0.184423E+01   0.137556E+02   0.378104E+02   0.560934E-02      0.127542E+00        0.164318E+00        0.235413E+00        0.129752E+00        0.162079E+00        0.233207E+00        0.272698E+02        0.362458E+02        0.550012E+02    -0.236836E-04  -0.117875E-04   0.435293E-04  -0.142989E-02   0.140406E+00   0.734895E-01  -0.102289E+02   0.138617E+01   0.230944E+02   0.217857E+01   0.243497E+01      0.645511E+02     0.000000E+00    0.100100E+04
   6  quad   0.491848E+01   0.913684E+01  -0.135019E-04   0.595599E+00   0.599504E+00   0.146302E+01   0.155583E+01   0.143599E+02   0.394257E+02   0.560934E-02      0.127561E+00        0.164384E+00        0.233168E+00        0.129289E+00        0.160531E+00        0.234010E+00        0.272700E+02        0.362378E+02        0.549891E+02    -0.293372E-04  -0.440183E-03   0.179924E-04  -0.664155E-03   0.140406E+00   0.794599E-01   0.375542E+01   0.156183E+01   0.376859E+01   0.156124E+01   0.255953E+01      0.703474E+02     0.000000E+00    0.100100E+04
   7  drift  0.829744E+01   0.913684E+01  -0.135019E-04   0.170525E+00   0.170446E+00   0.428268E+00   0.438732E+00   0.227821E+02   0.638646E+02   0.560934E-02      0.127561E+00        0.164384E+00        0.233168E+00        0.129289E+00        0.160531E+00        0.234010E+00        0.272728E+02        0.362304E+02        0.548115E+02    -0.178073E-03  -0.440183E-03  -0.206423E-03  -0.664155E-03   0.140406E+00   0.123936E+00   0.487908E+00   0.128028E+00   0.478382E+00   0.126200E+00   0.424293E+01      0.177046E+03     0.000000E+00    0.100100E+04
