n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.667000E+01  -0.132249E-06   0.229411E+00   0.228416E+00   0.553530E+00   0.547208E+00   0.102766E+03   0.179990E+03   0.583668E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.366591E+03        0.478316E+03        0.564052E+03     0.173030E-06   0.142400E-05  -0.527927E-07   0.190218E-05   0.119885E+00   0.684029E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.126414E-01      0.176083E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.667000E+01  -0.132249E-06   0.229411E+00   0.228416E+00   0.553530E+00   0.547208E+00   0.104272E+03   0.179980E+03   0.583668E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.413313E+02        0.531798E+02        0.627120E+02     0.173030E-06   0.142400E-05  -0.527927E-07   0.190218E-05   0.119885E+00   0.144866E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.796607E-02      0.178655E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.667000E+01  -0.132249E-06   0.224546E+00   0.224573E+00   0.538314E+00   0.541973E+00   0.104271E+03   0.179993E+03   0.583668E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.413308E+02        0.532655E+02        0.628131E+02     0.251635E-06   0.142400E-05   0.522077E-07   0.190218E-05   0.119885E+00   0.146435E+00  -0.137241E+00   0.144518E+00  -0.149047E+00   0.145111E+00  -0.789483E-02      0.178653E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.667000E+01  -0.132249E-06   0.225746E+00   0.225859E+00   0.543360E+00   0.544494E+00   0.104271E+03   0.179986E+03   0.583668E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.413308E+02        0.532655E+02        0.628131E+02     0.258755E-06   0.142400E-05   0.617186E-07   0.190218E-05   0.119885E+00   0.146577E+00  -0.172490E+00   0.146066E+00  -0.184269E+00   0.146778E+00  -0.774239E-02      0.178653E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.667000E+01  -0.132249E-06   0.263760E+00   0.209058E+00   0.636985E+00   0.494563E+00   0.104270E+03   0.179979E+03   0.583668E-03      0.167309E+00        0.226560E+00        0.249791E+00        0.166662E+00        0.225031E+00        0.248379E+00        0.413304E+02        0.532142E+02        0.629009E+02     0.338457E-06   0.504603E-05   0.626257E-08  -0.668736E-05   0.119885E+00   0.183737E+00  -0.213095E+01   0.199398E+00   0.955977E+00   0.125754E+00  -0.818685E-02      0.178652E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.667000E+01  -0.132249E-06   0.292247E+00   0.193880E+00   0.703302E+00   0.461011E+00   0.104270E+03   0.179999E+03   0.583668E-03      0.167309E+00        0.226560E+00        0.249791E+00        0.166662E+00        0.225031E+00        0.248379E+00        0.413301E+02        0.531945E+02        0.629521E+02     0.388917E-06   0.504603E-05  -0.606110E-07  -0.668736E-05   0.119885E+00   0.184576E+00  -0.240884E+01   0.244796E+00   0.803783E+00   0.108156E+00  -0.870007E-02      0.178652E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.667000E+01  -0.132249E-06   0.271750E+00   0.223235E+00   0.651464E+00   0.531685E+00   0.104269E+03   0.179999E+03   0.583668E-03      0.167311E+00        0.226410E+00        0.249350E+00        0.166668E+00        0.225047E+00        0.248397E+00        0.413297E+02        0.532333E+02        0.629980E+02     0.336961E-06  -0.890272E-05   0.803853E-07   0.197406E-04   0.119885E+00   0.114464E+00   0.344657E+01   0.211660E+00  -0.249439E+01   0.143382E+00  -0.905673E-02      0.178652E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.667000E+01  -0.132249E-06   0.227862E+00   0.262532E+00   0.543682E+00   0.627989E+00   0.104269E+03   0.179968E+03   0.583668E-03      0.167311E+00        0.226410E+00        0.249350E+00        0.166668E+00        0.225047E+00        0.248397E+00        0.413295E+02        0.532667E+02        0.630375E+02     0.247934E-06  -0.890272E-05   0.277791E-06   0.197406E-04   0.119885E+00   0.152607E+00   0.283810E+01   0.148813E+00  -0.299807E+01   0.198307E+00  -0.917442E-02      0.178651E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.667000E+01  -0.132249E-06   0.162694E+00   0.308013E+00   0.397204E+00   0.739226E+00   0.104268E+03   0.179997E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413290E+02        0.532904E+02        0.631403E+02     0.850993E-07  -0.440084E-05   0.336517E-06  -0.169244E-04   0.119885E+00   0.263059E+00   0.445932E+00   0.758665E-01   0.406083E+00   0.272979E+00  -0.944026E-02      0.178650E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.667000E+01  -0.132249E-06   0.158276E+00   0.305774E+00   0.386027E+00   0.734542E+00   0.104268E+03   0.179986E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413290E+02        0.532904E+02        0.631403E+02     0.630951E-07  -0.440084E-05   0.251895E-06  -0.169244E-04   0.119885E+00   0.263259E+00   0.366921E+00   0.718023E-01   0.384746E+00   0.269025E+00  -0.928784E-02      0.178650E+04     0.000000E+00    0.100010E+05
  10  drift  0.196900E+01   0.667000E+01  -0.132249E-06   0.151923E+00   0.292712E+00   0.368604E+00   0.708422E+00   0.104266E+03   0.179996E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413281E+02        0.532932E+02        0.632936E+02    -0.984157E-07  -0.440084E-05  -0.369231E-06  -0.169244E-04   0.119885E+00   0.300720E+00  -0.213018E+00   0.661540E-01   0.228133E+00   0.246532E+00  -0.103955E-01      0.178649E+04     0.000000E+00    0.100010E+05
  11  slit   0.196900E+01   0.667000E+01  -0.132249E-06   0.151923E+00   0.292712E+00   0.368604E+00   0.708422E+00   0.104266E+03   0.179996E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413281E+02        0.532932E+02        0.632936E+02    -0.984157E-07  -0.440084E-05  -0.369231E-06  -0.169244E-04   0.119885E+00   0.300720E+00  -0.213018E+00   0.661540E-01   0.228133E+00   0.246532E+00  -0.103955E-01      0.178649E+04     0.000000E+00    0.100010E+05
  12  drift  0.231900E+01   0.667000E+01  -0.132249E-06   0.187181E+00   0.286264E+00   0.449463E+00   0.698384E+00   0.104265E+03   0.179985E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413273E+02        0.532742E+02        0.626019E+02    -0.252445E-06  -0.440084E-05  -0.961584E-06  -0.169244E-04   0.119885E+00   0.374110E+00  -0.766094E+00   0.100423E+00   0.787752E-01   0.235790E+00  -0.107572E-01      0.178648E+04     0.000000E+00    0.100010E+05
  13  drift  0.266900E+01   0.667000E+01  -0.132249E-06   0.245968E+00   0.286090E+00   0.592613E+00   0.694335E+00   0.104264E+03   0.179944E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413270E+02        0.531736E+02        0.626308E+02    -0.406474E-06  -0.440084E-05  -0.155394E-05  -0.169244E-04   0.119885E+00   0.267518E+00  -0.131917E+01   0.173407E+00  -0.705830E-01   0.235503E+00  -0.107454E-01      0.178646E+04     0.000000E+00    0.100010E+05
  14  slit   0.266900E+01   0.667000E+01  -0.132249E-06   0.245968E+00   0.286090E+00   0.592613E+00   0.694335E+00   0.104264E+03   0.179944E+03   0.583668E-03      0.167307E+00        0.226456E+00        0.249400E+00        0.166661E+00        0.225029E+00        0.248376E+00        0.413270E+02        0.531736E+02        0.626308E+02    -0.406474E-06  -0.440084E-05  -0.155394E-05  -0.169244E-04   0.119885E+00   0.267518E+00  -0.131917E+01   0.173407E+00  -0.705830E-01   0.235503E+00  -0.107454E-01      0.178646E+04     0.000000E+00    0.100010E+05
