n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.631000E+01  -0.132177E-06   0.169886E+00   0.171269E+00   0.409988E+00   0.409993E+00   0.102766E+03   0.179990E+03   0.583331E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.346605E+03        0.452239E+03        0.533300E+03     0.130028E-06   0.588948E-05  -0.375408E-07   0.241950E-04   0.116593E+00   0.684029E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.126414E-01      0.176185E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.631000E+01  -0.132177E-06   0.169886E+00   0.171269E+00   0.409988E+00   0.409993E+00   0.104272E+03   0.179980E+03   0.583331E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.390780E+02        0.502805E+02        0.592931E+02     0.130028E-06   0.588948E-05  -0.375408E-07   0.241950E-04   0.116593E+00   0.144866E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.796607E-02      0.178758E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.631000E+01   0.276695E-04   0.117947E+01   0.117666E+01   0.249783E+01   0.249882E+01   0.104337E+03   0.179980E+03   0.583377E-03      0.132391E+01        0.173989E+01        0.199987E+01        0.134147E+01        0.178364E+01        0.204077E+01        0.391048E+02        0.503196E+02        0.592692E+02    -0.132350E-02  -0.240400E-01  -0.279177E-02  -0.565197E-01   0.116593E+00   0.167338E-01  -0.967469E+01   0.490066E+00  -0.949554E+01   0.481347E+00  -0.922222E-02      0.178857E+04     0.349000E+03    0.965200E+04
   3  drift  0.602000E+00   0.631000E+01   0.276695E-04   0.129595E+01   0.129278E+01   0.274960E+01   0.274697E+01   0.104337E+03   0.179985E+03   0.583377E-03      0.132391E+01        0.173989E+01        0.199987E+01        0.134147E+01        0.178364E+01        0.204077E+01        0.391049E+02        0.503170E+02        0.592662E+02    -0.144370E-02  -0.240400E-01  -0.307436E-02  -0.565197E-01   0.116593E+00   0.476327E-01  -0.106399E+02   0.591638E+00  -0.104425E+02   0.581038E+00  -0.906412E-02      0.178857E+04     0.000000E+00    0.965200E+04
   4  quad   0.852000E+00   0.630998E+01  -0.259068E-03   0.167390E+01   0.110912E+01   0.297931E+01   0.227051E+01   0.104244E+03   0.179998E+03   0.584149E-03      0.825008E+00        0.119590E+01        0.167259E+01        0.150809E+01        0.186456E+01        0.204897E+01        0.391212E+02        0.503861E+02        0.581826E+02     0.106536E-01   0.424798E+00  -0.665271E-02   0.250105E+00   0.116593E+00  -0.180215E+01  -0.639116E+02   0.158392E+01   0.146044E+02   0.380421E+00  -0.109629E-01      0.178465E+04     0.345300E+04    0.619900E+04
   5  drift  0.952000E+00   0.630996E+01  -0.597618E-03   0.169354E+01   0.691789E+00   0.298256E+01   0.142823E+01   0.103735E+03   0.179886E+03   0.581721E-03      0.598389E+00        0.869644E+00        0.107231E+01        0.154433E+01        0.190441E+01        0.207227E+01        0.387680E+02        0.497691E+02        0.587593E+02     0.280550E-01   0.808399E+00  -0.102756E-01   0.637354E+00   0.116593E+00  -0.498727E+00  -0.641887E+02   0.223533E+01   0.894374E+01   0.144524E+00  -0.115581E-01      0.178336E+04     0.164800E+04    0.455100E+04
   6  quad   0.120200E+01   0.630995E+01  -0.869110E-03   0.143676E+01   0.194214E+00   0.252015E+01   0.448720E+00   0.104024E+03   0.179902E+03   0.581778E-03      0.513515E+00        0.751453E+00        0.922028E+00        0.155254E+01        0.190924E+01        0.208889E+01        0.388818E+02        0.500826E+02        0.581679E+02     0.178704E-01  -0.509571E+00   0.170547E-02   0.480873E+00   0.116593E+00  -0.140803E+01   0.543003E+02   0.187478E+01  -0.148615E+01   0.113306E-01  -0.459380E-02      0.178805E+04     0.659000E+03    0.389200E+04
   7  drift  0.130200E+01   0.630995E+01  -0.869110E-03   0.102065E+01   0.480558E+00   0.180432E+01   0.109779E+01   0.104024E+03   0.179920E+03   0.581778E-03      0.513515E+00        0.751453E+00        0.922028E+00        0.155254E+01        0.190924E+01        0.208889E+01        0.388821E+02        0.500773E+02        0.581618E+02     0.127747E-01  -0.509571E+00   0.651419E-02   0.480873E+00   0.116593E+00  -0.125631E+01   0.385677E+02   0.946097E+00  -0.431798E+01   0.693719E-01  -0.427760E-02      0.178805E+04     0.000000E+00    0.389200E+04
   8  quad   0.155200E+01   0.630995E+01  -0.869110E-03   0.470593E+00   0.815154E+00   0.890921E+00   0.179542E+01   0.104022E+03   0.179996E+03   0.581778E-03      0.511259E+00        0.741271E+00        0.897422E+00        0.155007E+01        0.190525E+01        0.209139E+01        0.388810E+02        0.500194E+02        0.582298E+02     0.622164E-02  -0.697836E-01   0.124087E-01  -0.603566E-01   0.116593E+00  -0.131268E+01   0.299413E+01   0.202015E+00   0.153666E+01   0.199923E+00  -0.576629E-02      0.178803E+04     0.000000E+00    0.389200E+04
   9  drift  0.160200E+01   0.630995E+01  -0.869110E-03   0.435875E+00   0.784092E+00   0.844974E+00   0.171257E+01   0.104023E+03   0.179997E+03   0.581778E-03      0.511259E+00        0.741271E+00        0.897422E+00        0.155007E+01        0.190525E+01        0.209139E+01        0.388812E+02        0.499769E+02        0.583161E+02     0.587272E-02  -0.697836E-01   0.121070E-01  -0.603566E-01   0.116593E+00  -0.121682E+01   0.274750E+01   0.173307E+00   0.145260E+01   0.184977E+00  -0.658040E-02      0.178806E+04     0.000000E+00    0.389200E+04
