n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  18  drift   5.0  14.0    -1      -1.459       0.002     346.547  -0.0010710   0.0000578   0.1317567      -1.459       0.002      17.647  -0.0010710   0.0000578   0.1317567       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.431      -0.085     346.547   0.0010727  -0.0000677   0.1317271       1.431      -0.085      17.647   0.0010727  -0.0000677   0.1317271       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.464      -0.028     346.547   0.0010830  -0.0000095   0.1317298       1.464      -0.028      17.647   0.0010830  -0.0000095   0.1317298       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.437      -0.043     346.547   0.0010697  -0.0001042   0.1317969       1.437      -0.043      17.647   0.0010697  -0.0001042   0.1317969       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.450      -0.047     346.547  -0.0010817  -0.0000423   0.1316927      -1.450      -0.047      17.647  -0.0010817  -0.0000423   0.1316927       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.431      -0.004     346.547  -0.0010709   0.0000005   0.1317298      -1.431      -0.004      17.647  -0.0010709   0.0000005   0.1317298       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.430       0.003     346.547   0.0010726   0.0000975   0.1317928       1.430       0.003      17.647   0.0010726   0.0000975   0.1317928       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.439      -0.088     346.547   0.0010757   0.0000300   0.1317839       1.439      -0.088      17.647   0.0010757   0.0000300   0.1317839       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.438       0.022     355.371   0.0010012   0.0001053   0.1317188       1.438       0.022      26.471   0.0010012   0.0001053   0.1317188       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.496       0.011     355.371   0.0010846  -0.0000106   0.1316874       1.496       0.011      26.471   0.0010846  -0.0000106   0.1316874       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.441      -0.050     355.371   0.0009713   0.0000098   0.1317474       1.441      -0.050      26.471   0.0009713   0.0000098   0.1317474       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.467      -0.079     355.371  -0.0010370   0.0000437   0.1317938      -1.467      -0.079      26.471  -0.0010370   0.0000437   0.1317938       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.447       0.013     355.371  -0.0010425   0.0000153   0.1317567      -1.447       0.013      26.471  -0.0010425   0.0000153   0.1317567       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.464       0.006     355.371  -0.0009924  -0.0000896   0.1317378      -1.464       0.006      26.471  -0.0009924  -0.0000896   0.1317378       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.496      -0.050     355.371   0.0010435  -0.0000650   0.1317312       1.496      -0.050      26.471   0.0010435  -0.0000650   0.1317312       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.450      -0.041     355.371   0.0010367  -0.0000908   0.1316914       1.450      -0.041      26.471   0.0010367  -0.0000908   0.1316914       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.435      -0.168     355.371  -0.0010166  -0.0001145   0.1317268      -1.435      -0.168      26.471  -0.0010166  -0.0001145   0.1317268       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.469       0.096     355.371   0.0009995   0.0000878   0.1317113       1.469       0.096      26.471   0.0009995   0.0000878   0.1317113       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.481       0.063     355.371   0.0010324   0.0001272   0.1317775       1.481       0.063      26.471   0.0010324   0.0001272   0.1317775       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.480       0.008     355.371  -0.0010422  -0.0000938   0.1317501      -1.480       0.008      26.471  -0.0010422  -0.0000938   0.1317501       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.493       0.045     355.371  -0.0010448   0.0000378   0.1317825      -1.493       0.045      26.471  -0.0010448   0.0000378   0.1317825       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.474      -0.118     355.371  -0.0010421  -0.0000955   0.1317702      -1.474      -0.118      26.471  -0.0010421  -0.0000955   0.1317702       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.439      -0.070     355.371  -0.0010379  -0.0000949   0.1317128      -1.439      -0.070      26.471  -0.0010379  -0.0000949   0.1317128       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1      -1.470      -0.071     355.371  -0.0010142  -0.0001262   0.1317051      -1.470      -0.071      26.471  -0.0010142  -0.0001262   0.1317051       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.489       0.113     355.371   0.0010339   0.0000870   0.1317367       1.489       0.113      26.471   0.0010339   0.0000870   0.1317367       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  18  drift   5.0  14.0    -1       1.500      -0.037     355.371   0.0010326   0.0000030   0.1316972       1.500      -0.037      26.471   0.0010326   0.0000030   0.1316972       0.000       0.000     328.900   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
