n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.819000E+01  -0.132566E-06   0.217890E+00   0.216945E+00   0.525730E+00   0.519726E+00   0.102766E+03   0.179990E+03   0.585089E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.451227E+03        0.588748E+03        0.694278E+03     0.164340E-06   0.135249E-05  -0.501414E-07   0.180665E-05   0.132898E+00   0.684029E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.126414E-01      0.175656E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.819000E+01  -0.132566E-06   0.217890E+00   0.216945E+00   0.525730E+00   0.519726E+00   0.104272E+03   0.179980E+03   0.585089E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.508737E+02        0.654578E+02        0.771908E+02     0.164340E-06   0.135249E-05  -0.501414E-07   0.180665E-05   0.132898E+00   0.144866E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.796604E-02      0.178222E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.819000E+01  -0.132565E-06   0.213269E+00   0.213294E+00   0.511279E+00   0.514754E+00   0.104271E+03   0.179998E+03   0.585089E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.508731E+02        0.655393E+02        0.772869E+02     0.238998E-06   0.135249E-05   0.495858E-07   0.180665E-05   0.132898E+00   0.110155E+00  -0.137241E+00   0.144518E+00  -0.149047E+00   0.145111E+00  -0.788757E-02      0.178219E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.819000E+01  -0.132565E-06   0.214409E+00   0.214516E+00   0.516072E+00   0.517148E+00   0.104271E+03   0.179995E+03   0.585089E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.508730E+02        0.655633E+02        0.773152E+02     0.245760E-06   0.135249E-05   0.586190E-07   0.180665E-05   0.132898E+00   0.146268E+00  -0.172490E+00   0.146066E+00  -0.184269E+00   0.146778E+00  -0.791942E-02      0.178219E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.819000E+01  -0.132565E-06   0.257170E+00   0.192489E+00   0.621150E+00   0.455333E+00   0.104270E+03   0.180000E+03   0.585089E-03      0.167310E+00        0.226599E+00        0.249833E+00        0.166663E+00        0.225033E+00        0.248380E+00        0.508725E+02        0.655001E+02        0.774233E+02     0.331480E-06   0.559771E-05  -0.175374E-07  -0.823481E-05   0.132898E+00   0.183419E+00  -0.264330E+01   0.210135E+00   0.121057E+01   0.118182E+00  -0.843742E-02      0.178219E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.819000E+01  -0.132565E-06   0.289778E+00   0.173537E+00   0.697733E+00   0.413217E+00   0.104270E+03   0.179980E+03   0.585089E-03      0.167310E+00        0.226599E+00        0.249833E+00        0.166663E+00        0.225033E+00        0.248380E+00        0.508725E+02        0.654998E+02        0.774230E+02     0.387457E-06   0.559771E-05  -0.998856E-07  -0.823481E-05   0.132898E+00   0.184352E+00  -0.302339E+01   0.266802E+00   0.100195E+01   0.960565E-01  -0.816199E-02      0.178218E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.819000E+01  -0.132565E-06   0.257569E+00   0.200551E+00   0.617822E+00   0.479259E+00   0.104269E+03   0.179992E+03   0.585089E-03      0.167313E+00        0.226291E+00        0.249219E+00        0.166669E+00        0.225048E+00        0.248397E+00        0.508721E+02        0.655557E+02        0.774890E+02     0.314489E-06  -0.103765E-04   0.227706E-07   0.200643E-04   0.132898E+00   0.150496E+00   0.465298E+01   0.210784E+00  -0.260820E+01   0.128284E+00  -0.851850E-02      0.178218E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.819000E+01  -0.132565E-06   0.201083E+00   0.241831E+00   0.480161E+00   0.579516E+00   0.104269E+03   0.179997E+03   0.585089E-03      0.167313E+00        0.226291E+00        0.249219E+00        0.166669E+00        0.225048E+00        0.248397E+00        0.508719E+02        0.655636E+02        0.774984E+02     0.210724E-06  -0.103765E-04   0.223414E-06   0.200643E-04   0.132898E+00   0.811459E-01   0.357841E+01   0.128470E+00  -0.321643E+01   0.186531E+00  -0.874975E-02      0.178218E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.819000E+01  -0.132565E-06   0.108382E+00   0.283817E+00   0.262611E+00   0.682382E+00   0.104268E+03   0.179990E+03   0.585089E-03      0.167308E+00        0.226327E+00        0.249259E+00        0.166661E+00        0.225030E+00        0.248378E+00        0.508715E+02        0.655657E+02        0.775925E+02    -0.449307E-08  -0.730509E-05   0.216141E-06  -0.227321E-04   0.132898E+00   0.156442E+00   0.632593E+00   0.373228E-01   0.865963E+00   0.256934E+00  -0.886869E-02      0.178216E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.819000E+01  -0.132565E-06   0.100254E+00   0.279089E+00   0.240705E+00   0.671051E+00   0.104268E+03   0.179995E+03   0.585089E-03      0.167308E+00        0.226327E+00        0.249259E+00        0.166661E+00        0.225030E+00        0.248378E+00        0.508713E+02        0.656030E+02        0.776366E+02    -0.410185E-07  -0.730509E-05   0.102481E-06  -0.227321E-04   0.132898E+00   0.192792E+00   0.445016E+00   0.319347E-01   0.831910E+00   0.248445E+00  -0.910202E-02      0.178217E+04     0.000000E+00    0.100010E+05
