 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.84977E-12       0.00000E+00       0.12546E-04       0.27162E-04       0.00000E+00       0.00000E+00
      0      1      -0.13841E+02       0.18070E-02      -0.59578E+00      -0.14384E+01      -0.65080E+00       0.10110E+01
      0      1       0.29083E+01       0.71845E-02      -0.35536E+00      -0.68073E+00      -0.10140E+00      -0.17204E+00
      0      1      -0.72105E+01      -0.16250E-02       0.59802E+00       0.15085E+01       0.90874E+00      -0.19946E+01
      0      1      -0.32807E+02       0.43729E-02      -0.13301E+00      -0.27134E+00      -0.81309E-01      -0.27589E+00
      0      1      -0.19985E+02       0.25402E-03      -0.90748E+00      -0.21876E+01       0.13481E+00       0.70979E-01
      0      1      -0.27593E+02       0.14836E-02       0.63796E+00       0.13061E+01       0.12811E+00      -0.41318E+00
      0      1      -0.89045E+00       0.62645E-02      -0.82911E-01      -0.21372E+00      -0.63480E+00       0.17804E+01
      0      1       0.11269E+02       0.53566E-02       0.17614E+00       0.36028E+00      -0.92908E+00       0.24748E+01
      0      1       0.35485E+02      -0.46537E-03       0.10186E+00       0.37754E+00       0.79522E-01      -0.38631E+00
      0      1       0.28936E+02       0.68601E-02      -0.22669E+00      -0.63088E+00      -0.98571E+00       0.24722E+01
      0      1       0.29490E+02      -0.66047E-02       0.91784E+00       0.21834E+01       0.30460E+00      -0.27060E+00
      0      1      -0.80487E+01       0.42188E-03       0.16428E+00       0.27324E+00      -0.88142E-01       0.57565E-01
      0      1       0.18187E+02      -0.22863E-02       0.77971E-01       0.39809E-01       0.90882E+00      -0.25569E+01
      0      1       0.35108E+02       0.27246E-02       0.74152E+00       0.17555E+01      -0.33098E+00       0.11025E+01
      0      1       0.14257E+02       0.60611E-02      -0.95949E+00      -0.22342E+01       0.50113E+00      -0.16494E+01
      0      1      -0.36941E+02       0.21815E-02      -0.17874E+00      -0.60969E+00       0.47327E+00      -0.13144E+01
      0      1      -0.32722E+02      -0.38611E-02       0.10800E+00       0.22833E+00      -0.98811E+00       0.17638E+01
      0      1       0.24035E+02      -0.47326E-02       0.69513E+00       0.15850E+01      -0.98568E+00       0.28243E+01
      0      1      -0.16659E+02       0.10988E-02      -0.61097E+00      -0.16265E+01       0.24358E+00      -0.57943E+00
      0      1      -0.35409E+02       0.50123E-02       0.71614E+00       0.17257E+01       0.43932E+00      -0.63193E+00
      0      1       0.11879E+02      -0.37236E-04       0.24633E+00       0.72477E+00      -0.31252E+00       0.57887E+00
      0      1      -0.24070E+02       0.52794E-02       0.31673E+00       0.63675E+00      -0.76930E+00       0.17256E+01
      0      1       0.10652E+02      -0.61705E-03       0.42336E+00       0.10060E+01      -0.25298E+00       0.41898E+00
      0      1      -0.84978E+01       0.54013E-03      -0.54356E+00      -0.12778E+01       0.88524E+00      -0.17330E+01
      0      1      -0.11250E+02       0.56960E-02      -0.46421E+00      -0.13099E+01      -0.65490E+00       0.15834E+01
      0      1      -0.30783E+02      -0.35974E-02      -0.49121E+00      -0.12850E+01       0.39143E+00      -0.11564E+01
      0      1      -0.32905E+02      -0.13072E-02      -0.12532E+00      -0.20384E+00      -0.24759E+00       0.99083E+00
      0      1       0.21189E+02      -0.47761E-02      -0.18739E+00      -0.48947E+00       0.57281E+00      -0.12998E+01
      0      1      -0.10386E+02       0.63975E-02      -0.77528E+00      -0.17131E+01      -0.39977E+00       0.13582E+01
      0      1       0.20507E+02       0.29016E-02      -0.19367E-01       0.44998E-01       0.67259E+00      -0.18802E+01
      0      1       0.18604E+02      -0.61915E-02      -0.79345E+00      -0.18684E+01      -0.59251E+00       0.99509E+00
      0      1      -0.49417E+01       0.31317E-02      -0.82175E+00      -0.18172E+01      -0.22678E+00       0.42837E+00
      0      1      -0.52147E+01      -0.60950E-02       0.60856E+00       0.12893E+01       0.76945E+00      -0.21516E+01
      0      1      -0.19571E+02       0.65844E-02       0.79508E-01       0.16399E+00       0.60025E-01       0.91928E-01
      0      1       0.32735E+02       0.58578E-02      -0.40887E-02       0.98765E-01      -0.78491E-01       0.37794E+00
      0      1       0.30057E+02      -0.33745E-02       0.70694E+00       0.18211E+01      -0.50064E+00       0.15270E+01
      0      1       0.97441E+01      -0.33348E-02      -0.76738E+00      -0.16988E+01      -0.18564E+00       0.20644E+00
      0      1       0.30677E+02       0.69678E-02       0.13995E+00       0.38065E+00      -0.57362E+00       0.10280E+01
      0      1       0.35817E+02       0.39753E-02      -0.84957E+00      -0.21238E+01      -0.44352E-01      -0.37879E+00
      0      1       0.18282E+02      -0.74567E-02      -0.52945E+00      -0.11932E+01      -0.25896E+00       0.10330E+01
      0      1      -0.39188E+01      -0.41913E-03       0.82419E+00       0.21092E+01      -0.79752E+00       0.17323E+01
      0      1       0.25234E+02      -0.36260E-02      -0.79498E+00      -0.17597E+01       0.63743E+00      -0.12529E+01
      0      1      -0.25390E+02      -0.72498E-02       0.34312E+00       0.83134E+00      -0.54326E+00       0.10002E+01
      0      1      -0.35699E+02      -0.34761E-02      -0.93391E-01      -0.16076E+00      -0.90674E+00       0.21552E+01
      0      1      -0.32800E+02       0.68298E-02       0.76227E+00       0.18762E+01      -0.60145E+00       0.11520E+01
      0      1       0.32137E+02       0.23053E-02       0.29919E-01      -0.72188E-01       0.77304E+00      -0.19793E+01
      0      1       0.29023E+02      -0.25990E-02      -0.37820E+00      -0.79241E+00      -0.12156E+00       0.36067E+00
      0      1       0.26546E+02       0.25821E-02      -0.27401E+00      -0.81401E+00      -0.29590E+00       0.11145E+01
      0      1      -0.24281E+02       0.11426E-02      -0.13058E+00      -0.37346E+00       0.52774E+00      -0.67686E+00
      0      1      -0.82264E+01      -0.90038E-04      -0.71500E+00      -0.15352E+01      -0.92328E+00       0.22845E+01
      0      1       0.64985E+01      -0.22100E-02      -0.43332E+00      -0.11546E+01       0.49177E+00      -0.16038E+01
      0      1       0.27169E+02       0.68560E-02       0.95534E+00       0.23318E+01      -0.36457E+00       0.64561E+00
      0      1       0.32693E+02      -0.12448E-02       0.71997E+00       0.18636E+01       0.80900E+00      -0.16696E+01
      0      1      -0.17364E+02      -0.39671E-02      -0.73759E+00      -0.15775E+01      -0.98611E+00       0.20883E+01
      0      1      -0.16428E+02       0.52632E-03      -0.56178E-01       0.81299E-01       0.63821E+00      -0.15776E+01
      0      1       0.34491E+02      -0.71155E-02       0.33449E+00       0.67148E+00       0.35500E+00      -0.86212E+00
      0      1      -0.30237E+02       0.11146E-02       0.70039E+00       0.17529E+01       0.44716E-01       0.35917E+00
      0      1       0.33735E+02       0.71809E-02      -0.73202E+00      -0.17280E+01       0.51587E-01       0.10854E+00
      0      1       0.42849E+01       0.67785E-02       0.34521E+00       0.67932E+00      -0.63424E+00       0.15507E+01
      0      1      -0.32388E+02      -0.27368E-02      -0.74205E+00      -0.18949E+01       0.44863E+00      -0.11063E+01
      0      1       0.39849E+02      -0.62376E-02       0.56671E+00       0.15143E+01       0.78152E+00      -0.14946E+01
      0      1      -0.22253E+02       0.62725E-04       0.75179E+00       0.17889E+01       0.78078E+00      -0.23367E+01
      0      1       0.82116E+01       0.39090E-02       0.41979E+00       0.86555E+00      -0.50369E+00       0.12522E+01
      0      1      -0.37039E+02      -0.65615E-02      -0.80322E+00      -0.17661E+01       0.29243E+00      -0.84144E+00
      0      1      -0.34995E+02       0.12194E-02       0.20097E-01      -0.12372E+00       0.97102E+00      -0.23789E+01
      0      1       0.63844E+01      -0.25254E-02      -0.25017E+00      -0.46077E+00      -0.77269E+00       0.21325E+01
      0      1      -0.22367E+01       0.66491E-02       0.25752E+00       0.43347E+00       0.35939E+00      -0.72482E+00
      0      1       0.33281E+02      -0.29279E-02      -0.26140E-01      -0.15563E+00      -0.55795E-01       0.50379E+00
      0      1       0.90472E+01       0.58967E-02       0.58808E+00       0.15993E+01      -0.34402E+00       0.70427E+00
      0      1       0.18042E+01       0.68487E-02      -0.96804E+00      -0.22866E+01       0.71532E-01       0.34246E+00
      0      1       0.21085E+02      -0.28653E-02      -0.41530E+00      -0.85922E+00      -0.29679E+00       0.22270E+00
      0      1       0.13411E+02       0.25742E-02       0.32876E+00       0.65512E+00      -0.80120E+00       0.21933E+01
      0      1      -0.28575E+02      -0.24989E-02      -0.74319E+00      -0.19643E+01      -0.11088E+00      -0.24576E-01
      0      1       0.21627E+02       0.33226E-02       0.92082E-01       0.32023E+00      -0.75390E-03      -0.23175E+00
      0      1       0.14346E+02       0.14539E-02       0.67447E+00       0.14680E+01       0.78497E+00      -0.15747E+01
      0      1       0.11295E+02      -0.73321E-02      -0.70457E-01      -0.13137E+00       0.64927E+00      -0.13049E+01
      0      1       0.50102E+01      -0.19418E-02       0.38497E+00       0.75092E+00      -0.56532E+00       0.11082E+01
      0      1      -0.14913E+02      -0.40583E-02      -0.58820E+00      -0.14319E+01      -0.49349E+00       0.10353E+01
      0      1      -0.12456E+02      -0.65120E-02      -0.56414E+00      -0.11987E+01       0.57018E+00      -0.17019E+01
