n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
   2  drift  13.0  28.0    -2       0.534      -2.188      42.933   0.0011750  -0.0056785   0.0974820       0.534      -2.188      42.933   0.0011750  -0.0056785   0.0974820       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.200       0.139      42.933   0.0055587   0.0004421   0.0975023       2.200       0.139      42.933   0.0055587   0.0004421   0.0975023       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.430       2.268      42.933  -0.0010943   0.0055704   0.0974251      -0.430       2.268      42.933  -0.0010943   0.0055704   0.0974251       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.117      -2.221      42.933   0.0002663  -0.0054131   0.0974269       0.117      -2.221      42.933   0.0002663  -0.0054131   0.0974269       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.208       0.658      42.933   0.0053259   0.0016502   0.0974778       2.208       0.658      42.933   0.0053259   0.0016502   0.0974778       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.352       0.392      42.933   0.0059227   0.0011288   0.0973869       2.352       0.392      42.933   0.0059227   0.0011288   0.0973869       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.226      -0.167      42.933   0.0055742  -0.0006743   0.0974502       2.226      -0.167      42.933   0.0055742  -0.0006743   0.0974502       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.215      -1.008      42.933  -0.0055034  -0.0026069   0.0974230      -2.215      -1.008      42.933  -0.0055034  -0.0026069   0.0974230       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.197       0.011      42.933  -0.0053704   0.0003008   0.0974354      -2.197       0.011      42.933  -0.0053704   0.0003008   0.0974354       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.190      -0.014      42.933   0.0054304  -0.0002125   0.0974807       2.190      -0.014      42.933   0.0054304  -0.0002125   0.0974807       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.303      -0.322      42.933   0.0058385  -0.0009203   0.0974339       2.303      -0.322      42.933   0.0058385  -0.0009203   0.0974339       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.365       0.404      42.933   0.0060325   0.0011233   0.0974423       2.365       0.404      42.933   0.0060325   0.0011233   0.0974423       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.147      -0.333      42.933  -0.0056667  -0.0007324   0.0974389      -2.147      -0.333      42.933  -0.0056667  -0.0007324   0.0974389       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.411      -2.222      42.933  -0.0010359  -0.0055106   0.0974265      -0.411      -2.222      42.933  -0.0010359  -0.0055106   0.0974265       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.136       2.251      42.933   0.0003228   0.0056735   0.0974744       0.136       2.251      42.933   0.0003228   0.0056735   0.0974744       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.203       0.110      42.933   0.0057468   0.0004334   0.0974050       2.203       0.110      42.933   0.0057468   0.0004334   0.0974050       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.158      -0.304      42.933   0.0057013  -0.0010249   0.0974706       2.158      -0.304      42.933   0.0057013  -0.0010249   0.0974706       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.173       2.153      42.933   0.0003937   0.0056188   0.0974691       0.173       2.153      42.933   0.0003937   0.0056188   0.0974691       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.932      -2.201      42.933   0.0022828  -0.0055094   0.0973969       0.932      -2.201      42.933   0.0022828  -0.0055094   0.0973969       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.605      -2.166      42.933  -0.0014593  -0.0053507   0.0974127      -0.605      -2.166      42.933  -0.0014593  -0.0053507   0.0974127       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.155      -0.474      42.933  -0.0057246  -0.0010657   0.0974876      -2.155      -0.474      42.933  -0.0057246  -0.0010657   0.0974876       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.274      -0.385      42.933  -0.0055801  -0.0007625   0.0974459      -2.274      -0.385      42.933  -0.0055801  -0.0007625   0.0974459       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.166      -0.523      42.933  -0.0055489  -0.0013872   0.0974832      -2.166      -0.523      42.933  -0.0055489  -0.0013872   0.0974832       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.468       2.210      42.933   0.0009315   0.0054557   0.0975045       0.468       2.210      42.933   0.0009315   0.0054557   0.0975045       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.773       2.193      42.933  -0.0021256   0.0053821   0.0974540      -0.773       2.193      42.933  -0.0021256   0.0053821   0.0974540       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.109      -2.444      42.933  -0.0003642  -0.0061958   0.0974603      -0.109      -2.444      42.933  -0.0003642  -0.0061958   0.0974603       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.286       0.195      42.933   0.0056984   0.0007600   0.0974308       2.286       0.195      42.933   0.0056984   0.0007600   0.0974308       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2       0.510       2.204      42.933   0.0013037   0.0057884   0.0973925       0.510       2.204      42.933   0.0013037   0.0057884   0.0973925       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1       2.190       0.050      42.933   0.0053262   0.0000006   0.0974617       2.190       0.050      42.933   0.0053262   0.0000006   0.0974617       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -1      -2.278       0.135      42.933  -0.0060064   0.0004364   0.0974051      -2.278       0.135      42.933  -0.0060064   0.0004364   0.0974051       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.288       2.310      42.933  -0.0005903   0.0060086   0.0974508      -0.288       2.310      42.933  -0.0005903   0.0060086   0.0974508       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   2  drift  13.0  28.0    -2      -0.692       2.204      42.933  -0.0019943   0.0055802   0.0974509      -0.692       2.204      42.933  -0.0019943   0.0055802   0.0974509       0.000       0.000       0.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
