n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.447000E+01  -0.131797E-06   0.185223E+00   0.186731E+00   0.447001E+00   0.447006E+00   0.102766E+03   0.179990E+03   0.581614E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.244812E+03        0.319422E+03        0.376677E+03     0.141767E-06   0.642117E-05  -0.409299E-07   0.263793E-04   0.980842E-01   0.684029E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.126414E-01      0.176705E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.447000E+01  -0.131797E-06   0.185223E+00   0.186731E+00   0.447001E+00   0.447006E+00   0.104272E+03   0.179980E+03   0.581614E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.276013E+02        0.355137E+02        0.418794E+02     0.141767E-06   0.642117E-05  -0.409299E-07   0.263793E-04   0.980842E-01   0.144866E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.796611E-02      0.179286E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.447001E+01   0.225467E-03   0.124393E+01   0.123902E+01   0.249946E+01   0.249892E+01   0.104526E+03   0.179993E+03   0.582928E-03      0.130017E+01        0.169335E+01        0.197130E+01        0.131563E+01        0.173226E+01        0.204035E+01        0.277301E+02        0.356827E+02        0.419303E+02    -0.872254E-03  -0.171777E-01  -0.494772E-02  -0.948707E-01   0.980842E-01   0.386518E+00  -0.921984E+01   0.466930E+00  -0.903353E+01   0.457805E+00  -0.114751E-01      0.179324E+04     0.826000E+03    0.917500E+04
   3  drift  0.602000E+00   0.447001E+01   0.225467E-03   0.136681E+01   0.136133E+01   0.275677E+01   0.275095E+01   0.104527E+03   0.179990E+03   0.582928E-03      0.130017E+01        0.169335E+01        0.197130E+01        0.131563E+01        0.173226E+01        0.204035E+01        0.277300E+02        0.356562E+02        0.419485E+02    -0.958143E-03  -0.171777E-01  -0.542208E-02  -0.948707E-01   0.980842E-01   0.348750E+00  -0.101408E+02   0.563733E+00  -0.993571E+01   0.552652E+00  -0.122385E-01      0.179327E+04     0.000000E+00    0.917500E+04
   4  quad   0.852000E+00   0.447000E+01  -0.588129E-04   0.169251E+01   0.117368E+01   0.297948E+01   0.231927E+01   0.104092E+03   0.179937E+03   0.581890E-03      0.786554E+00        0.112768E+01        0.134088E+01        0.145039E+01        0.181757E+01        0.204681E+01        0.275670E+02        0.354419E+02        0.410208E+02     0.251051E-01   0.995888E+00  -0.979007E-02   0.360101E+00   0.980842E-01  -0.726970E+00  -0.565449E+02   0.142888E+01   0.133529E+02   0.372626E+00  -0.624557E-02      0.178889E+04     0.355800E+04    0.561700E+04
   5  drift  0.952000E+00   0.446998E+01  -0.397414E-03   0.170002E+01   0.758841E+00   0.298330E+01   0.152485E+01   0.103813E+03   0.179897E+03   0.581058E-03      0.568815E+00        0.810797E+00        0.103815E+01        0.147907E+01        0.182461E+01        0.209005E+01        0.274535E+02        0.353197E+02        0.411651E+02     0.206549E-01   0.590759E+00  -0.131546E-01   0.765922E+00   0.980842E-01  -0.693908E+00  -0.564568E+02   0.199340E+01   0.846324E+01   0.152747E+00  -0.784585E-02      0.178667E+04     0.151100E+04    0.410600E+04
   6  quad   0.120200E+01   0.446996E+01  -0.802447E-03   0.145814E+01   0.151476E+00   0.255457E+01   0.325297E+00   0.103801E+03   0.179968E+03   0.580379E-03      0.488343E+00        0.703286E+00        0.870403E+00        0.147971E+01        0.183544E+01        0.209525E+01        0.274189E+02        0.354721E+02        0.412946E+02     0.232300E-01  -0.618331E+00  -0.137136E-03   0.470146E+00   0.980842E-01  -0.124432E+01   0.463748E+02   0.170817E+01  -0.336456E+00   0.608373E-02   0.465968E-02      0.178853E+04     0.611000E+03    0.349500E+04
   7  drift  0.130200E+01   0.446996E+01  -0.802447E-03   0.106230E+01   0.342543E+00   0.187272E+01   0.819662E+00   0.103801E+03   0.179989E+03   0.580379E-03      0.488343E+00        0.703286E+00        0.870403E+00        0.147971E+01        0.183544E+01        0.209525E+01        0.274190E+02        0.354947E+02        0.412729E+02     0.170467E-01  -0.618331E+00   0.456432E-02   0.470146E+00   0.980842E-01  -0.119530E+01   0.337787E+02   0.906631E+00  -0.216626E+01   0.311109E-01   0.391864E-02      0.178852E+04     0.000000E+00    0.349500E+04
   8  quad   0.155200E+01   0.446996E+01  -0.802447E-03   0.583384E+00   0.670896E+00   0.108609E+01   0.152678E+01   0.103802E+03   0.179998E+03   0.580379E-03      0.486575E+00        0.698784E+00        0.859512E+00        0.147773E+01        0.183635E+01        0.209390E+01        0.274193E+02        0.353955E+02        0.412055E+02     0.986450E-02  -0.147849E-01   0.115191E-01   0.279086E-01   0.980842E-01  -0.106632E+01   0.122046E+01   0.274421E+00   0.220125E+00   0.119502E+00   0.322263E-02      0.178853E+04     0.000000E+00    0.349500E+04
   9  drift  0.160200E+01   0.446996E+01  -0.802447E-03   0.570510E+00   0.665309E+00   0.107982E+01   0.149184E+01   0.103802E+03   0.179986E+03   0.580379E-03      0.486575E+00        0.698784E+00        0.859512E+00        0.147773E+01        0.183635E+01        0.209390E+01        0.274193E+02        0.353952E+02        0.412052E+02     0.979058E-02  -0.147849E-01   0.116586E-01   0.279086E-01   0.980842E-01  -0.106456E+01   0.117510E+01   0.262444E+00   0.176257E+00   0.117520E+00   0.340926E-02      0.178853E+04     0.000000E+00    0.349500E+04
  10  drift  0.196900E+01   0.446996E+01  -0.802447E-03   0.483389E+00   0.662131E+00   0.103564E+01   0.129355E+01   0.103804E+03   0.179948E+03   0.580379E-03      0.486575E+00        0.698784E+00        0.859512E+00        0.147773E+01        0.183635E+01        0.209390E+01        0.274197E+02        0.353195E+02        0.411169E+02     0.924797E-02  -0.147849E-01   0.126829E-01   0.279086E-01   0.980842E-01  -0.948615E+00   0.842164E+00   0.188410E+00  -0.145732E+00   0.116400E+00   0.325650E-02      0.178856E+04     0.000000E+00    0.349500E+04
  11  slit   0.196900E+01   0.446996E+01  -0.844253E-03   0.485117E+00   0.628985E+00   0.103564E+01   0.119954E+01   0.103541E+03   0.179948E+03   0.580511E-03      0.491898E+00        0.698633E+00        0.855120E+00        0.141702E+01        0.178499E+01        0.207557E+01        0.273568E+02        0.353251E+02        0.410280E+02     0.115975E-01  -0.287693E-01   0.901914E-02   0.381682E-02   0.980842E-01  -0.108303E+01   0.831487E+00   0.187705E+00  -0.126099E+00   0.109538E+00  -0.159347E-04      0.178362E+04     0.131000E+03    0.336400E+04
  12  drift  0.231900E+01   0.446996E+01  -0.844253E-03   0.419766E+00   0.684497E+00   0.100745E+01   0.151623E+01   0.103542E+03   0.179914E+03   0.580511E-03      0.491898E+00        0.698633E+00        0.855120E+00        0.141702E+01        0.178499E+01        0.207557E+01        0.273570E+02        0.353585E+02        0.410192E+02     0.105905E-01  -0.287693E-01   0.915273E-02   0.381682E-02   0.980842E-01  -0.963460E+00   0.516110E+00   0.140539E+00  -0.450705E+00   0.129726E+00  -0.473847E-03      0.178364E+04     0.000000E+00    0.336400E+04
  13  drift  0.266900E+01   0.446996E+01  -0.844253E-03   0.380456E+00   0.789632E+00   0.997014E+00   0.185381E+01   0.103542E+03   0.179932E+03   0.580511E-03      0.491898E+00        0.698633E+00        0.855120E+00        0.141702E+01        0.178499E+01        0.207557E+01        0.273569E+02        0.354534E+02        0.411293E+02     0.958361E-02  -0.287693E-01   0.928632E-02   0.381682E-02   0.980842E-01  -0.950909E+00   0.200733E+00   0.115450E+00  -0.775310E+00   0.172636E+00  -0.182297E-02      0.178364E+04     0.000000E+00    0.336400E+04
