       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.141780863E-02   0.642181311E-01  -0.409339836E-03   0.263819115E+00   0.170729574E-01   0.446994108E+01   0.185222663E+00   0.261291095E+02   0.186730868E+00   0.262576830E+02   0.102771810E+03   0.581613860E-01   0.447156502E+00   0.629080507E+02   0.447415809E+00   0.636491189E+02   0.179996619E+03   0.100738977E+00   0.334614763E+00   0.341657683E+00   0.612046556E+02
  0.000000000E+00   0.141780863E-02   0.642181311E-01  -0.409339836E-03   0.263819115E+00   0.170729574E-01   0.446994108E+01   0.185222663E+00   0.261291095E+02   0.186730868E+00   0.262576830E+02   0.102771810E+03   0.581613860E-01   0.447156502E+00   0.629080507E+02   0.447415809E+00   0.636491189E+02   0.179996619E+03   0.100738977E+00   0.334614763E+00   0.341657683E+00   0.612046556E+02
  0.000000000E+00   0.141766686E-06   0.642117099E-05  -0.409298906E-07   0.263792736E-04   0.119385655E-01   0.446999999E+01   0.185222662E+00   0.261291095E+02   0.186730868E+00   0.262576829E+02   0.102765878E+03   0.581613845E-01   0.447000604E+00   0.629722688E+02   0.447006469E+00   0.639129380E+02   0.179989624E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.612029353E+02
  0.000000000E+00   0.141766686E-06   0.642117099E-05  -0.409298906E-07   0.263792736E-04   0.252838695E-02   0.446999999E+01   0.185222662E+00   0.261291095E+02   0.186730868E+00   0.262576829E+02   0.104272135E+03   0.581613845E-01   0.447000604E+00   0.629722688E+02   0.447006469E+00   0.639129380E+02   0.179979542E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690033204E+01
  0.000000000E+00   0.141766686E-06   0.642117099E-05  -0.409298906E-07   0.263792736E-04   0.252838695E-02   0.446999999E+01   0.185222662E+00   0.261291095E+02   0.186730868E+00   0.262576829E+02   0.104272135E+03   0.581613845E-01   0.447000604E+00   0.629722688E+02   0.447006469E+00   0.639129380E+02   0.179979542E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690033204E+01
  0.613333333E+01   0.181149868E-06   0.642117099E-05   0.120862987E-06   0.263792736E-04   0.288574102E-02   0.446999999E+01   0.133719032E+00   0.261291095E+02   0.135927722E+00   0.262576829E+02   0.104272405E+03   0.581613845E-01   0.326546754E+00   0.629722688E+02   0.325729649E+00   0.639129380E+02   0.179993514E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690033019E+01
  0.122666667E+02   0.220533050E-06   0.642117099E-05   0.282655865E-06   0.263792736E-04   0.198658368E-02   0.446999999E+01   0.229825417E+00   0.261291095E+02   0.232285654E+00   0.262576829E+02   0.104272774E+03   0.581613845E-01   0.554646009E+00   0.629722688E+02   0.560834483E+00   0.639129380E+02   0.179998250E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690036191E+01
  0.184000000E+02   0.259916232E-06   0.642117099E-05   0.444448743E-06   0.263792736E-04   0.171568205E-02   0.446999999E+01   0.372993650E+00   0.261291095E+02   0.375911233E+00   0.262576829E+02   0.104273077E+03   0.581613845E-01   0.895099161E+00   0.629722688E+02   0.909551906E+00   0.639129380E+02   0.179992492E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690043337E+01
  0.245333333E+02   0.299299415E-06   0.642117099E-05   0.606241621E-06   0.263792736E-04   0.816524718E-03   0.446999999E+01   0.526112537E+00   0.261291095E+02   0.529654827E+00   0.262576829E+02   0.104273396E+03   0.581613845E-01   0.126581135E+01   0.629722688E+02   0.127423175E+01   0.639129380E+02   0.179990789E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690046310E+01
  0.306666667E+02   0.338682597E-06   0.642117099E-05   0.768034499E-06   0.263792736E-04  -0.133914403E-02   0.446999999E+01   0.682517501E+00   0.261291095E+02   0.686754372E+00   0.262576829E+02   0.104273585E+03   0.581613845E-01   0.164749284E+01   0.629722688E+02   0.166414421E+01   0.639129380E+02   0.179975052E+03   0.102057076E+00   0.334614760E+00   0.341657680E+00   0.690047759E+01
