 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.11710E-11       0.00000E+00      -0.97856E-05       0.31987E-04       0.00000E+00       0.00000E+00
      0      1      -0.13834E+02       0.21499E-02       0.96094E-01      -0.46173E+00      -0.48901E+00       0.21519E+01
      0      1       0.33023E+02      -0.92727E-02       0.62472E-01       0.13714E+01      -0.19688E+00      -0.71660E+00
      0      1      -0.72081E+01      -0.19333E-02       0.20968E+00      -0.25265E+01      -0.73849E+00       0.29848E+00
      0      1      -0.18348E+02       0.78106E-02       0.31003E+00      -0.33640E+01      -0.33752E+00      -0.10136E+01
      0      1      -0.19979E+02       0.30220E-03       0.15941E+00      -0.83578E+00       0.79143E+00      -0.20493E+01
      0      1      -0.53407E+01       0.83657E-02       0.28630E+00      -0.18974E+01       0.33176E+00      -0.14421E+01
      0      1      -0.29985E+02       0.37660E-02      -0.41201E+00       0.72919E+00       0.65828E+00      -0.80091E+00
      0      1      -0.36400E+02       0.63542E-02       0.40417E-01       0.15714E+01      -0.68743E+00       0.12695E+01
      0      1      -0.11336E+02      -0.90763E-02       0.36517E+00      -0.24920E+01       0.23467E+00      -0.66501E+00
      0      1      -0.24370E+02       0.92613E-02      -0.28279E+00       0.19489E+00       0.76224E+00      -0.13746E+01
      0      1       0.29475E+02      -0.78577E-02      -0.28039E+00       0.20758E+01       0.73735E+00      -0.22098E+01
      0      1      -0.33756E+02      -0.48565E-02       0.41923E+00      -0.25585E+01       0.73117E+00      -0.67401E+00
      0      1      -0.17701E+02       0.99408E-02       0.31892E+00      -0.40376E+00       0.46618E+00      -0.21559E+00
      0      1       0.38762E+02       0.29940E-02      -0.48551E+00       0.17053E+01      -0.74571E+00       0.10771E+01
      0      1      -0.28041E+02       0.63843E-03       0.43341E-01      -0.13470E+01      -0.17447E+00      -0.96554E+00
      0      1      -0.32735E+02      -0.45936E-02      -0.16732E+00       0.15609E+01      -0.20199E+00       0.20185E+01
      0      1      -0.11669E+02      -0.54130E-02      -0.36861E+00       0.77419E+00       0.87505E+00      -0.83642E+00
      0      1       0.27702E+02       0.11626E-02      -0.26044E+00       0.11205E+01      -0.12483E+00      -0.15704E+01
      0      1      -0.18538E+02       0.89920E-02      -0.27109E+00       0.11812E+00      -0.58200E+00       0.54652E+00
      0      1       0.14578E+02      -0.48187E-02       0.23102E+00      -0.19683E+01      -0.35158E+00      -0.75214E+00
      0      1      -0.80957E+01      -0.49156E-02      -0.64355E-01       0.17066E+01      -0.11402E-01       0.69967E+00
      0      1      -0.35391E+02       0.59632E-02      -0.13674E+00       0.74477E+00       0.44853E+00      -0.17217E+01
      0      1      -0.30325E+02       0.55749E-02       0.34273E-01       0.21080E+01      -0.19991E+00      -0.65153E-01
      0      1       0.10650E+02      -0.73413E-03      -0.14300E+00       0.10514E+01      -0.12849E+00       0.69445E+00
      0      1      -0.84940E+01       0.64259E-03       0.25083E+00      -0.19928E+01      -0.21017E+00      -0.89951E+00
      0      1      -0.10172E+02       0.13175E-02      -0.10733E+00       0.19945E+00       0.42839E+00      -0.81531E+00
      0      1      -0.20425E+00      -0.76188E-03      -0.39273E+00       0.13320E+01       0.71191E+00      -0.55687E+00
      0      1       0.96293E+01      -0.29532E-02      -0.28758E+00       0.16627E+01      -0.31047E+00       0.80341E+00
      0      1      -0.31221E+02       0.43064E-02      -0.49694E+00       0.29726E+01       0.70274E+00      -0.28711E+00
      0      1       0.26692E+02       0.89477E-02       0.63615E+00      -0.27431E+01       0.33920E+00       0.18441E-01
      0      1       0.56136E+01      -0.49672E-02       0.24185E+00      -0.33317E+01      -0.71508E+00       0.52984E+00
      0      1      -0.28024E+02      -0.92934E-02      -0.10672E+00      -0.26834E+00       0.79114E+00      -0.49854E+00
      0      1       0.21176E+02      -0.56823E-02      -0.14421E+00       0.15734E+01      -0.56443E+00       0.42406E+00
      0      1      -0.28452E+02      -0.71505E-02       0.45917E+00      -0.30635E+01      -0.19083E+00       0.10319E+01
      0      1       0.25721E+02      -0.78695E-02       0.66958E+00      -0.31249E+01       0.63878E-01       0.14215E+00
      0      1       0.18589E+02      -0.73661E-02       0.33094E+00      -0.26780E+01      -0.27970E+00       0.15842E+01
      0      1       0.14482E+02       0.88363E-02      -0.12908E+00      -0.39676E+00       0.53547E+00       0.35233E+00
      0      1      -0.19545E+02       0.78336E-02      -0.15124E+00       0.13499E+01       0.49859E+00      -0.12398E+01
      0      1      -0.23375E+02      -0.33166E-02       0.33401E-01      -0.11509E+01      -0.27370E+00      -0.76926E+00
      0      1       0.30704E+02       0.82898E-02       0.18637E+00      -0.18395E+01      -0.82810E-01       0.10905E+01
      0      1      -0.70172E+01       0.94476E-02      -0.57862E+00       0.27840E+01       0.81705E+00      -0.83382E+00
      0      1      -0.31678E+02      -0.28972E-02       0.18579E+00       0.75153E+00       0.76517E+00      -0.14251E+01
      0      1      -0.52799E+01       0.53692E-02       0.26239E+00      -0.33521E+01       0.44817E+00       0.46444E+00
      0      1      -0.25415E+02      -0.86253E-02      -0.35532E-01       0.81027E-01      -0.42498E-01       0.94886E+00
      0      1      -0.15137E+02      -0.45359E-02      -0.33253E+00       0.11518E+01       0.44170E-02       0.13318E+01
      0      1       0.17264E+02       0.47886E-02       0.28059E+00      -0.37481E+01      -0.83031E+00       0.86811E+00
      0      1      -0.32777E+02       0.81256E-02       0.45871E-01      -0.99192E+00       0.94608E-01       0.72656E+00
      0      1       0.59811E+01       0.11169E-02      -0.13984E+00       0.24849E+01       0.39207E+00      -0.18118E+01
      0      1      -0.24609E+02      -0.59700E-02       0.43649E-01      -0.83493E+00       0.55628E+00       0.30874E+00
      0      1      -0.26890E+01      -0.45597E-02       0.27863E+00      -0.11847E+01      -0.66552E+00       0.59139E+00
      0      1       0.86939E+01      -0.59630E-02       0.19904E+00       0.77544E-01      -0.37954E+00       0.12140E+01
      0      1      -0.24266E+02       0.13593E-02      -0.25289E+00       0.25555E+01       0.74791E+00      -0.25677E+01
