n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  10  drift  0.196900E+01   0.971992E+01  -0.853789E-03   0.998724E+00   0.983179E+00   0.184297E+01   0.219781E+01   0.104473E+03   0.179957E+03   0.589010E-03      0.349584E+00        0.505608E+00        0.645732E+00        0.809154E+00        0.981852E+00        0.105917E+01        0.609013E+02        0.778649E+02        0.911767E+02    -0.316299E-02  -0.890567E-02  -0.287733E-02  -0.265094E-01   0.144840E+00  -0.107982E+01  -0.339787E+01   0.165306E+01  -0.322855E+01   0.692121E+00  -0.279896E-03      0.177371E+04     0.000000E+00    0.553900E+04
  11  slit   0.196900E+01   0.971986E+01  -0.145030E-02   0.695434E+00   0.663575E+00   0.119991E+01   0.119936E+01   0.104101E+03   0.179957E+03   0.587503E-03      0.263901E+00        0.362306E+00        0.431317E+00        0.587394E+00        0.759651E+00        0.891609E+00        0.605257E+02        0.773643E+02        0.900633E+02     0.214750E-01   0.388238E-01  -0.961850E-02  -0.657520E-01   0.144840E+00  -0.894135E+00  -0.219863E+01   0.106174E+01  -0.203705E+01   0.434309E+00  -0.105891E-01      0.177202E+04     0.269700E+04    0.284200E+04
  12  drift  0.231900E+01   0.971986E+01  -0.145030E-02   0.746189E+00   0.774357E+00   0.131432E+01   0.146670E+01   0.104101E+03   0.179962E+03   0.587503E-03      0.263901E+00        0.362306E+00        0.431317E+00        0.587394E+00        0.759651E+00        0.891609E+00        0.605235E+02        0.774508E+02        0.904799E+02     0.228338E-01   0.388238E-01  -0.119198E-01  -0.657520E-01   0.144840E+00  -0.762814E+00  -0.239095E+01   0.122238E+01  -0.245205E+01   0.591427E+00  -0.136094E-01      0.177208E+04     0.000000E+00    0.284200E+04
  13  drift  0.266900E+01   0.971986E+01  -0.145030E-02   0.797559E+00   0.887907E+00   0.143907E+01   0.173999E+01   0.104101E+03   0.179984E+03   0.587503E-03      0.263901E+00        0.362306E+00        0.431317E+00        0.587394E+00        0.759651E+00        0.891609E+00        0.605229E+02        0.773410E+02        0.906694E+02     0.241926E-01   0.388238E-01  -0.142211E-01  -0.657520E-01   0.144840E+00  -0.631493E+00  -0.258326E+01   0.139647E+01  -0.286704E+01   0.777595E+00  -0.141054E-01      0.177209E+04     0.000000E+00    0.284200E+04
  14  slit   0.266900E+01   0.971970E+01  -0.304474E-02   0.698206E+00   0.678477E+00   0.119970E+01   0.119980E+01   0.104019E+03   0.179984E+03   0.584664E-03      0.236114E+00        0.320229E+00        0.384890E+00        0.461086E+00        0.622596E+00        0.767690E+00        0.601874E+02        0.781304E+02        0.905335E+02     0.101311E-01   0.245907E-01  -0.135158E-01  -0.868004E-01   0.144840E+00  -0.254545E+01  -0.218929E+01   0.119617E+01  -0.205079E+01   0.578410E+00  -0.731504E-02      0.177917E+04     0.862000E+03    0.198000E+04
  15  drift  0.298900E+01   0.971970E+01  -0.304474E-02   0.739335E+00   0.756387E+00   0.128832E+01   0.139759E+01   0.104022E+03   0.179978E+03   0.584664E-03      0.236114E+00        0.320229E+00        0.384890E+00        0.461086E+00        0.622596E+00        0.767690E+00        0.601883E+02        0.784164E+02        0.913943E+02     0.109180E-01   0.245907E-01  -0.162934E-01  -0.868004E-01   0.144840E+00  -0.235788E+01  -0.234426E+01   0.134125E+01  -0.233879E+01   0.718877E+00  -0.956465E-02      0.177926E+04     0.000000E+00    0.198000E+04
  16  slit   0.298900E+01   0.971970E+01  -0.304474E-02   0.739335E+00   0.756387E+00   0.128832E+01   0.139759E+01   0.104022E+03   0.179978E+03   0.584664E-03      0.236114E+00        0.320229E+00        0.384890E+00        0.461086E+00        0.622596E+00        0.767690E+00        0.601883E+02        0.784164E+02        0.913943E+02     0.109180E-01   0.245907E-01  -0.162934E-01  -0.868004E-01   0.144840E+00  -0.235788E+01  -0.234426E+01   0.134125E+01  -0.233879E+01   0.718877E+00  -0.956465E-02      0.177926E+04     0.000000E+00    0.198000E+04
  17  drift  0.328900E+01   0.971970E+01  -0.304474E-02   0.778277E+00   0.830812E+00   0.137810E+01   0.158915E+01   0.104017E+03   0.179996E+03   0.584664E-03      0.236114E+00        0.320229E+00        0.384890E+00        0.461086E+00        0.622596E+00        0.767690E+00        0.601856E+02        0.783686E+02        0.914453E+02     0.116557E-01   0.245907E-01  -0.188975E-01  -0.868004E-01   0.144840E+00  -0.253429E+01  -0.248955E+01   0.148626E+01  -0.260879E+01   0.867304E+00  -0.925418E-02      0.177917E+04     0.000000E+00    0.198000E+04
  18  drift  0.478900E+01   0.971969E+01  -0.322468E-02   0.864259E+00   0.859458E+00   0.149981E+01   0.149920E+01   0.103673E+03   0.179865E+03   0.587783E-03      0.212294E+00        0.293086E+00        0.331171E+00        0.336820E+00        0.476735E+00        0.568896E+00        0.602622E+02        0.803790E+02        0.924960E+02    -0.108467E-01  -0.964167E-02  -0.205959E-01  -0.772151E-01   0.144840E+00  -0.326375E+01  -0.270567E+01   0.203844E+01  -0.263487E+01   0.127057E+01  -0.393970E-01      0.176516E+04     0.692000E+03    0.128800E+04
  19  drift  0.728900E+01   0.971969E+01  -0.315322E-02   0.115563E+01   0.131452E+01   0.216739E+01   0.248429E+01   0.103681E+03   0.179804E+03   0.587452E-03      0.212239E+00        0.293628E+00        0.331784E+00        0.336298E+00        0.458086E+00        0.567641E+00        0.602315E+02        0.808938E+02        0.905866E+02    -0.121041E-01  -0.871162E-02  -0.418915E-01  -0.805293E-01   0.144840E+00  -0.319033E+01  -0.372623E+01   0.364550E+01  -0.419279E+01   0.297684E+01  -0.400817E-01      0.176635E+04     0.100000E+01    0.128700E+04
