 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    prmtr    0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
    2    drift    0.00000E+00    0.73133E+03    0.45900E+04    0.45900E+04
    3    drift    0.00000E+00    0.66244E+02    0.45900E+04    0.45900E+04
    4    quad     0.00000E+00    0.33122E+03    0.45900E+04    0.45900E+04
    5    drift    0.00000E+00    0.13249E+03    0.45900E+04    0.45900E+04
    6    quad     0.00000E+00    0.33122E+03    0.45900E+04    0.45900E+04
    7    drift    0.00000E+00    0.13249E+03    0.45900E+04    0.45900E+04
    8    quad     0.00000E+00    0.33122E+03    0.45900E+04    0.45900E+04
    9    drift    0.00000E+00    0.66244E+02    0.45900E+04    0.45900E+04
   10    drift    0.00000E+00    0.48623E+03    0.45900E+04    0.45900E+04
   11    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   12    drift    0.00000E+00    0.46371E+03    0.45900E+04    0.45900E+04
   13    drift    0.00000E+00    0.46371E+03    0.45900E+04    0.45900E+04
   14    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   15    drift    0.00000E+00    0.42396E+03    0.45900E+04    0.45900E+04
   16    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   17    drift    0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   18    drift    0.00000E+00    0.19873E+04    0.45900E+04    0.45900E+04
   19    drift    0.00000E+00    0.33122E+04    0.45900E+04    0.45900E+04
   20    drift    0.00000E+00    0.48358E+02    0.45900E+04    0.45900E+04
   21    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   22    drift    0.00000E+00    0.96716E+02    0.45900E+04    0.45900E+04
   23    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   24    drift    0.00000E+00    0.48358E+02    0.45900E+04    0.45900E+04
   25    drift    0.00000E+00    0.56837E+04    0.45900E+04    0.45900E+04
   26    drift    0.00000E+00    0.11924E+03    0.45900E+04    0.45900E+04
   27    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   28    drift    0.00000E+00    0.23848E+03    0.45900E+04    0.45900E+04
   29    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   30    drift    0.00000E+00    0.11924E+03    0.45900E+04    0.45900E+04
   31    drift    0.00000E+00    0.46371E+03    0.45900E+04    0.45900E+04
   32    drift    0.00000E+00    0.16826E+04    0.45900E+04    0.45900E+04
   33    drift    0.00000E+00    0.13249E+04    0.45900E+04    0.45900E+04
   34    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   35    drift    0.00000E+00    0.46371E+03    0.45900E+04    0.45900E+04
   36    drift    0.00000E+00    0.46371E+03    0.45900E+04    0.45900E+04
   37    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   38    drift    0.00000E+00    0.66244E+03    0.45900E+04    0.45900E+04
   39    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
   40    drift    0.00000E+00    0.13249E+04    0.45900E+04    0.45900E+04
   41    drift    0.00000E+00    0.41601E+03    0.45900E+04    0.45900E+04
   42    quad     0.00000E+00    0.37097E+03    0.45900E+04    0.45900E+04
   43    drift    0.00000E+00    0.19343E+03    0.45900E+04    0.45900E+04
   44    quad     0.00000E+00    0.37097E+03    0.45900E+04    0.45900E+04
   45    drift    0.00000E+00    0.51025E+04    0.45900E+04    0.45900E+04
   46    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   47    drift    0.00000E+00    0.11096E+03    0.45900E+04    0.45900E+04
   48    quad     0.00000E+00    0.39746E+03    0.45900E+04    0.45900E+04
   49    drift    0.00000E+00    0.17681E+03    0.45900E+04    0.45900E+04
   50    quad     0.00000E+00    0.33122E+03    0.45900E+04    0.45900E+04
   51    drift    0.00000E+00    0.44767E+04    0.45900E+04    0.45900E+04
   52    slit     0.00000E+00    0.00000E+00    0.45900E+04    0.45900E+04
