       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.219510810E-02   0.431937740E-01  -0.685420969E-03   0.775880811E-01   0.170729574E-01   0.458993949E+01   0.290926460E+00   0.647739757E+01   0.296818786E+00   0.660539450E+01   0.102771810E+03   0.581725806E-01   0.702540394E+00   0.155233607E+02   0.711751117E+00   0.158969179E+02   0.179996619E+03   0.100758386E+00   0.167307382E+00   0.174995398E+00   0.628598303E+02
  0.000000000E+00   0.219510810E-02   0.431937740E-01  -0.685420969E-03   0.775880811E-01   0.170729574E-01   0.458993949E+01   0.290926460E+00   0.647739757E+01   0.296818786E+00   0.660539450E+01   0.102771810E+03   0.581725806E-01   0.702540394E+00   0.155233607E+02   0.711751117E+00   0.158969179E+02   0.179996619E+03   0.100758386E+00   0.167307382E+00   0.174995398E+00   0.628598303E+02
  0.000000000E+00   0.219488861E-06   0.431894550E-05  -0.685352434E-07   0.775803231E-05   0.119385655E-01   0.458999999E+01   0.290926459E+00   0.647739755E+01   0.296818786E+00   0.660539445E+01   0.102765878E+03   0.581725791E-01   0.701958389E+00   0.154960602E+02   0.711065696E+00   0.159745060E+02   0.179989624E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.628580634E+02
  0.000000000E+00   0.219488861E-06   0.431894550E-05  -0.685352434E-07   0.775803231E-05   0.252838695E-02   0.458999999E+01   0.290926459E+00   0.647739755E+01   0.296818786E+00   0.660539445E+01   0.104272135E+03   0.581725791E-01   0.701958389E+00   0.154960602E+02   0.711065696E+00   0.159745060E+02   0.179979542E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708693965E+01
  0.000000000E+00   0.219488861E-06   0.431894550E-05  -0.685352434E-07   0.775803231E-05   0.252838695E-02   0.458999999E+01   0.290926459E+00   0.647739755E+01   0.296818786E+00   0.660539445E+01   0.104272135E+03   0.581725791E-01   0.701958389E+00   0.154960602E+02   0.711065696E+00   0.159745060E+02   0.179979542E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708693965E+01
  0.613333333E+01   0.245978393E-06   0.431894550E-05  -0.209526453E-07   0.775803231E-05   0.196100153E-02   0.458999999E+01   0.275361305E+00   0.647739755E+01   0.281354249E+00   0.660539445E+01   0.104272032E+03   0.581725791E-01   0.661016129E+00   0.154960602E+02   0.678327873E+00   0.159745060E+02   0.179978790E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708691206E+01
  0.122666667E+02   0.272467926E-06   0.431894550E-05   0.266299529E-07   0.775803231E-05   0.202187183E-02   0.458999999E+01   0.264888894E+00   0.647739755E+01   0.271111887E+00   0.660539445E+01   0.104271883E+03   0.581725791E-01   0.635011049E+00   0.154960602E+02   0.651255434E+00   0.159745060E+02   0.179985222E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708691504E+01
  0.184000000E+02   0.298957458E-06   0.431894550E-05   0.742125510E-07   0.775803231E-05   0.208274212E-02   0.458999999E+01   0.260125043E+00   0.647739755E+01   0.266694051E+00   0.660539445E+01   0.104271734E+03   0.581725791E-01   0.626365356E+00   0.154960602E+02   0.642800854E+00   0.159745060E+02   0.179998157E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708686708E+01
  0.245333333E+02   0.325446991E-06   0.431894550E-05   0.121795149E-06   0.775803231E-05   0.214361241E-02   0.458999999E+01   0.261382065E+00   0.647739755E+01   0.268388523E+00   0.660539445E+01   0.104271576E+03   0.581725791E-01   0.631129431E+00   0.154960602E+02   0.635000274E+00   0.159745060E+02   0.179966415E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708687009E+01
  0.306666667E+02   0.351936523E-06   0.431894550E-05   0.169377747E-06   0.775803231E-05   0.220448271E-02   0.458999999E+01   0.268575434E+00   0.647739755E+01   0.276082781E+00   0.660539445E+01   0.104271423E+03   0.581725791E-01   0.643592543E+00   0.154960602E+02   0.658943739E+00   0.159745060E+02   0.179976712E+03   0.102076733E+00   0.167307380E+00   0.174995397E+00   0.708687310E+01
