n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.459000E+01  -0.131822E-06   0.290926E+00   0.296819E+00   0.701958E+00   0.711066E+00   0.102766E+03   0.179990E+03   0.581726E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.251432E+03        0.328060E+03        0.386863E+03     0.219489E-06   0.431895E-05  -0.685352E-07   0.775803E-05   0.993953E-01   0.684029E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.126414E-01      0.176671E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.459000E+01  -0.131822E-06   0.290926E+00   0.296819E+00   0.701958E+00   0.711066E+00   0.104272E+03   0.179980E+03   0.581726E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.283478E+02        0.364742E+02        0.430120E+02     0.219489E-06   0.431895E-05  -0.685352E-07   0.775803E-05   0.993953E-01   0.144866E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.796611E-02      0.179252E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.459000E+01  -0.131822E-06   0.344888E+00   0.354690E+00   0.834422E+00   0.855303E+00   0.104271E+03   0.179998E+03   0.581726E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.283474E+02        0.365427E+02        0.430928E+02     0.457895E-06   0.431895E-05   0.359708E-06   0.775803E-05   0.993953E-01   0.104262E+00  -0.872584E+00   0.706654E-01  -0.877962E+00   0.714558E-01  -0.822494E-02      0.179250E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.459000E+01  -0.131822E-06   0.366994E+00   0.377297E+00   0.877667E+00   0.913591E+00   0.104271E+03   0.179986E+03   0.581726E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.283474E+02        0.364995E+02        0.430927E+02     0.479489E-06   0.431895E-05   0.398498E-06   0.775803E-05   0.993953E-01   0.107105E+00  -0.997214E+00   0.800144E-01  -0.100187E+01   0.808549E-01  -0.804119E-02      0.179250E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.459000E+01  -0.131822E-06   0.623460E+00   0.388359E+00   0.150230E+01   0.943048E+00   0.104271E+03   0.179996E+03   0.581726E-03      0.669409E+00        0.906384E+00        0.997122E+00        0.700034E+00        0.944137E+00        0.104325E+01        0.283473E+02        0.364965E+02        0.431401E+02     0.876805E-06   0.241276E-04  -0.377526E-06  -0.620527E-04   0.993953E-01   0.169131E+00  -0.621341E+01   0.230862E+00   0.850058E+00   0.856588E-01  -0.816750E-02      0.179250E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.459000E+01  -0.131822E-06   0.791719E+00   0.352744E+00   0.190360E+01   0.855488E+00   0.104271E+03   0.180000E+03   0.581726E-03      0.669409E+00        0.906384E+00        0.997122E+00        0.700034E+00        0.944137E+00        0.104325E+01        0.283474E+02        0.364911E+02        0.431337E+02     0.111808E-05   0.241276E-04  -0.998053E-06  -0.620527E-04   0.993953E-01   0.118632E+00  -0.792900E+01   0.372286E+00   0.648958E+00   0.706687E-01  -0.817040E-02      0.179250E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.459000E+01  -0.131822E-06   0.834708E+00   0.448555E+00   0.201153E+01   0.108520E+01   0.104270E+03   0.179971E+03   0.581726E-03      0.669386E+00        0.906791E+00        0.100531E+01        0.700092E+00        0.945421E+00        0.104351E+01        0.283472E+02        0.365396E+02        0.431910E+02     0.102051E-05  -0.228127E-04  -0.224567E-05  -0.280907E-04   0.993953E-01   0.178116E+00   0.678148E+01   0.413826E+00  -0.287322E+01   0.114262E+00  -0.850968E-02      0.179250E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.459000E+01  -0.131822E-06   0.698213E+00   0.562719E+00   0.168747E+01   0.136028E+01   0.104270E+03   0.179994E+03   0.581726E-03      0.669386E+00        0.906791E+00        0.100531E+01        0.700092E+00        0.945421E+00        0.104351E+01        0.283470E+02        0.365708E+02        0.432280E+02     0.792386E-06  -0.228127E-04  -0.252657E-05  -0.280907E-04   0.993953E-01   0.200243E+00   0.564602E+01   0.289551E+00  -0.368323E+01   0.179826E+00  -0.908219E-02      0.179250E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.459000E+01  -0.131822E-06   0.523367E+00   0.688204E+00   0.126862E+01   0.166424E+01   0.104270E+03   0.179976E+03   0.581726E-03      0.669210E+00        0.906100E+00        0.100232E+01        0.699954E+00        0.944995E+00        0.104304E+01        0.283466E+02        0.364922E+02        0.432885E+02     0.170350E-06  -0.202917E-04  -0.375613E-05  -0.666202E-04   0.993953E-01   0.183924E+00   0.289917E+00   0.162733E+00   0.765991E+00   0.269023E+00  -0.984444E-02      0.179250E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.459000E+01  -0.131822E-06   0.518954E+00   0.678526E+00   0.125579E+01   0.164414E+01   0.104269E+03   0.179966E+03   0.581726E-03      0.669210E+00        0.906100E+00        0.100232E+01        0.699954E+00        0.944995E+00        0.104304E+01        0.283466E+02        0.364923E+02        0.432886E+02     0.688911E-07  -0.202917E-04  -0.408923E-05  -0.666202E-04   0.993953E-01   0.184647E+00   0.256609E+00   0.160000E+00   0.736500E+00   0.261511E+00  -0.966093E-02      0.179250E+04     0.000000E+00    0.100010E+05
  10  drift  0.196900E+01   0.459000E+01  -0.131822E-06   0.502705E+00   0.615801E+00   0.121099E+01   0.149864E+01   0.104268E+03   0.179994E+03   0.581726E-03      0.669210E+00        0.906100E+00        0.100232E+01        0.699954E+00        0.944995E+00        0.104304E+01        0.283460E+02        0.364859E+02        0.433839E+02    -0.675815E-06  -0.202917E-04  -0.653419E-05  -0.666202E-04   0.993953E-01   0.225956E+00   0.121304E-01   0.150138E+00   0.520038E+00   0.215396E+00  -0.102990E-01      0.179248E+04     0.000000E+00    0.100010E+05
  11  slit   0.196900E+01   0.459001E+01   0.163997E-03   0.508142E+00   0.579923E+00   0.119627E+01   0.119987E+01   0.104326E+03   0.179994E+03   0.581822E-03      0.684358E+00        0.907827E+00        0.100202E+01        0.666359E+00        0.897417E+00        0.104594E+01        0.283654E+02        0.365705E+02        0.435363E+02     0.495694E-03   0.198369E-02  -0.109975E-02   0.588646E-02   0.993953E-01   0.622544E+00   0.122750E-01   0.150007E+00   0.481652E+00   0.200658E+00  -0.132595E-01      0.179325E+04     0.322000E+03    0.967900E+04
  12  drift  0.231900E+01   0.459001E+01   0.163997E-03   0.520373E+00   0.540747E+00   0.124245E+01   0.122875E+01   0.104324E+03   0.179980E+03   0.581822E-03      0.684358E+00        0.907827E+00        0.100202E+01        0.666359E+00        0.897417E+00        0.104594E+01        0.283648E+02        0.365768E+02        0.430823E+02     0.565123E-03   0.198369E-02  -0.893727E-03   0.588646E-02   0.993953E-01   0.664466E+00  -0.221082E+00   0.157316E+00   0.266762E+00   0.174464E+00  -0.133718E-01      0.179321E+04     0.000000E+00    0.967900E+04
  13  drift  0.266900E+01   0.459001E+01   0.163997E-03   0.558108E+00   0.523179E+00   0.133436E+01   0.126322E+01   0.104322E+03   0.179996E+03   0.581822E-03      0.684358E+00        0.907827E+00        0.100202E+01        0.666359E+00        0.897417E+00        0.104594E+01        0.283645E+02        0.365963E+02        0.431051E+02     0.634552E-03   0.198369E-02  -0.687701E-03   0.588646E-02   0.993953E-01   0.594806E+00  -0.454439E+00   0.180959E+00   0.518709E-01   0.163312E+00  -0.130200E-01      0.179318E+04     0.000000E+00    0.967900E+04
  14  slit   0.266900E+01   0.459000E+01   0.106766E-03   0.550167E+00   0.522720E+00   0.119993E+01   0.119674E+01   0.104285E+03   0.179996E+03   0.581356E-03      0.677155E+00        0.883775E+00        0.987458E+00        0.668245E+00        0.890475E+00        0.104149E+01        0.283319E+02        0.366205E+02        0.430829E+02     0.320652E-03   0.260388E-02  -0.411830E-03   0.625743E-02   0.993953E-01   0.471487E+00  -0.447103E+00   0.177716E+00   0.538458E-01   0.162565E+00  -0.125935E-01      0.179397E+04     0.870000E+02    0.959200E+04
  15  drift  0.298900E+01   0.459000E+01   0.106766E-03   0.602657E+00   0.527315E+00   0.138354E+01   0.126134E+01   0.104282E+03   0.179997E+03   0.581356E-03      0.677155E+00        0.883775E+00        0.987458E+00        0.668245E+00        0.890475E+00        0.104149E+01        0.283309E+02        0.365993E+02        0.432105E+02     0.403976E-03   0.260388E-02  -0.211592E-03   0.625743E-02   0.993953E-01   0.663608E+00  -0.663160E+00   0.213244E+00  -0.143569E+00   0.165436E+00  -0.133462E-01      0.179394E+04     0.000000E+00    0.959200E+04
  16  slit   0.298900E+01   0.459000E+01   0.106766E-03   0.602657E+00   0.527315E+00   0.138354E+01   0.126134E+01   0.104282E+03   0.179997E+03   0.581356E-03      0.677155E+00        0.883775E+00        0.987458E+00        0.668245E+00        0.890475E+00        0.104149E+01        0.283309E+02        0.365993E+02        0.432105E+02     0.403976E-03   0.260388E-02  -0.211592E-03   0.625743E-02   0.993953E-01   0.663608E+00  -0.663160E+00   0.213244E+00  -0.143569E+00   0.165436E+00  -0.133462E-01      0.179394E+04     0.000000E+00    0.959200E+04
  17  drift  0.328900E+01   0.459000E+01   0.106766E-03   0.664315E+00   0.549429E+00   0.156015E+01   0.133937E+01   0.104281E+03   0.179965E+03   0.581356E-03      0.677155E+00        0.883775E+00        0.987458E+00        0.668245E+00        0.890475E+00        0.104149E+01        0.283306E+02        0.365900E+02        0.432506E+02     0.482093E-03   0.260388E-02  -0.238690E-04   0.625743E-02   0.993953E-01   0.667793E+00  -0.865713E+00   0.259111E+00  -0.328646E+00   0.179603E+00  -0.131706E-01      0.179391E+04     0.000000E+00    0.959200E+04
  18  drift  0.478900E+01   0.459002E+01   0.343802E-03   0.821849E+00   0.776368E+00   0.149988E+01   0.149967E+01   0.104222E+03   0.179999E+03   0.581229E-03      0.560841E+00        0.736287E+00        0.896817E+00        0.656551E+00        0.838525E+00        0.997058E+00        0.283081E+02        0.366175E+02        0.435404E+02     0.271914E-02  -0.147943E-02   0.908279E-02   0.280320E-01   0.993953E-01   0.123077E+01  -0.133680E+01   0.478818E+00  -0.110887E+01   0.365000E+00  -0.137153E-01      0.179330E+04     0.222100E+04    0.737100E+04
  19  drift  0.728900E+01   0.459002E+01   0.495166E-03   0.134127E+01   0.132645E+01   0.249992E+01   0.249776E+01   0.104233E+03   0.179941E+03   0.583019E-03      0.532538E+00        0.663776E+00        0.795894E+00        0.612031E+00        0.762953E+00        0.957281E+00        0.284004E+02        0.367921E+02        0.420001E+02    -0.561415E-02  -0.165125E-01  -0.883432E-02  -0.267320E-01   0.993953E-01   0.139749E+01  -0.242095E+01   0.134310E+01  -0.226818E+01   0.114297E+01  -0.728098E-02      0.178787E+04     0.947000E+03    0.642400E+04
  20  drift  0.732550E+01   0.459002E+01   0.495166E-03   0.135010E+01   0.133606E+01   0.251789E+01   0.251943E+01   0.104233E+03   0.179933E+03   0.583019E-03      0.532538E+00        0.663776E+00        0.795894E+00        0.612031E+00        0.762953E+00        0.957281E+00        0.284004E+02        0.367921E+02        0.420002E+02    -0.567442E-02  -0.165125E-01  -0.893189E-02  -0.267320E-01   0.993953E-01   0.139775E+01  -0.243960E+01   0.136084E+01  -0.228781E+01   0.115960E+01  -0.714668E-02      0.178787E+04     0.000000E+00    0.642400E+04
  21  quad   0.762550E+01   0.459002E+01   0.519989E-03   0.123139E+01   0.158882E+01   0.232776E+01   0.297996E+01   0.104269E+03   0.179943E+03   0.583151E-03      0.533963E+00        0.662708E+00        0.794614E+00        0.603422E+00        0.746449E+00        0.896098E+00        0.284164E+02        0.367625E+02        0.417755E+02    -0.494415E-02   0.339171E-01  -0.155430E-01  -0.166910E+00   0.993953E-01   0.138014E+01   0.930804E+01   0.112903E+01  -0.168674E+02   0.166324E+01  -0.768764E-02      0.178808E+04     0.810000E+02    0.634300E+04
