n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  11  slit   13.0  27.0    -2      -0.207      -1.206     160.200  -0.0002323   0.0005029   0.0989362      -0.207      -1.206       0.000  -0.0002323   0.0005029   0.0989362       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.135      -1.302     160.200   0.0003985   0.0002896   0.0988909      -0.135      -1.302       0.000   0.0003985   0.0002896   0.0988909       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.277       1.285     160.200  -0.0000725  -0.0005195   0.0989489      -0.277       1.285       0.000  -0.0000725  -0.0005195   0.0989489       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.501       1.299     160.200   0.0001441  -0.0002300   0.0989080      -0.501       1.299       0.000   0.0001441  -0.0002300   0.0989080       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.330      -1.361     160.200  -0.0001227   0.0002523   0.0989466       0.330      -1.361       0.000  -0.0001227   0.0002523   0.0989466       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.070      -1.240     160.200  -0.0003565   0.0001246   0.0988951      -0.070      -1.240       0.000  -0.0003565   0.0001246   0.0988951       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.378       1.245     160.200  -0.0000097  -0.0005721   0.0988780       0.378       1.245       0.000  -0.0000097  -0.0005721   0.0988780       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.238       1.299     160.200   0.0000833  -0.0000854   0.0988774      -0.238       1.299       0.000   0.0000833  -0.0000854   0.0988774       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.006       1.221     160.200   0.0000966  -0.0000924   0.0989429       0.006       1.221       0.000   0.0000966  -0.0000924   0.0989429       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.206       1.359     160.200  -0.0000430  -0.0005114   0.0988808      -0.206       1.359       0.000  -0.0000430  -0.0005114   0.0988808       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.068      -1.323     160.200  -0.0000181   0.0005339   0.0988677       0.068      -1.323       0.000  -0.0000181   0.0005339   0.0988677       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.053      -1.346     160.200  -0.0002207   0.0001625   0.0988707      -0.053      -1.346       0.000  -0.0002207   0.0001625   0.0988707       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.108       1.245     160.200  -0.0004299  -0.0003652   0.0989253       0.108       1.245       0.000  -0.0004299  -0.0003652   0.0989253       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2       0.149       1.307     160.200  -0.0003380  -0.0003271   0.0988896       0.149       1.307       0.000  -0.0003380  -0.0003271   0.0988896       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.444      -1.241     160.200  -0.0002280   0.0004717   0.0988600      -0.444      -1.241       0.000  -0.0002280   0.0004717   0.0988600       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.273      -1.302     160.200  -0.0003278   0.0001722   0.0989034      -0.273      -1.302       0.000  -0.0003278   0.0001722   0.0989034       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.308      -1.211     160.200  -0.0002030   0.0002465   0.0988980      -0.308      -1.211       0.000  -0.0002030   0.0002465   0.0988980       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.246       1.246     160.200  -0.0000226  -0.0002220   0.0989169      -0.246       1.246       0.000  -0.0000226  -0.0002220   0.0989169       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   13.0  27.0    -2      -0.151      -1.230     160.200   0.0002223   0.0000517   0.0988845      -0.151      -1.230       0.000   0.0002223   0.0000517   0.0988845       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
