 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.11192E-11       0.00000E+00      -0.11381E-05      -0.21541E-05       0.00000E+00       0.00000E+00
      0      1      -0.12080E+02       0.30004E-02       0.37168E-01       0.63266E+00       0.12677E+00      -0.22104E+01
      0      1      -0.17485E+02       0.43221E-03      -0.63418E+00      -0.14295E+01       0.18189E-01      -0.96965E+00
      0      1      -0.25521E+02       0.26563E-02      -0.51483E+00       0.13352E+01       0.81919E-01      -0.30430E+01
      0      1       0.21407E+02       0.18255E-02       0.72990E+00      -0.15578E+01      -0.44716E-01       0.14519E+00
      0      1      -0.12139E+02       0.29939E-02      -0.56786E+00      -0.16838E+01       0.43119E-01      -0.43610E+00
      0      1       0.17337E+02      -0.38106E-02      -0.61692E+00      -0.32381E+00       0.30656E-01       0.11346E+01
      0      1      -0.41098E+02       0.32590E-03       0.59351E+00       0.11667E+01      -0.93601E-01       0.12330E+01
      0      1       0.17998E+02      -0.39321E-02      -0.63754E+00      -0.95928E+00       0.54614E-01      -0.54300E+01
      0      1       0.33260E+02       0.13178E-02      -0.20208E+00      -0.15769E+01       0.46837E-01      -0.37229E+01
      0      1      -0.37538E+02      -0.13181E-02       0.91960E+00      -0.42457E-01       0.66882E-01      -0.50563E+01
      0      1       0.43861E+01      -0.45110E-02       0.79979E+00       0.49997E+00      -0.32514E-01       0.28148E+01
      0      1       0.37134E+02       0.29398E-03       0.28096E+00       0.79217E+00       0.12417E+00      -0.58200E+00
      0      1       0.33797E+02       0.37987E-02       0.76886E+00      -0.36475E+00       0.90367E-01       0.47879E-01
      0      1       0.14054E+02      -0.76529E-04       0.11400E+00       0.42323E+00      -0.72300E-01       0.55991E+01
      0      1       0.77894E+01      -0.67836E-03      -0.54517E+00       0.16571E+01       0.14983E+00      -0.49647E+01
      0      1       0.39483E+02       0.35461E-02       0.75025E+00      -0.12160E+01       0.15151E-01       0.10152E+01
      0      1       0.22738E+02       0.11174E-02      -0.87389E+00       0.14064E+01      -0.31983E-01      -0.56200E+00
      0      1      -0.36461E+02      -0.21170E-02       0.18083E-01       0.48503E+00      -0.11459E+00       0.51777E+01
      0      1       0.12110E+02       0.30198E-02      -0.60562E+00       0.12903E+01      -0.12950E+00       0.47932E+01
      0      1      -0.38872E+02       0.23484E-02       0.76987E+00      -0.17880E+00      -0.61084E-01       0.24003E+01
      0      1      -0.17240E+02       0.11322E-03       0.24118E+00       0.17316E+01      -0.16572E+00       0.44670E+01
      0      1       0.33776E+02      -0.41450E-02       0.43981E-01      -0.10107E+01      -0.24093E-01       0.24895E+00
      0      1       0.33792E+01       0.35970E-02       0.50167E-01      -0.11549E+01       0.11106E+00      -0.26402E+01
      0      1       0.40531E+02      -0.39635E-02      -0.72078E+00      -0.13665E+01      -0.21851E+00       0.48987E+01
      0      1      -0.33162E+02      -0.17050E-02      -0.67055E+00      -0.10858E+01      -0.10077E+00       0.26355E+01
      0      1       0.73490E+01       0.19981E-02       0.10574E+00      -0.10822E+01       0.15813E+00      -0.43995E+01
      0      1      -0.35820E+02       0.49941E-03      -0.21361E+00      -0.14026E+01      -0.17178E+00       0.41526E+01
      0      1      -0.37962E+02      -0.29887E-02      -0.35976E+00      -0.38944E+00      -0.16509E+00       0.29556E+01
      0      1       0.28818E+02       0.21728E-02      -0.90938E+00       0.12251E+01      -0.68683E-02       0.29696E+01
      0      1      -0.23796E+02      -0.13442E-02       0.52500E+00       0.59244E+00       0.12245E+00      -0.57242E+01
      0      1       0.19800E+02      -0.12953E-03      -0.63211E+00       0.16808E+00       0.27199E+00      -0.60336E+01
