 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.27284E+00      -0.15236E-01       0.18199E-01       0.17753E+00      -0.10294E+01      -0.12328E+01
      0      1      -0.20170E+00       0.11668E-01      -0.35020E-01      -0.10642E+00       0.19966E+01       0.23155E+01
      0      1       0.47649E+00      -0.45068E-01      -0.12972E+00      -0.39415E+00       0.32076E+00       0.64677E+00
      0      1      -0.75639E+00       0.73003E-01      -0.16379E+00      -0.25017E+01       0.13102E+01       0.15299E+01
      0      1      -0.33062E+00       0.22126E-01      -0.28031E-01       0.10324E+01       0.42481E+00       0.55394E+00
      0      1       0.28116E+00      -0.72904E-02      -0.23834E+00      -0.53849E+00      -0.15611E+00      -0.20969E+00
      0      1       0.74031E+00      -0.38828E-01      -0.19306E+00      -0.98472E-01      -0.41804E+00      -0.41572E+00
      0      1       0.13057E+00      -0.11799E-01      -0.62124E-01       0.29026E+01      -0.67683E+00      -0.70275E+00
      0      1       0.52049E+00      -0.53213E-01       0.16122E+00      -0.27264E+01       0.88032E+00       0.11081E+01
      0      1      -0.51073E+00       0.50044E-01       0.38461E-01       0.61376E+00      -0.26186E+01      -0.32562E+01
      0      1      -0.35238E+00       0.29910E-01       0.22879E+00       0.77795E+00      -0.13625E+01      -0.12357E+01
      0      1      -0.66455E-01       0.12348E-01      -0.64279E-01      -0.18403E+01       0.18696E+01       0.19398E+01
      0      1       0.60827E+00      -0.47321E-01       0.37836E-02       0.10895E+01      -0.81168E+00      -0.10006E+01
      0      1       0.65542E+00      -0.67856E-01       0.14753E+00      -0.15369E+00       0.12912E-01       0.36794E+00
      0      1      -0.43917E+00       0.24863E-01      -0.28730E+00       0.56298E+00      -0.65727E-01       0.11186E+00
      0      1      -0.10794E+01       0.73271E-01       0.49809E-02       0.16266E+01      -0.11256E+01      -0.12371E+01
      0      1       0.44715E+00      -0.34907E-01      -0.79643E-01      -0.15049E+01      -0.10750E+01      -0.14940E+01
      0      1       0.55261E+00      -0.51618E-01       0.51846E-01      -0.16964E+01      -0.13576E+01      -0.12746E+01
      0      1      -0.62919E+00       0.42591E-01       0.70500E-01      -0.20374E+01       0.14996E+01       0.15525E+01
      0      1       0.87240E+00      -0.75346E-01      -0.11947E+00       0.18924E+01       0.59984E+00       0.59895E+00
      0      1      -0.29461E+00       0.37045E-01      -0.71068E-01      -0.96090E+00       0.24392E+01       0.27593E+01
      0      1       0.19986E+00      -0.17700E-01       0.78307E-01      -0.39043E+00      -0.13670E+01      -0.19283E+01
      0      1       0.11975E+01      -0.91314E-01       0.49695E-01      -0.56407E+00       0.44200E+00       0.43444E+00
      0      1      -0.79643E+00       0.62155E-01       0.10079E+00      -0.73912E+00       0.13972E+01       0.15221E+01
      0      1       0.17307E+00      -0.16842E-01      -0.80385E-01      -0.16567E+01       0.13585E+01       0.19232E+01
      0      1      -0.83535E+00       0.66223E-01       0.13556E+00       0.65461E+00      -0.93679E+00      -0.71874E+00
      0      1      -0.10908E+01       0.11547E+00       0.48565E-01      -0.38576E+00      -0.76062E+00      -0.71423E+00
      0      1       0.71792E+00      -0.72507E-01      -0.21981E+00      -0.15607E+01      -0.15559E+01      -0.16533E+01
      0      1       0.18945E+00      -0.15948E-01       0.15355E+00      -0.23154E+01       0.97547E+00       0.99865E+00
      0      1       0.16237E+00      -0.29760E-01      -0.51339E-01      -0.66592E+00       0.11149E+01       0.11572E+01
      0      1       0.31929E+00      -0.29820E-01       0.28353E-01      -0.10983E+01      -0.96272E+00      -0.80173E+00
      0      1      -0.24936E+00       0.13440E-01       0.77145E-01       0.29229E+00       0.14616E+01       0.16318E+01
      0      1       0.20670E+00      -0.97470E-02       0.12209E+00      -0.22958E+01       0.12770E+01       0.13293E+01
      0      1       0.22973E+00      -0.12572E-01       0.20868E-01      -0.29590E+01       0.17771E+01       0.19039E+01
      0      1      -0.23236E+00       0.16766E-01       0.89157E-01       0.41756E-01       0.16339E+01       0.20795E+01
      0      1      -0.38673E+00       0.58452E-01       0.10347E+00       0.42906E+00       0.13600E+01       0.14079E+01
      0      1      -0.24722E+00       0.42470E-01      -0.11617E+00       0.92269E+00      -0.11593E+01      -0.15845E+01
      0      1       0.10183E+01      -0.10213E+00       0.15064E+00      -0.32058E+00       0.81962E+00       0.84353E+00
      0      1      -0.63416E+00       0.55478E-01      -0.20472E+00       0.10342E+01      -0.67997E+00      -0.80451E+00
      0      1       0.10224E+00      -0.15509E-01       0.18413E-01      -0.25980E+01      -0.21680E+00      -0.58345E-01
      0      1       0.95134E+00      -0.82393E-01      -0.87729E-01      -0.11972E+01      -0.21251E+01      -0.25496E+01
      0      1       0.18012E+00      -0.27624E-02      -0.62813E-01       0.57856E+00      -0.68643E+00      -0.42259E+00
      0      1       0.28947E+00      -0.43233E-01       0.92287E-01       0.26482E+01       0.63578E+00       0.58696E+00
      0      1       0.61452E+00      -0.69115E-01      -0.12338E+00       0.23619E+01       0.29421E+00       0.19621E+00
      0      1       0.61740E+00      -0.65565E-01       0.80067E-01      -0.31377E+01      -0.10696E+00       0.24843E-01
      0      1       0.21007E+00      -0.29956E-01       0.13004E+00       0.32904E+01       0.58322E+00       0.86387E+00
      0      1       0.10663E+01      -0.85712E-01      -0.80674E-01      -0.16197E+01       0.74111E+00       0.78266E+00
      0      1      -0.58857E+00       0.60354E-01       0.41455E-01       0.37576E+01       0.16346E+00       0.49431E-01
      0      1       0.19256E+00      -0.17569E-01      -0.16342E+00      -0.32210E+01      -0.12045E+00      -0.90057E-01
      0      1      -0.14654E+01       0.12069E+00       0.39241E-01      -0.23234E+00       0.10481E+01       0.13026E+01
      0      1       0.21803E+00      -0.40955E-01      -0.60867E-01       0.13216E+01       0.19065E+01       0.21952E+01
      0      1       0.37372E+00      -0.26255E-01      -0.16530E+00       0.30056E+01      -0.22273E+00      -0.40685E+00
      0      1       0.29673E+00      -0.19324E-01      -0.30301E+00       0.15914E+01       0.11585E+00       0.14591E+00
      0      1      -0.56270E+00       0.72410E-01       0.90502E-02       0.26664E+00      -0.15678E+00      -0.49175E+00
      0      1      -0.53552E+00       0.30950E-01      -0.12295E+00      -0.22439E+01       0.10670E+01       0.12463E+01
      0      1      -0.27367E+00       0.95494E-02       0.30514E+00       0.10659E+01       0.14219E+00       0.27580E+00
      0      1       0.77032E+00      -0.62189E-01      -0.17977E+00       0.95242E+00      -0.12509E+01      -0.15198E+01
      0      1      -0.77356E-01       0.84351E-02      -0.20916E+00       0.69665E+00       0.86842E+00       0.83761E+00
      0      1      -0.44194E+00       0.48440E-01       0.25613E-01      -0.32213E+01      -0.87028E-01      -0.57953E-01
      0      1      -0.63185E-01       0.36033E-02       0.31620E+00      -0.12638E+00      -0.13046E+01      -0.14303E+01
      0      1      -0.90533E+00       0.82636E-01      -0.12004E+00       0.54192E-02      -0.21439E+01      -0.26753E+01
      0      1      -0.85590E-03      -0.14107E-01       0.11406E+00       0.19358E+01       0.10080E+00       0.49825E+00
      0      1      -0.19097E+00       0.42244E-02      -0.10358E+00      -0.15613E+01      -0.15793E+01      -0.17550E+01
      0      1      -0.16032E+00       0.26600E-01       0.15261E+00       0.23364E+01      -0.95571E+00      -0.86491E+00
      0      1       0.50177E+00      -0.30200E-01      -0.14949E+00      -0.80820E+00      -0.42441E+00      -0.48686E+00
      0      1      -0.84762E+00       0.61290E-01       0.38597E-01      -0.27652E+01      -0.13152E+01      -0.14226E+01
      0      1       0.84046E+00      -0.72744E-01       0.19596E+00       0.19176E+01       0.47889E+00       0.67275E+00
      0      1      -0.89248E+00       0.79626E-01      -0.13407E+00       0.18361E+01      -0.19042E+01      -0.21915E+01
      0      1      -0.35940E+00       0.63030E-02      -0.14097E-02       0.20979E+01      -0.77087E+00      -0.65945E+00
      0      1       0.38770E-01      -0.66367E-02      -0.15860E+00       0.19273E+01      -0.11476E+01      -0.12709E+01
      0      1       0.32387E+00      -0.98976E-02      -0.22032E+00      -0.24229E+01       0.28071E+00       0.44411E+00
      0      1       0.28226E+00      -0.39702E-01      -0.27187E+00      -0.10328E+01       0.16032E+01       0.17997E+01
      0      1      -0.64979E+00       0.77112E-01      -0.34799E-01      -0.84194E+00       0.17640E+01       0.19259E+01
      0      1      -0.49880E+00       0.63164E-01      -0.15237E+00       0.21587E+01       0.22131E+00       0.14175E+00
      0      1       0.53246E+00      -0.27709E-01      -0.24218E+00      -0.23329E+01      -0.13752E+00      -0.76657E-01
      0      1      -0.78917E-01       0.13480E-01       0.12048E+00      -0.20356E+01       0.22775E+01       0.27292E+01
      0      1       0.64996E+00      -0.58580E-01       0.23207E+00       0.92742E+00       0.74983E+00       0.56868E+00
      0      1       0.89360E+00      -0.56211E-01      -0.14321E+00       0.93552E+00       0.21088E+00       0.28773E+00
      0      1       0.30533E+00      -0.41592E-01      -0.41961E-01      -0.69877E+00      -0.20261E+01      -0.26236E+01
      0      1      -0.23354E+00       0.99512E-02       0.73200E-01       0.10351E+01       0.17493E+01       0.17466E+01
      0      1       0.24343E+00      -0.12644E-01       0.36836E+00       0.20622E+00       0.22973E+00       0.17254E+00
      0      1       0.69484E+00      -0.66452E-01       0.28240E-01      -0.17420E+01       0.36830E+00       0.33480E+00
      0      1       0.40079E+00      -0.51223E-01       0.12674E+00      -0.20882E+01       0.14999E+01       0.15497E+01
      0      1      -0.81422E-01       0.61141E-03      -0.23233E+00       0.13791E+01      -0.49925E-02       0.18040E+00
      0      1       0.17315E+00      -0.12723E-01      -0.95846E-01      -0.98547E+00      -0.17303E+01      -0.22202E+01
      0      1      -0.10809E+00       0.20942E-01      -0.13878E+00       0.28627E+01      -0.18657E+01      -0.21625E+01
