n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn95.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn95.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn95.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.913684E+01  -0.135020E-04   0.194325E+00   0.200471E+00   0.503520E+00   0.514843E+00   0.525622E+01   0.139685E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.272691E+02        0.360495E+02        0.552906E+02     0.306715E-05   0.587097E-06   0.730960E-06   0.103948E-03   0.140406E+00  -0.115961E-03  -0.475875E+00   0.166291E+00  -0.491052E+00   0.174908E+00   0.108560E+00      0.942554E+01     0.000000E+00    0.100100E+04
   1  drift  0.385127E+01   0.913684E+01  -0.135019E-04   0.607794E+00   0.607392E+00   0.148375E+01   0.158322E+01   0.118147E+02   0.325300E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.272692E+02        0.362143E+02        0.550369E+02     0.329326E-05   0.587097E-06   0.407641E-04   0.103948E-03   0.140406E+00   0.485205E-01  -0.331632E+01   0.162677E+01  -0.322388E+01   0.160563E+01   0.202778E+01      0.476214E+02     0.000000E+00    0.100100E+04
   2  quad   0.415127E+01   0.913684E+01  -0.135019E-04   0.562120E+00   0.730764E+00   0.136516E+01   0.190283E+01   0.125201E+02   0.344685E+02   0.560934E-02      0.127582E+00        0.165133E+00        0.232582E+00        0.129114E+00        0.160966E+00        0.236367E+00        0.272694E+02        0.362593E+02        0.550216E+02    -0.662639E-05  -0.638001E-03   0.569697E-04   0.101247E-02   0.140406E+00   0.553684E-01   0.104275E+02   0.139095E+01  -0.228599E+02   0.232288E+01   0.217727E+01      0.534775E+02     0.000000E+00    0.100100E+04
   3  drift  0.423502E+01   0.913684E+01  -0.135019E-04   0.526838E+00   0.790998E+00   0.127700E+01   0.205922E+01   0.127186E+02   0.350096E+02   0.560934E-02      0.127582E+00        0.165133E+00        0.232582E+00        0.129114E+00        0.160966E+00        0.236367E+00        0.272694E+02        0.363125E+02        0.550189E+02    -0.119696E-04  -0.638001E-03   0.654491E-04   0.101247E-02   0.140406E+00   0.590478E-01   0.976684E+01   0.122183E+01  -0.247477E+02   0.272160E+01   0.221900E+01      0.551867E+02     0.000000E+00    0.100100E+04
   4  quad   0.453502E+01   0.913684E+01  -0.135019E-04   0.503735E+00   0.835525E+00   0.122456E+01   0.217331E+01   0.134347E+02   0.369481E+02   0.560934E-02      0.127530E+00        0.164228E+00        0.234947E+00        0.129392E+00        0.160919E+00        0.233894E+00        0.272696E+02        0.363020E+02        0.550031E+02    -0.223891E-04  -0.836834E-04   0.674268E-04  -0.897503E-03   0.140406E+00   0.649314E-01  -0.580996E+01   0.111747E+01   0.156892E+02   0.303011E+01   0.236848E+01      0.615755E+02     0.000000E+00    0.100100E+04
   5  drift  0.466848E+01   0.913684E+01  -0.135019E-04   0.538719E+00   0.777801E+00   0.131508E+01   0.202215E+01   0.137555E+02   0.378104E+02   0.560934E-02      0.127530E+00        0.164228E+00        0.234947E+00        0.129392E+00        0.160919E+00        0.233894E+00        0.272697E+02        0.362977E+02        0.549965E+02    -0.235059E-04  -0.836834E-04   0.554496E-04  -0.897503E-03   0.140406E+00   0.680347E-01  -0.622502E+01   0.127808E+01   0.146007E+02   0.262589E+01   0.243498E+01      0.645513E+02     0.000000E+00    0.100100E+04
   6  quad   0.491848E+01   0.913684E+01  -0.135019E-04   0.551975E+00   0.741326E+00   0.135636E+01   0.192517E+01   0.143599E+02   0.394257E+02   0.560934E-02      0.127551E+00        0.164061E+00        0.233372E+00        0.129086E+00        0.159817E+00        0.234680E+00        0.272698E+02        0.362884E+02        0.549824E+02    -0.295392E-04  -0.394226E-03   0.435684E-04  -0.712694E-04   0.140406E+00   0.716073E-01   0.384085E+01   0.134153E+01  -0.438899E+01   0.239103E+01   0.255955E+01      0.703476E+02     0.000000E+00    0.100100E+04
   7  drift  0.829744E+01   0.913682E+01  -0.278060E-03   0.140319E+00   0.119914E+01   0.368360E+00   0.292150E+01   0.228011E+02   0.638646E+02   0.561371E-02      0.127744E+00        0.165509E+00        0.233440E+00        0.128492E+00        0.160046E+00        0.235361E+00        0.273116E+02        0.363390E+02        0.548099E+02    -0.226790E-03  -0.217880E-02   0.928237E-04  -0.134995E-03   0.140406E+00   0.120617E+00  -0.126442E+00   0.865639E-01  -0.720776E+01   0.628505E+01   0.424379E+01      0.177090E+03     0.200000E+01    0.999000E+03
