       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.116825049E-02   0.529146609E-01  -0.337289146E-03   0.217382518E+00   0.170729574E-01   0.966987150E+01   0.152620362E+00   0.215299471E+02   0.153863097E+00   0.216358896E+02   0.102771810E+03   0.586473656E-01   0.368449444E+00   0.518351767E+02   0.368663109E+00   0.524458045E+02   0.179996619E+03   0.101581586E+00   0.334614763E+00   0.341657683E+00   0.133511038E+03
  0.000000000E+00   0.116825049E-02   0.529146609E-01  -0.337289146E-03   0.217382518E+00   0.170729574E-01   0.966987150E+01   0.152620362E+00   0.215299471E+02   0.153863097E+00   0.216358896E+02   0.102771810E+03   0.586473656E-01   0.368449444E+00   0.518351767E+02   0.368663109E+00   0.524458045E+02   0.179996619E+03   0.101581586E+00   0.334614763E+00   0.341657683E+00   0.133511038E+03
  0.000000000E+00   0.116813367E-06   0.529093700E-05  -0.337255421E-07   0.217360782E-04   0.119385655E-01   0.966999999E+01   0.152620361E+00   0.215299471E+02   0.153863097E+00   0.216358895E+02   0.102765878E+03   0.586473641E-01   0.368320987E+00   0.518880914E+02   0.368325820E+00   0.526631870E+02   0.179989624E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.133507285E+03
  0.000000000E+00   0.116813367E-06   0.529093700E-05  -0.337255421E-07   0.217360782E-04   0.252838695E-02   0.966999999E+01   0.152620361E+00   0.215299471E+02   0.153863097E+00   0.216358895E+02   0.104272135E+03   0.586473641E-01   0.368320987E+00   0.518880914E+02   0.368325820E+00   0.526631870E+02   0.179979542E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150522943E+02
  0.000000000E+00   0.116813367E-06   0.529093700E-05  -0.337255421E-07   0.217360782E-04   0.252838695E-02   0.966999999E+01   0.152620361E+00   0.215299471E+02   0.153863097E+00   0.216358895E+02   0.104272135E+03   0.586473641E-01   0.368320987E+00   0.518880914E+02   0.368325820E+00   0.526631870E+02   0.179979542E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150522943E+02
  0.920000000E+01   0.165489988E-06   0.529093700E-05   0.166246377E-06   0.217360782E-04   0.258559804E-02   0.966999999E+01   0.140148742E+00   0.215299471E+02   0.142080227E+00   0.216358895E+02   0.104272271E+03   0.586473641E-01   0.336764099E+00   0.518880914E+02   0.346011406E+00   0.526631870E+02   0.179975412E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150522715E+02
  0.184000000E+02   0.214166608E-06   0.529093700E-05   0.366218296E-06   0.217360782E-04   0.264280913E-02   0.966999999E+01   0.307340500E+00   0.215299471E+02   0.309744540E+00   0.216358895E+02   0.104272412E+03   0.586473641E-01   0.737546669E+00   0.518880914E+02   0.749455487E+00   0.526631870E+02   0.179962827E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150522749E+02
  0.276000000E+02   0.262843229E-06   0.529093700E-05   0.566190215E-06   0.217360782E-04   0.270002022E-02   0.966999999E+01   0.497737395E+00   0.215299471E+02   0.500937640E+00   0.216358895E+02   0.104272553E+03   0.586473641E-01   0.120025685E+01   0.518880914E+02   0.121058621E+01   0.526631870E+02   0.179991555E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150522889E+02
  0.368000000E+02   0.311519849E-06   0.529093700E-05   0.766162135E-06   0.217360782E-04   0.275723131E-02   0.966999999E+01   0.692455533E+00   0.215299471E+02   0.696546703E+00   0.216358895E+02   0.104272699E+03   0.586473641E-01   0.167200554E+01   0.518880914E+02   0.169250818E+01   0.526631870E+02   0.179984446E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150524061E+02
  0.460000000E+02   0.360196469E-06   0.529093700E-05   0.966134054E-06   0.217360782E-04   0.155793100E-02   0.966999999E+01   0.888658896E+00   0.215299471E+02   0.893676704E+00   0.216358895E+02   0.104272930E+03   0.586473641E-01   0.214375424E+01   0.518880914E+02   0.217443016E+01   0.526631870E+02   0.179997180E+03   0.102910414E+00   0.334614760E+00   0.341657680E+00   0.150524433E+02
