n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.967000E+01  -0.132869E-06   0.152620E+00   0.153863E+00   0.368321E+00   0.368326E+00   0.102766E+03   0.179990E+03   0.586474E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.534029E+03        0.696786E+03        0.821682E+03     0.116813E-06   0.529094E-05  -0.337255E-07   0.217361E-04   0.144465E+00   0.684029E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.126414E-01      0.175241E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.967000E+01  -0.132869E-06   0.152620E+00   0.153863E+00   0.368321E+00   0.368326E+00   0.104272E+03   0.179980E+03   0.586474E-03      0.133846E+01        0.181139E+01        0.199713E+01        0.136663E+01        0.184525E+01        0.203670E+01        0.602092E+02        0.774696E+02        0.913557E+02     0.116813E-06   0.529094E-05  -0.337255E-07   0.217361E-04   0.144465E+00   0.144866E+00   0.100625E+01   0.100564E-01   0.990630E+00   0.100101E-01  -0.796601E-02      0.177801E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.967000E+01   0.599846E-05   0.108123E+01   0.108729E+01   0.249457E+01   0.249530E+01   0.104238E+03   0.179987E+03   0.586512E-03      0.133573E+01        0.179500E+01        0.198782E+01        0.136402E+01        0.182985E+01        0.203542E+01        0.601937E+02        0.775471E+02        0.912319E+02    -0.911086E-03  -0.177588E-01  -0.533844E-03  -0.111983E-01   0.144465E+00  -0.432092E-01  -0.998175E+01   0.505755E+00  -0.987780E+01   0.500832E+00  -0.788979E-02      0.177731E+04     0.440000E+02    0.995700E+04
   3  drift  0.602000E+00   0.967000E+01   0.599846E-05   0.118797E+01   0.119456E+01   0.274190E+01   0.273956E+01   0.104238E+03   0.179997E+03   0.586512E-03      0.133573E+01        0.179500E+01        0.198782E+01        0.136402E+01        0.182985E+01        0.203542E+01        0.601939E+02        0.775565E+02        0.911357E+02    -0.999880E-03  -0.177588E-01  -0.589835E-03  -0.111983E-01   0.144465E+00  -0.130496E+00  -0.109767E+02   0.610547E+00  -0.108619E+02   0.604530E+00  -0.732902E-02      0.177731E+04     0.000000E+00    0.995700E+04
   4  quad   0.852000E+00   0.966999E+01  -0.140588E-03   0.166097E+01   0.984905E+00   0.297914E+01   0.215066E+01   0.104273E+03   0.179957E+03   0.588288E-03      0.880436E+00        0.128868E+01        0.174146E+01        0.154487E+01        0.188293E+01        0.211091E+01        0.603971E+02        0.773200E+02        0.896984E+02     0.889977E-02   0.369190E+00  -0.251535E-02   0.102541E+00   0.144465E+00  -0.234096E+01  -0.758319E+02   0.181072E+01   0.158779E+02   0.362844E+00  -0.492741E-02      0.177250E+04     0.314300E+04    0.681400E+04
   5  drift  0.952000E+00   0.966995E+01  -0.535404E-03   0.169348E+01   0.564386E+00   0.298371E+01   0.122358E+01   0.103560E+03   0.179977E+03   0.585821E-03      0.634453E+00        0.918424E+00        0.116848E+01        0.159257E+01        0.191601E+01        0.207810E+01        0.597322E+02        0.769516E+02        0.895828E+02     0.181433E-01   0.534648E+00  -0.448400E-02   0.357127E+00   0.144465E+00  -0.147776E+01  -0.769938E+02   0.261206E+01   0.892650E+01   0.115578E+00  -0.617235E-02      0.176781E+04     0.180600E+04    0.500800E+04
   6  quad   0.120200E+01   0.966992E+01  -0.817511E-03   0.153257E+01   0.416614E+00   0.267949E+01   0.922018E+00   0.103946E+03   0.179895E+03   0.586581E-03      0.530498E+00        0.777497E+00        0.964636E+00        0.160415E+01        0.192588E+01        0.204663E+01        0.600336E+02        0.775086E+02        0.897090E+02     0.204791E-01  -0.422605E+00   0.653280E-02   0.660488E+00   0.144465E+00  -0.187767E+01   0.534260E+02   0.255846E+01  -0.602284E+01   0.625238E-01  -0.186013E-02      0.177207E+04     0.823000E+03    0.418500E+04
   7  drift  0.130200E+01   0.966992E+01  -0.817511E-03   0.121255E+01   0.820643E+00   0.213069E+01   0.180215E+01   0.103946E+03   0.179872E+03   0.586581E-03      0.530498E+00        0.777497E+00        0.964636E+00        0.160415E+01        0.192588E+01        0.204663E+01        0.600335E+02        0.775009E+02        0.897001E+02     0.162530E-01  -0.422605E+00   0.131377E-01   0.660488E+00   0.144465E+00  -0.175460E+01   0.422656E+02   0.160154E+01  -0.119845E+02   0.242597E+00  -0.159190E-02      0.177206E+04     0.000000E+00    0.418500E+04
   8  quad   0.155200E+01   0.966992E+01  -0.782568E-03   0.827277E+00   0.138742E+01   0.149116E+01   0.296166E+01   0.103935E+03   0.179908E+03   0.586243E-03      0.528245E+00        0.768354E+00        0.949757E+00        0.159720E+01        0.192302E+01        0.208345E+01        0.599928E+02        0.775216E+02        0.896203E+02     0.114203E-01  -0.345144E-02   0.254351E-01   0.425876E-01   0.144465E+00  -0.151875E+01   0.833313E+00   0.748667E+00  -0.103353E+01   0.696432E+00  -0.719840E-03      0.177290E+04     0.800000E+01    0.417700E+04
   9  drift  0.160200E+01   0.966992E+01  -0.782568E-03   0.822691E+00   0.139775E+01   0.149243E+01   0.297815E+01   0.103935E+03   0.179922E+03   0.586243E-03      0.528245E+00        0.768354E+00        0.949757E+00        0.159720E+01        0.192302E+01        0.208345E+01        0.599928E+02        0.775215E+02        0.896203E+02     0.114031E-01  -0.345144E-02   0.256481E-01   0.425876E-01   0.144465E+00  -0.151834E+01   0.821997E+00   0.740390E+00  -0.104838E+01   0.706842E+00  -0.592559E-03      0.177290E+04     0.000000E+00    0.417700E+04
