n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.586000E+01  -0.132084E-06   0.273645E+00   0.279188E+00   0.660262E+00   0.668828E+00   0.102766E+03   0.179990E+03   0.582911E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.321655E+03        0.419684E+03        0.494911E+03     0.206451E-06   0.406240E-05  -0.644642E-07   0.729720E-05   0.112346E+00   0.684029E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.126414E-01      0.176312E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.586000E+01  -0.132084E-06   0.273645E+00   0.279188E+00   0.660262E+00   0.668828E+00   0.104272E+03   0.179980E+03   0.582911E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.362650E+02        0.466611E+02        0.550249E+02     0.206451E-06   0.406240E-05  -0.644642E-07   0.729720E-05   0.112346E+00   0.144866E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.796608E-02      0.178887E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.586000E+01  -0.132084E-06   0.324402E+00   0.333622E+00   0.784857E+00   0.804498E+00   0.104271E+03   0.179990E+03   0.582911E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.362646E+02        0.467357E+02        0.551129E+02     0.430696E-06   0.406240E-05   0.338341E-06   0.729720E-05   0.112346E+00   0.169478E+00  -0.872584E+00   0.706654E-01  -0.877962E+00   0.714558E-01  -0.778088E-02      0.178885E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.586000E+01  -0.132084E-06   0.345194E+00   0.354886E+00   0.825533E+00   0.859323E+00   0.104271E+03   0.179992E+03   0.582911E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.362646E+02        0.467357E+02        0.551128E+02     0.451008E-06   0.406240E-05   0.374827E-06   0.729720E-05   0.112346E+00   0.171708E+00  -0.997214E+00   0.800144E-01  -0.100187E+01   0.808549E-01  -0.761812E-02      0.178885E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.586000E+01  -0.132084E-06   0.750116E+00   0.244563E+00   0.180978E+01   0.593495E+00   0.104272E+03   0.179980E+03   0.582911E-03      0.669992E+00        0.907947E+00        0.996649E+00        0.700328E+00        0.945575E+00        0.104368E+01        0.362648E+02        0.467351E+02        0.551121E+02     0.601022E-06  -0.666809E-04  -0.764637E-06  -0.235714E-04   0.112346E+00   0.861248E-01  -0.158251E+02   0.377401E+00   0.185987E+01   0.383792E-01  -0.787244E-02      0.178886E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.586000E+01  -0.132084E-06   0.106484E+01   0.141239E+00   0.256857E+01   0.340979E+00   0.104273E+03   0.179999E+03   0.582911E-03      0.669992E+00        0.907947E+00        0.996649E+00        0.700328E+00        0.945575E+00        0.104368E+01        0.362653E+02        0.467589E+02        0.550752E+02    -0.657874E-07  -0.666809E-04  -0.100035E-05  -0.235714E-04   0.112346E+00   0.470323E-01  -0.224874E+02   0.760526E+00   0.698014E+00   0.128004E-01  -0.778391E-02      0.178888E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.586000E+01   0.418984E-04   0.115939E+01   0.331096E+00   0.266584E+01   0.790592E+00   0.104264E+03   0.179957E+03   0.582917E-03      0.667953E+00        0.900368E+00        0.103849E+01        0.701376E+00        0.946449E+00        0.104349E+01        0.362624E+02        0.467131E+02        0.550862E+02     0.109971E-02  -0.231184E-01  -0.519417E-05   0.860928E-03   0.112346E+00   0.598292E-01   0.189144E+02   0.904335E+00  -0.380413E+01   0.702380E-01  -0.820983E-02      0.178872E+04     0.160000E+02    0.998500E+04
   7  drift  0.130200E+01   0.586000E+01   0.418984E-04   0.916991E+00   0.512591E+00   0.210681E+01   0.121097E+01   0.104264E+03   0.179998E+03   0.582917E-03      0.667953E+00        0.900368E+00        0.103849E+01        0.701376E+00        0.946449E+00        0.104349E+01        0.362626E+02        0.467555E+02        0.550713E+02     0.868530E-03  -0.231184E-01   0.341511E-05   0.860928E-03   0.112346E+00   0.114581E+00   0.149473E+02   0.565718E+00  -0.600684E+01   0.168348E+00  -0.788335E-02      0.178871E+04     0.000000E+00    0.998500E+04
   8  quad   0.155200E+01   0.586000E+01   0.418984E-04   0.624300E+00   0.720230E+00   0.144380E+01   0.171195E+01   0.104264E+03   0.179988E+03   0.582917E-03      0.667358E+00        0.899977E+00        0.102503E+01        0.700937E+00        0.946552E+00        0.104246E+01        0.362624E+02        0.467160E+02        0.550896E+02     0.584405E-03  -0.111134E-02   0.199932E-04   0.441710E-03   0.112346E+00   0.863858E-01   0.304114E+00   0.262449E+00   0.131436E+01   0.332567E+00  -0.799014E-02      0.178871E+04     0.000000E+00    0.998500E+04
   9  drift  0.160200E+01   0.586000E+01   0.418984E-04   0.620797E+00   0.706080E+00   0.144215E+01   0.168100E+01   0.104264E+03   0.179997E+03   0.582917E-03      0.667358E+00        0.899977E+00        0.102503E+01        0.700937E+00        0.946552E+00        0.104246E+01        0.362624E+02        0.467158E+02        0.550894E+02     0.578848E-03  -0.111134E-02   0.222017E-04   0.441710E-03   0.112346E+00   0.869379E-01   0.283301E+00   0.259512E+00   0.127336E+01   0.319628E+00  -0.782763E-02      0.178870E+04     0.000000E+00    0.998500E+04
  10  drift  0.196900E+01   0.586000E+01   0.418984E-04   0.602358E+00   0.608273E+00   0.143151E+01   0.145384E+01   0.104262E+03   0.179990E+03   0.582917E-03      0.667358E+00        0.899977E+00        0.102503E+01        0.700937E+00        0.946552E+00        0.104246E+01        0.362619E+02        0.467624E+02        0.551443E+02     0.538062E-03  -0.111134E-02   0.384125E-04   0.441710E-03   0.112346E+00  -0.171725E-01   0.130531E+00   0.244324E+00   0.972360E+00   0.237210E+00  -0.824870E-02      0.178869E+04     0.000000E+00    0.998500E+04
  11  slit   0.196900E+01   0.586001E+01   0.144260E-03   0.578625E+00   0.582378E+00   0.119913E+01   0.119949E+01   0.104412E+03   0.179990E+03   0.583840E-03      0.653479E+00        0.868031E+00        0.103337E+01        0.684459E+00        0.906813E+00        0.103873E+01        0.363710E+02        0.468234E+02        0.551512E+02    -0.107479E-03  -0.438755E-02  -0.244221E-02   0.116272E-01   0.112346E+00  -0.101197E+00   0.126323E+00   0.230239E+00   0.915976E+00   0.222678E+00  -0.985715E-02      0.178846E+04     0.546000E+03    0.943900E+04
  12  drift  0.231900E+01   0.586001E+01   0.144260E-03   0.574290E+00   0.506866E+00   0.128908E+01   0.113064E+01   0.104411E+03   0.179999E+03   0.583840E-03      0.653479E+00        0.868031E+00        0.103337E+01        0.684459E+00        0.906813E+00        0.103873E+01        0.363703E+02        0.469534E+02        0.553043E+02    -0.261043E-03  -0.438755E-02  -0.203526E-02   0.116272E-01   0.112346E+00   0.550220E-01  -0.281186E-01   0.226802E+00   0.626924E+00   0.168677E+00  -0.106799E-01      0.178846E+04     0.000000E+00    0.943900E+04
  13  drift  0.266900E+01   0.586001E+01   0.144260E-03   0.583551E+00   0.453300E+00   0.137951E+01   0.109070E+01   0.104409E+03   0.179969E+03   0.583840E-03      0.653479E+00        0.868031E+00        0.103337E+01        0.684459E+00        0.906813E+00        0.103873E+01        0.363688E+02        0.468674E+02        0.555301E+02    -0.414607E-03  -0.438755E-02  -0.162831E-02   0.116272E-01   0.112346E+00   0.249381E+00  -0.182560E+00   0.234175E+00   0.337873E+00   0.134909E+00  -0.125959E-01      0.178846E+04     0.000000E+00    0.943900E+04
  14  slit   0.266900E+01   0.586000E+01   0.702993E-04   0.573253E+00   0.454721E+00   0.119862E+01   0.109070E+01   0.104455E+03   0.179969E+03   0.583674E-03      0.644157E+00        0.848763E+00        0.101770E+01        0.688806E+00        0.908029E+00        0.103775E+01        0.363740E+02        0.470504E+02        0.556151E+02    -0.454531E-04  -0.465250E-02  -0.111428E-02   0.137544E-01   0.112346E+00   0.262868E+00  -0.170315E+00   0.229254E+00   0.338065E+00   0.134899E+00  -0.133073E-01      0.178977E+04     0.910000E+02    0.934800E+04
  15  drift  0.298900E+01   0.586000E+01   0.702993E-04   0.592311E+00   0.431941E+00   0.131191E+01   0.105733E+01   0.104453E+03   0.179950E+03   0.583674E-03      0.644157E+00        0.848763E+00        0.101770E+01        0.688806E+00        0.908029E+00        0.103775E+01        0.363734E+02        0.470036E+02        0.551038E+02    -0.194333E-03  -0.465250E-02  -0.674143E-03   0.137544E-01   0.112346E+00   0.266371E+00  -0.313947E+00   0.244751E+00   0.737404E-01   0.121722E+00  -0.133822E-01      0.178974E+04     0.000000E+00    0.934800E+04
  16  slit   0.298900E+01   0.586000E+01   0.702993E-04   0.592311E+00   0.431941E+00   0.131191E+01   0.105733E+01   0.104453E+03   0.179950E+03   0.583674E-03      0.644157E+00        0.848763E+00        0.101770E+01        0.688806E+00        0.908029E+00        0.103775E+01        0.363734E+02        0.470036E+02        0.551038E+02    -0.194333E-03  -0.465250E-02  -0.674143E-03   0.137544E-01   0.112346E+00   0.266371E+00  -0.313947E+00   0.244751E+00   0.737404E-01   0.121722E+00  -0.133822E-01      0.178974E+04     0.000000E+00    0.934800E+04
  17  drift  0.328900E+01   0.586000E+01   0.702993E-04   0.619374E+00   0.437248E+00   0.143436E+01   0.105836E+01   0.104452E+03   0.179986E+03   0.583674E-03      0.644157E+00        0.848763E+00        0.101770E+01        0.688806E+00        0.908029E+00        0.103775E+01        0.363729E+02        0.470087E+02        0.551746E+02    -0.333908E-03  -0.465250E-02  -0.261511E-03   0.137544E-01   0.112346E+00   0.346677E+00  -0.448602E+00   0.267627E+00  -0.174064E+00   0.124731E+00  -0.132857E-01      0.178971E+04     0.000000E+00    0.934800E+04
  18  drift  0.478900E+01   0.586001E+01   0.111370E-03   0.760736E+00   0.734989E+00   0.149946E+01   0.149940E+01   0.104698E+03   0.179925E+03   0.585637E-03      0.595902E+00        0.758915E+00        0.905626E+00        0.694708E+00        0.886805E+00        0.102878E+01        0.365805E+02        0.469988E+02        0.557519E+02    -0.279037E-02  -0.114958E-01  -0.271551E-03   0.355982E-02   0.112346E+00   0.119021E+01  -0.963611E+00   0.436424E+00  -0.135965E+01   0.349442E+00  -0.148013E-01      0.178796E+04     0.795000E+03    0.855300E+04
  19  drift  0.728900E+01   0.586001E+01   0.129187E-03   0.123958E+01   0.133393E+01   0.249788E+01   0.249993E+01   0.104602E+03   0.179935E+03   0.585616E-03      0.604049E+00        0.733160E+00        0.868673E+00        0.622628E+00        0.784734E+00        0.908257E+00        0.365432E+02        0.469886E+02        0.542593E+02    -0.702439E-02  -0.119813E-01  -0.653594E-02  -0.111441E-01   0.112346E+00   0.100905E+01  -0.196947E+01   0.114313E+01  -0.280165E+01   0.128426E+01  -0.190269E-01      0.178652E+04     0.990000E+03    0.756300E+04
  20  drift  0.732550E+01   0.586001E+01   0.129187E-03   0.124739E+01   0.134456E+01   0.251547E+01   0.252252E+01   0.104602E+03   0.179946E+03   0.585616E-03      0.604049E+00        0.733160E+00        0.868673E+00        0.622628E+00        0.784734E+00        0.908257E+00        0.365432E+02        0.469886E+02        0.542593E+02    -0.706812E-02  -0.119813E-01  -0.657661E-02  -0.111441E-01   0.112346E+00   0.100936E+01  -0.198505E+01   0.115757E+01  -0.282680E+01   0.130481E+01  -0.189081E-01      0.178651E+04     0.000000E+00    0.756300E+04
  21  quad   0.762550E+01   0.586001E+01   0.113493E-03   0.104630E+01   0.161410E+01   0.212396E+01   0.297987E+01   0.104705E+03   0.179980E+03   0.585573E-03      0.612599E+00        0.734025E+00        0.859514E+00        0.583332E+00        0.745917E+00        0.887997E+00        0.365754E+02        0.470043E+02        0.545293E+02    -0.646189E-02   0.996567E-01  -0.147614E-01  -0.210707E+00   0.112346E+00   0.148433E+01   0.118711E+02   0.803072E+00  -0.286773E+02   0.200705E+01  -0.205483E-01      0.178846E+04     0.473000E+03    0.709000E+04
  22  drift  0.769850E+01   0.586001E+01   0.113493E-03   0.933446E+00   0.178246E+01   0.190526E+01   0.329635E+01   0.104705E+03   0.179975E+03   0.585573E-03      0.612599E+00        0.734025E+00        0.859514E+00        0.583332E+00        0.745917E+00        0.887997E+00        0.365754E+02        0.469977E+02        0.545216E+02    -0.573440E-02   0.996567E-01  -0.162995E-01  -0.210707E+00   0.112346E+00   0.151742E+01   0.105810E+02   0.639172E+00  -0.316721E+02   0.244760E+01  -0.203114E-01      0.178845E+04     0.000000E+00    0.709000E+04
  23  quad   0.799850E+01   0.586001E+01   0.235406E-03   0.652183E+00   0.164992E+01   0.137147E+01   0.295522E+01   0.104978E+03   0.179976E+03   0.586445E-03      0.624731E+00        0.733412E+00        0.843972E+00        0.481726E+00        0.615351E+00        0.747692E+00        0.367207E+02        0.471806E+02        0.549891E+02    -0.217893E-02   0.123688E-01  -0.115365E-01   0.288456E-01   0.112346E+00   0.219614E+01   0.197759E+01   0.305958E+00   0.722877E+01   0.253947E+01  -0.257023E-01      0.179066E+04     0.123000E+04    0.586000E+04
  24  drift  0.803500E+01   0.586001E+01   0.235406E-03   0.636844E+00   0.163278E+01   0.134609E+01   0.292509E+01   0.104977E+03   0.179984E+03   0.586445E-03      0.624731E+00        0.733412E+00        0.843972E+00        0.481726E+00        0.615351E+00        0.747692E+00        0.367207E+02        0.471803E+02        0.549887E+02    -0.213379E-02   0.123688E-01  -0.114313E-01   0.288456E-01   0.112346E+00   0.219706E+01   0.191900E+01   0.291735E+00   0.715223E+01   0.248698E+01  -0.255838E-01      0.179065E+04     0.000000E+00    0.586000E+04
  25  drift  0.123250E+02   0.586000E+01  -0.604745E-04   0.132869E+01   0.439163E+00   0.249989E+01   0.111245E+01   0.104328E+03   0.179928E+03   0.585088E-03      0.574526E+00        0.668742E+00        0.755641E+00        0.425838E+00        0.554342E+00        0.692062E+00        0.363995E+02        0.471302E+02        0.556437E+02    -0.117140E-01  -0.365027E-01   0.495892E-02   0.831037E-01   0.112346E+00   0.128104E+01  -0.431176E+01   0.138087E+01  -0.160978E+01   0.203527E+00  -0.344118E-01      0.178417E+04     0.114000E+04    0.472000E+04
  26  drift  0.124150E+02   0.586000E+01  -0.604745E-04   0.136605E+01   0.470825E+00   0.257495E+01   0.118807E+01   0.104327E+03   0.179947E+03   0.585088E-03      0.574526E+00        0.668742E+00        0.755641E+00        0.425838E+00        0.554342E+00        0.692062E+00        0.363996E+02        0.471293E+02        0.556426E+02    -0.120425E-01  -0.365027E-01   0.570685E-02   0.831037E-01   0.112346E+00   0.128293E+01  -0.443945E+01   0.145963E+01  -0.176859E+01   0.233933E+00  -0.341183E-01      0.178413E+04     0.000000E+00    0.472000E+04
