       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.577000000E+02   0.440851696E-06   0.406240000E-05   0.356584477E-06   0.729720494E-05   0.297740740E-02   0.585999999E+01   0.334613006E+00   0.609263993E+01   0.344067452E+00   0.621303381E+01   0.104270851E+03   0.582911143E-01   0.805195361E+00   0.145755937E+02   0.831910489E+00   0.150256198E+02   0.179985664E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906615758E+01
  0.602000000E+02   0.451007696E-06   0.406240000E-05   0.374827490E-06   0.729720494E-05   0.299686236E-02   0.585999999E+01   0.345194473E+00   0.609263993E+01   0.354885898E+00   0.621303381E+01   0.104270800E+03   0.582911143E-01   0.825533315E+00   0.145755937E+02   0.859323461E+00   0.150256198E+02   0.179991685E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906615878E+01
  0.602000000E+02   0.451007696E-06   0.406240000E-05   0.374827490E-06   0.729720494E-05   0.299686236E-02   0.585999999E+01   0.345194473E+00   0.609263993E+01   0.354885898E+00   0.621303381E+01   0.104270800E+03   0.582911143E-01   0.825533315E+00   0.145755937E+02   0.859323461E+00   0.150256198E+02   0.179991685E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906615878E+01
  0.604500000E+02   0.452087674E-06   0.457711384E-05   0.376452293E-06   0.569868412E-05   0.299880742E-02   0.585999999E+01   0.346294925E+00   0.622558582E+01   0.355963045E+00   0.607897341E+01   0.104270795E+03   0.582911143E-01   0.827622698E+00   0.149324981E+02   0.862006912E+00   0.146873816E+02   0.179992768E+03   0.102284870E+00   0.167307582E+00   0.174995146E+00   0.906615891E+01
  0.607000000E+02   0.453296091E-06   0.508989011E-05   0.377675611E-06   0.408551116E-05   0.300075405E-02   0.585999999E+01   0.347445294E+00   0.636203141E+01   0.356995675E+00   0.594722368E+01   0.104270790E+03   0.582911143E-01   0.830125265E+00   0.152914167E+02   0.864574433E+00   0.143471730E+02   0.179993861E+03   0.102284870E+00   0.167307804E+00   0.174994912E+00   0.906615905E+01
  0.609500000E+02   0.454632443E-06   0.560055811E-05   0.378493923E-06   0.245883289E-05   0.300270594E-02   0.585999999E+01   0.348645701E+00   0.650182757E+01   0.357983622E+00   0.581801474E+01   0.104270786E+03   0.582911143E-01   0.832853169E+00   0.156523982E+02   0.867025681E+00   0.140050398E+02   0.179994964E+03   0.102284870E+00   0.167308044E+00   0.174994697E+00   0.906615919E+01
  0.612000000E+02   0.456096180E-06   0.610894136E-05   0.378903999E-06   0.819816643E-06   0.300466683E-02   0.585999999E+01   0.349896273E+00   0.664483580E+01   0.358926725E+00   0.569159136E+01   0.104270781E+03   0.582911143E-01   0.835693156E+00   0.160154913E+02   0.869360328E+00   0.137193657E+02   0.179996077E+03   0.102284870E+00   0.167308303E+00   0.174994500E+00   0.906615935E+01
  0.614500000E+02   0.457686708E-06   0.661485710E-05   0.378902902E-06  -0.830350503E-06   0.300664050E-02   0.585999999E+01   0.351197146E+00   0.679092780E+01   0.359824831E+00   0.556821348E+01   0.104270776E+03   0.582911143E-01   0.838885949E+00   0.163807450E+02   0.871578061E+00   0.134667579E+02   0.179997202E+03   0.102284870E+00   0.167308583E+00   0.174994322E+00   0.906615952E+01
  0.617000000E+02   0.459403387E-06   0.711811569E-05   0.378487995E-06  -0.249046254E-05   0.300863077E-02   0.585999999E+01   0.352548458E+00   0.693998508E+01   0.360677796E+00   0.544815648E+01   0.104270772E+03   0.582911143E-01   0.842467138E+00   0.167482089E+02   0.873678584E+00   0.132123419E+02   0.179998338E+03   0.102284870E+00   0.167308882E+00   0.174994162E+00   0.906615970E+01
  0.619500000E+02   0.461245528E-06   0.761852010E-05   0.377656944E-06  -0.415929529E-05   0.301064154E-02   0.585999999E+01   0.353950354E+00   0.709189849E+01   0.361485482E+00   0.533171132E+01   0.104270768E+03   0.582911143E-01   0.846161675E+00   0.171179326E+02   0.875661614E+00   0.129561518E+02   0.179999487E+03   0.102284870E+00   0.167309201E+00   0.174994021E+00   0.906615989E+01
  0.622000000E+02   0.463212392E-06   0.811586536E-05   0.376407724E-06  -0.583560726E-05   0.238442101E-02   0.585999999E+01   0.355402987E+00   0.724656772E+01   0.362247758E+00   0.521918437E+01   0.104270817E+03   0.582911143E-01   0.849970059E+00   0.174899661E+02   0.877526888E+00   0.126982221E+02   0.179999351E+03   0.102284870E+00   0.167309540E+00   0.174993900E+00   0.906613731E+01
  0.624500000E+02   0.465303188E-06   0.860993791E-05   0.374738622E-06  -0.751814046E-05   0.238648455E-02   0.585999999E+01   0.356906513E+00   0.740390082E+01   0.362964503E+00   0.511089684E+01   0.104270813E+03   0.582911143E-01   0.853892807E+00   0.178643598E+02   0.879274156E+00   0.124385876E+02   0.179998176E+03   0.102284870E+00   0.167309900E+00   0.174993797E+00   0.906613752E+01
  0.627000000E+02   0.467517070E-06   0.910051511E-05   0.372648241E-06  -0.920562125E-05   0.238858050E-02   0.585999999E+01   0.358461096E+00   0.756381375E+01   0.363635600E+00   0.500718379E+01   0.104270809E+03   0.582911143E-01   0.857930447E+00   0.182411643E+02   0.880903183E+00   0.121772831E+02   0.179996988E+03   0.102284870E+00   0.167310281E+00   0.174993715E+00   0.906613774E+01
  0.629500000E+02   0.469853135E-06   0.958736461E-05   0.370135506E-06  -0.108967612E-04   0.239071289E-02   0.585999999E+01   0.360066908E+00   0.772622986E+01   0.364260943E+00   0.490839264E+01   0.104270805E+03   0.582911143E-01   0.862083525E+00   0.186204306E+02   0.882413752E+00   0.119462864E+02   0.179995784E+03   0.102284870E+00   0.167310683E+00   0.174993652E+00   0.906613798E+01
  0.632000000E+02   0.472310421E-06   0.100702438E-04   0.367199664E-06  -0.125902580E-04   0.239288586E-02   0.585999999E+01   0.361724123E+00   0.789107945E+01   0.364840430E+00   0.481488101E+01   0.104270801E+03   0.582911143E-01   0.866352604E+00   0.190022101E+02   0.883805660E+00   0.117192102E+02   0.179995693E+03   0.102284870E+00   0.167311106E+00   0.174993609E+00   0.906613822E+01
  0.634500000E+02   0.474887905E-06   0.105488990E-04   0.363840290E-06  -0.142847964E-04   0.239510355E-02   0.585999999E+01   0.363432925E+00   0.805829936E+01   0.365373970E+00   0.472701392E+01   0.104270797E+03   0.582911143E-01   0.870738260E+00   0.193865544E+02   0.885078722E+00   0.114905600E+02   0.179996591E+03   0.102284870E+00   0.167311551E+00   0.174993586E+00   0.906613848E+01
  0.637000000E+02   0.477584497E-06   0.110230651E-04   0.360057290E-06  -0.159790489E-04   0.239737017E-02   0.585999999E+01   0.365193502E+00   0.822783249E+01   0.365861477E+00   0.464516019E+01   0.104270793E+03   0.582911143E-01   0.875241087E+00   0.197735157E+02   0.886232766E+00   0.112603664E+02   0.179997485E+03   0.102284870E+00   0.167312018E+00   0.174993584E+00   0.906613874E+01
  0.639500000E+02   0.480399040E-06   0.114924650E-04   0.355850901E-06  -0.176716768E-04   0.239968998E-02   0.585999999E+01   0.367006052E+00   0.839962744E+01   0.366302872E+00   0.456968809E+01   0.104270790E+03   0.582911143E-01   0.879861692E+00   0.201897900E+02   0.887337031E+00   0.110286604E+02   0.179998375E+03   0.102284870E+00   0.167312508E+00   0.174993602E+00   0.906613902E+01
  0.642000000E+02   0.483330308E-06   0.119568084E-04   0.351221699E-06  -0.193613313E-04   0.240206729E-02   0.585999999E+01   0.368870775E+00   0.857363811E+01   0.366698086E+00   0.450096018E+01   0.104270786E+03   0.582911143E-01   0.884600702E+00   0.206386195E+02   0.888614970E+00   0.108459501E+02   0.179999261E+03   0.102284870E+00   0.167313020E+00   0.174993641E+00   0.906613932E+01
  0.644500000E+02   0.486376998E-06   0.124157919E-04   0.346170596E-06  -0.210466542E-04   0.177625073E-02   0.585999999E+01   0.370787882E+00   0.874982338E+01   0.367047055E+00   0.443932746E+01   0.104270825E+03   0.582911143E-01   0.889458757E+00   0.210902390E+02   0.889773396E+00   0.107486436E+02   0.179999857E+03   0.102284870E+00   0.167313554E+00   0.174993700E+00   0.906612246E+01
