n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
   6  quad   10.0  22.0    -1      -2.978       0.025     102.200  -0.0044932  -0.0001387   0.1115468      -2.978       0.025       7.000  -0.0044932  -0.0001387   0.1115468       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.972      -0.013     102.700   0.0041938  -0.0004476   0.1115901       2.972      -0.013       7.500   0.0041938  -0.0004476   0.1115901       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.979       0.014     103.200  -0.0038945  -0.0004919   0.1115240      -2.979       0.014       8.000  -0.0038945  -0.0004919   0.1115240       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.974      -0.005     103.200  -0.0039155   0.0000283   0.1115747      -2.974      -0.005       8.000  -0.0039155   0.0000283   0.1115747       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.977      -0.035     104.700  -0.0028760  -0.0005670   0.1115498      -2.977      -0.035       9.500  -0.0028760  -0.0005670   0.1115498       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.978       0.029     104.950   0.0027374   0.0006084   0.1115733       2.978       0.029       9.750   0.0027374   0.0006084   0.1115733       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.980       0.089     105.700   0.0022807   0.0001402   0.1116100       2.980       0.089      10.500   0.0022807   0.0001402   0.1116100       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.978      -0.019     105.700  -0.0022156   0.0004288   0.1116491      -2.978      -0.019      10.500  -0.0022156   0.0004288   0.1116491       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.978      -0.054     105.700  -0.0022326  -0.0002509   0.1116132      -2.978      -0.054      10.500  -0.0022326  -0.0002509   0.1116132       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.977       0.062     105.700  -0.0023228   0.0002813   0.1116063      -2.977       0.062      10.500  -0.0023228   0.0002813   0.1116063       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.977       0.041     106.450  -0.0017971  -0.0003019   0.1116378      -2.977       0.041      11.250  -0.0017971  -0.0003019   0.1116378       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.978      -0.024     106.450  -0.0017390   0.0000744   0.1115826      -2.978      -0.024      11.250  -0.0017390   0.0000744   0.1115826       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.979       0.057     106.450   0.0018901   0.0004542   0.1115817       2.979       0.057      11.250   0.0018901   0.0004542   0.1115817       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.977      -0.045     106.950   0.0014479  -0.0006078   0.1116636       2.977      -0.045      11.750   0.0014479  -0.0006078   0.1116636       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1      -2.979       0.029     106.950  -0.0015073  -0.0002706   0.1116190      -2.979       0.029      11.750  -0.0015073  -0.0002706   0.1116190       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   6  quad   10.0  22.0    -1       2.979       0.029     107.700   0.0010469  -0.0002729   0.1115895       2.979       0.029      12.500   0.0010469  -0.0002729   0.1115895       0.000       0.000      95.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.314       0.191     160.200  -0.0000777   0.0000218   0.1116531       1.314       0.191       0.000  -0.0000777   0.0000218   0.1116531       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.222      -0.160     160.200   0.0001168  -0.0003793   0.1116844       1.222      -0.160       0.000   0.0001168  -0.0003793   0.1116844       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.266       0.095     160.200   0.0002291  -0.0001203   0.1116953       1.266       0.095       0.000   0.0002291  -0.0001203   0.1116953       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.271       0.002     160.200   0.0000059   0.0002622   0.1116671       1.271       0.002       0.000   0.0000059   0.0002622   0.1116671       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.324       0.020     160.200   0.0000764  -0.0000391   0.1116761       1.324       0.020       0.000   0.0000764  -0.0000391   0.1116761       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.209      -0.010     160.200  -0.0001593  -0.0001970   0.1116812       1.209      -0.010       0.000  -0.0001593  -0.0001970   0.1116812       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.226       0.284     160.200  -0.0001626  -0.0004799   0.1116520      -1.226       0.284       0.000  -0.0001626  -0.0004799   0.1116520       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.248      -0.238     160.200  -0.0000767  -0.0001160   0.1116030      -1.248      -0.238       0.000  -0.0000767  -0.0001160   0.1116030       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.399      -0.153     160.200   0.0000235  -0.0001402   0.1116675       1.399      -0.153       0.000   0.0000235  -0.0001402   0.1116675       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.347       0.107     160.200   0.0002229  -0.0002260   0.1115942       1.347       0.107       0.000   0.0002229  -0.0002260   0.1115942       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.299      -0.306     160.200   0.0001881   0.0002833   0.1116381       1.299      -0.306       0.000   0.0001881   0.0002833   0.1116381       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.332      -0.076     160.200   0.0000281   0.0000054   0.1116371      -1.332      -0.076       0.000   0.0000281   0.0000054   0.1116371       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.245       0.041     160.200  -0.0000787   0.0001594   0.1116916      -1.245       0.041       0.000  -0.0000787   0.0001594   0.1116916       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.393       0.181     160.200   0.0000070   0.0000338   0.1116759      -1.393       0.181       0.000   0.0000070   0.0000338   0.1116759       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.316       0.127     160.200  -0.0001534   0.0002926   0.1116396      -1.316       0.127       0.000  -0.0001534   0.0002926   0.1116396       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.346       0.363     160.200  -0.0000759  -0.0002668   0.1116062      -1.346       0.363       0.000  -0.0000759  -0.0002668   0.1116062       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.391       0.157     160.200  -0.0000401   0.0000922   0.1116554       1.391       0.157       0.000  -0.0000401   0.0000922   0.1116554       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.310      -0.235     160.200   0.0001433   0.0001738   0.1116615       1.310      -0.235       0.000   0.0001433   0.0001738   0.1116615       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.306      -0.078     160.200   0.0002518   0.0001783   0.1116396       1.306      -0.078       0.000   0.0002518   0.0001783   0.1116396       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.297       0.066     160.200   0.0001290   0.0001870   0.1116465      -1.297       0.066       0.000   0.0001290   0.0001870   0.1116465       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.216      -0.419     160.200   0.0001378   0.0002926   0.1116937       1.216      -0.419       0.000   0.0001378   0.0002926   0.1116937       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.325       0.055     160.200   0.0002885  -0.0001927   0.1116650       1.325       0.055       0.000   0.0002885  -0.0001927   0.1116650       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.250       0.381     160.200  -0.0000609  -0.0004741   0.1116443      -1.250       0.381       0.000  -0.0000609  -0.0004741   0.1116443       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1      -1.258      -0.092     160.200  -0.0000492  -0.0000126   0.1116079      -1.258      -0.092       0.000  -0.0000492  -0.0000126   0.1116079       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit   10.0  22.0    -1       1.210      -0.431     160.200   0.0002438   0.0000981   0.1116568       1.210      -0.431       0.000   0.0002438   0.0000981   0.1116568       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
