n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.944000E+01  -0.132820E-06   0.242779E+00   0.247697E+00   0.585787E+00   0.593387E+00   0.102766E+03   0.179990E+03   0.586258E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.521136E+03        0.679963E+03        0.801844E+03     0.183164E-06   0.360418E-05  -0.571930E-07   0.647411E-05   0.142728E+00   0.684029E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.126414E-01      0.175305E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.944000E+01  -0.132820E-06   0.242779E+00   0.247697E+00   0.585787E+00   0.593387E+00   0.104272E+03   0.179980E+03   0.586258E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.587555E+02        0.755992E+02        0.891501E+02     0.183164E-06   0.360418E-05  -0.571930E-07   0.647411E-05   0.142728E+00   0.144866E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.796601E-02      0.177866E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.944000E+01  -0.132821E-06   0.287811E+00   0.295990E+00   0.696329E+00   0.713754E+00   0.104271E+03   0.179992E+03   0.586258E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.587550E+02        0.756928E+02        0.892604E+02     0.382115E-06   0.360418E-05   0.300178E-06   0.647411E-05   0.142728E+00   0.124191E+00  -0.872584E+00   0.706654E-01  -0.877962E+00   0.714558E-01  -0.798879E-02      0.177864E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.944000E+01  -0.132821E-06   0.306258E+00   0.314856E+00   0.732417E+00   0.762395E+00   0.104271E+03   0.179998E+03   0.586258E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.587550E+02        0.756927E+02        0.892603E+02     0.400136E-06   0.360418E-05   0.332549E-06   0.647411E-05   0.142728E+00   0.125579E+00  -0.997214E+00   0.800144E-01  -0.100187E+01   0.808549E-01  -0.786023E-02      0.177864E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.944000E+01  -0.132821E-06   0.481581E+00   0.357689E+00   0.115978E+01   0.869982E+00   0.104271E+03   0.179992E+03   0.586258E-03      0.669289E+00        0.906144E+00        0.997956E+00        0.699987E+00        0.944081E+00        0.104318E+01        0.587548E+02        0.757317E+02        0.893063E+02     0.667277E-06   0.181935E-04  -0.826098E-07  -0.392958E-04   0.142728E+00   0.134907E+00  -0.432105E+01   0.197830E+00   0.189257E+00   0.104349E+00  -0.777783E-02      0.177863E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.944000E+01  -0.132821E-06   0.587273E+00   0.352870E+00   0.140973E+01   0.856367E+00   0.104271E+03   0.179991E+03   0.586258E-03      0.669289E+00        0.906144E+00        0.997956E+00        0.699987E+00        0.944081E+00        0.104318E+01        0.587548E+02        0.757356E+02        0.893109E+02     0.849213E-06   0.181935E-04  -0.475568E-06  -0.392958E-04   0.142728E+00   0.104892E+00  -0.531541E+01   0.294195E+00   0.899927E-01   0.101557E+00  -0.780673E-02      0.177863E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.944000E+01  -0.132821E-06   0.670623E+00   0.459332E+00   0.162088E+01   0.110607E+01   0.104270E+03   0.179993E+03   0.586258E-03      0.669246E+00        0.905952E+00        0.100105E+01        0.700024E+00        0.945099E+00        0.104316E+01        0.587544E+02        0.756489E+02        0.894195E+02     0.835085E-06  -0.187713E-04  -0.846640E-06   0.120702E-04   0.142728E+00   0.148897E+00   0.244225E+01   0.383653E+00  -0.342583E+01   0.172072E+00  -0.820761E-02      0.177863E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.944000E+01  -0.132821E-06   0.628176E+00   0.551429E+00   0.152142E+01   0.132147E+01   0.104270E+03   0.179991E+03   0.586258E-03      0.669246E+00        0.905952E+00        0.100105E+01        0.700024E+00        0.945099E+00        0.104316E+01        0.587540E+02        0.757048E+02        0.894856E+02     0.647371E-06  -0.187713E-04  -0.725938E-06   0.120702E-04   0.142728E+00   0.154104E+00   0.226071E+01   0.336624E+00  -0.416601E+01   0.247990E+00  -0.868675E-02      0.177863E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.944000E+01  -0.132821E-06   0.629238E+00   0.680234E+00   0.152648E+01   0.164276E+01   0.104269E+03   0.179998E+03   0.586258E-03      0.669220E+00        0.906471E+00        0.999417E+00        0.699962E+00        0.944093E+00        0.104320E+01        0.587535E+02        0.757543E+02        0.895441E+02     0.359638E-06  -0.328829E-05  -0.111752E-05  -0.452789E-04   0.142728E+00   0.123488E+00  -0.231141E+01   0.337776E+00  -0.404572E+00   0.377408E+00  -0.889616E-02      0.177863E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.944000E+01  -0.132821E-06   0.650834E+00   0.683939E+00   0.157830E+01   0.165295E+01   0.104269E+03   0.179994E+03   0.586258E-03      0.669220E+00        0.906471E+00        0.999417E+00        0.699962E+00        0.944093E+00        0.104320E+01        0.587533E+02        0.757115E+02        0.895994E+02     0.343197E-06  -0.328829E-05  -0.134392E-05  -0.452789E-04   0.142728E+00   0.160089E+00  -0.240529E+01   0.361359E+00  -0.419989E+00   0.381531E+00  -0.919050E-02      0.177863E+04     0.000000E+00    0.100010E+05
  10  drift  0.196900E+01   0.944000E+01  -0.132821E-06   0.812515E+00   0.714605E+00   0.195860E+01   0.172775E+01   0.104269E+03   0.179980E+03   0.586258E-03      0.669220E+00        0.906471E+00        0.999417E+00        0.699962E+00        0.944093E+00        0.104320E+01        0.587529E+02        0.757813E+02        0.896821E+02     0.222516E-06  -0.328829E-05  -0.300565E-05  -0.452789E-04   0.142728E+00   0.164521E+00  -0.309443E+01   0.563199E+00  -0.533147E+00   0.416511E+00  -0.918955E-02      0.177862E+04     0.000000E+00    0.100010E+05
  11  slit   0.196900E+01   0.944004E+01   0.417844E-03   0.646075E+00   0.626309E+00   0.119985E+01   0.119984E+01   0.104038E+03   0.179980E+03   0.585824E-03      0.570528E+00        0.754781E+00        0.950606E+00        0.658358E+00        0.842681E+00        0.102891E+01        0.585767E+02        0.762634E+02        0.893014E+02    -0.793862E-03  -0.493597E-02  -0.260917E-02  -0.174596E-01   0.142728E+00  -0.669318E+00  -0.231405E+01   0.417694E+00  -0.434332E+00   0.340160E+00  -0.136718E-01      0.177609E+04     0.238700E+04    0.761400E+04
  12  drift  0.231900E+01   0.944004E+01   0.417844E-03   0.773248E+00   0.657464E+00   0.150805E+01   0.133643E+01   0.104038E+03   0.179994E+03   0.585824E-03      0.570528E+00        0.754781E+00        0.950606E+00        0.658358E+00        0.842681E+00        0.102891E+01        0.585748E+02        0.763546E+02        0.896180E+02    -0.966621E-03  -0.493597E-02  -0.322025E-02  -0.174596E-01   0.142728E+00  -0.524979E+00  -0.284654E+01   0.598314E+00  -0.556635E+00   0.374843E+00  -0.155548E-01      0.177613E+04     0.000000E+00    0.761400E+04
  13  drift  0.266900E+01   0.944004E+01   0.417844E-03   0.903140E+00   0.694354E+00   0.181890E+01   0.147303E+01   0.104036E+03   0.179978E+03   0.585824E-03      0.570528E+00        0.754781E+00        0.950606E+00        0.658358E+00        0.842681E+00        0.102891E+01        0.585742E+02        0.762727E+02        0.885861E+02    -0.113938E-02  -0.493597E-02  -0.383134E-02  -0.174596E-01   0.142728E+00  -0.475203E+00  -0.337903E+01   0.816209E+00  -0.678939E+00   0.418089E+00  -0.154488E-01      0.177611E+04     0.000000E+00    0.761400E+04
  14  slit   0.266900E+01   0.944000E+01  -0.124979E-04   0.673673E+00   0.641052E+00   0.119989E+01   0.119944E+01   0.103871E+03   0.179972E+03   0.585964E-03      0.445855E+00        0.599785E+00        0.776923E+00        0.637101E+00        0.812944E+00        0.960927E+00        0.585001E+02        0.757025E+02        0.876186E+02    -0.942329E-03  -0.601693E-02   0.242739E-04  -0.892865E-02   0.142728E+00  -0.195370E+01  -0.238522E+01   0.581131E+00  -0.550638E+00   0.368253E+00  -0.831045E-02      0.177272E+04     0.206500E+04    0.554900E+04
  15  drift  0.298900E+01   0.944000E+01  -0.124979E-04   0.763057E+00   0.674031E+00   0.140884E+01   0.133749E+01   0.103868E+03   0.179972E+03   0.585964E-03      0.445855E+00        0.599785E+00        0.776923E+00        0.637101E+00        0.812944E+00        0.960927E+00        0.584981E+02        0.757333E+02        0.876543E+02    -0.113487E-02  -0.601693E-02  -0.261443E-03  -0.892865E-02   0.142728E+00  -0.208148E+01  -0.275356E+01   0.745572E+00  -0.663882E+00   0.407118E+00  -0.860302E-02      0.177267E+04     0.000000E+00    0.554900E+04
  16  slit   0.298900E+01   0.944000E+01  -0.124979E-04   0.763057E+00   0.674031E+00   0.140884E+01   0.133749E+01   0.103868E+03   0.179972E+03   0.585964E-03      0.445855E+00        0.599785E+00        0.776923E+00        0.637101E+00        0.812944E+00        0.960927E+00        0.584981E+02        0.757333E+02        0.876543E+02    -0.113487E-02  -0.601693E-02  -0.261443E-03  -0.892865E-02   0.142728E+00  -0.208148E+01  -0.275356E+01   0.745572E+00  -0.663882E+00   0.407118E+00  -0.860302E-02      0.177267E+04     0.000000E+00    0.554900E+04
  17  drift  0.328900E+01   0.944000E+01  -0.124979E-04   0.848157E+00   0.708748E+00   0.160796E+01   0.146693E+01   0.103866E+03   0.179989E+03   0.585964E-03      0.445855E+00        0.599785E+00        0.776923E+00        0.637101E+00        0.812944E+00        0.960927E+00        0.584970E+02        0.757544E+02        0.876787E+02    -0.131538E-02  -0.601693E-02  -0.529303E-03  -0.892865E-02   0.142728E+00  -0.214450E+01  -0.309888E+01   0.921145E+00  -0.770049E+00   0.450136E+00  -0.846124E-02      0.177263E+04     0.000000E+00    0.554900E+04
  18  drift  0.478900E+01   0.944005E+01   0.504048E-03   0.861824E+00   0.801044E+00   0.149865E+01   0.149769E+01   0.104084E+03   0.179890E+03   0.585316E-03      0.315020E+00        0.423482E+00        0.541536E+00        0.578628E+00        0.699591E+00        0.841866E+00        0.585567E+02        0.752431E+02        0.848288E+02     0.320799E-02   0.493973E-02  -0.830386E-02  -0.143590E-01   0.142728E+00  -0.754289E+00  -0.301972E+01   0.134607E+01  -0.101530E+01   0.633114E+00  -0.435702E-02      0.177828E+04     0.209300E+04    0.345600E+04
  19  drift  0.728900E+01   0.944006E+01   0.592553E-03   0.134653E+01   0.116530E+01   0.249939E+01   0.248333E+01   0.104169E+03   0.179846E+03   0.585416E-03      0.312521E+00        0.406161E+00        0.534423E+00        0.579000E+00        0.698800E+00        0.842943E+00        0.586148E+02        0.751025E+02        0.846703E+02     0.257580E-02   0.188462E-02  -0.117716E-01  -0.145281E-01   0.142728E+00  -0.560052E+00  -0.486667E+01   0.331224E+01  -0.181383E+01   0.133895E+01   0.812936E-03      0.177940E+04     0.190000E+02    0.343700E+04
  20  drift  0.732550E+01   0.944006E+01   0.592553E-03   0.135375E+01   0.117107E+01   0.251402E+01   0.249854E+01   0.104169E+03   0.179862E+03   0.585416E-03      0.312521E+00        0.406161E+00        0.534423E+00        0.579000E+00        0.698800E+00        0.842943E+00        0.586148E+02        0.751026E+02        0.846703E+02     0.258268E-02   0.188462E-02  -0.118247E-01  -0.145281E-01   0.142728E+00  -0.560022E+00  -0.489388E+01   0.334787E+01  -0.182552E+01   0.135224E+01   0.906613E-03      0.177940E+04     0.000000E+00    0.343700E+04
  21  quad   0.762550E+01   0.944006E+01   0.592553E-03   0.128741E+01   0.133084E+01   0.240030E+01   0.286336E+01   0.104168E+03   0.179992E+03   0.585416E-03      0.312574E+00        0.408105E+00        0.531387E+00        0.579108E+00        0.698669E+00        0.842785E+00        0.586146E+02        0.753402E+02        0.844621E+02     0.240064E-02  -0.138314E-01  -0.133918E-01  -0.915721E-01   0.142728E+00  -0.659316E+00   0.148917E+02   0.302728E+01  -0.121159E+02   0.174607E+01  -0.131310E-05      0.177939E+04     0.000000E+00    0.343700E+04
  22  drift  0.769850E+01   0.944006E+01   0.592553E-03   0.124119E+01   0.139826E+01   0.231656E+01   0.301324E+01   0.104168E+03   0.179951E+03   0.585416E-03      0.312574E+00        0.408105E+00        0.531387E+00        0.579108E+00        0.698669E+00        0.842785E+00        0.586146E+02        0.753394E+02        0.844612E+02     0.229967E-02  -0.138314E-01  -0.140603E-01  -0.915721E-01   0.142728E+00  -0.655235E+00   0.143545E+02   0.281379E+01  -0.127338E+02   0.192747E+01   0.185753E-03      0.177939E+04     0.000000E+00    0.343700E+04
  23  quad   0.799850E+01   0.944004E+01   0.419205E-03   0.117041E+01   0.148059E+01   0.219470E+01   0.297678E+01   0.104151E+03   0.179854E+03   0.584449E-03      0.314645E+00        0.407959E+00        0.532584E+00        0.563212E+00        0.665433E+00        0.769286E+00        0.585080E+02        0.753257E+02        0.850177E+02     0.101944E-02   0.386519E-03  -0.233979E-01   0.958143E-02   0.142728E+00  -0.123161E+01  -0.320277E+01   0.248554E+01   0.877132E+00   0.222210E+01   0.251776E-02      0.178205E+04     0.680000E+02    0.336900E+04
