       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.183182715E-02   0.360453901E-01  -0.571986746E-03   0.647475872E-01   0.170729574E-01   0.943987460E+01   0.242779382E+00   0.540541612E+01   0.247696553E+00   0.551223011E+01   0.102771810E+03   0.586258323E-01   0.586272979E+00   0.129543112E+02   0.593959367E+00   0.132660463E+02   0.179996619E+03   0.101544250E+00   0.167307382E+00   0.174995398E+00   0.130287636E+03
  0.000000000E+00   0.183182715E-02   0.360453901E-01  -0.571986746E-03   0.647475872E-01   0.170729574E-01   0.943987460E+01   0.242779382E+00   0.540541612E+01   0.247696553E+00   0.551223011E+01   0.102771810E+03   0.586258323E-01   0.586272979E+00   0.129543112E+02   0.593959367E+00   0.132660463E+02   0.179996619E+03   0.101544250E+00   0.167307382E+00   0.174995398E+00   0.130287636E+03
  0.000000000E+00   0.183164398E-06   0.360417859E-05  -0.571929553E-07   0.647411131E-05   0.119385655E-01   0.943999999E+01   0.242779381E+00   0.540541611E+01   0.247696553E+00   0.551223007E+01   0.102765878E+03   0.586258308E-01   0.585787294E+00   0.129315288E+02   0.593387381E+00   0.133307939E+02   0.179989624E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.130283974E+03
  0.000000000E+00   0.183164398E-06   0.360417859E-05  -0.571929553E-07   0.647411131E-05   0.252838695E-02   0.943999999E+01   0.242779381E+00   0.540541611E+01   0.247696553E+00   0.551223007E+01   0.104272135E+03   0.586258308E-01   0.585787294E+00   0.129315288E+02   0.593387381E+00   0.133307939E+02   0.179979542E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146888818E+02
  0.000000000E+00   0.183164398E-06   0.360417859E-05  -0.571929553E-07   0.647411131E-05   0.252838695E-02   0.943999999E+01   0.242779381E+00   0.540541611E+01   0.247696553E+00   0.551223007E+01   0.104272135E+03   0.586258308E-01   0.585787294E+00   0.129315288E+02   0.593387381E+00   0.133307939E+02   0.179979542E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146888818E+02
  0.920000000E+01   0.216322841E-06   0.360417859E-05   0.236886882E-08   0.647411131E-05   0.194470078E-02   0.943999999E+01   0.224852701E+00   0.540541611E+01   0.229936763E+00   0.551223007E+01   0.104272010E+03   0.586258308E-01   0.539456599E+00   0.129315288E+02   0.554017973E+00   0.133307939E+02   0.179977384E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146888229E+02
  0.184000000E+02   0.249481284E-06   0.360417859E-05   0.619306929E-07   0.647411131E-05   0.198927032E-02   0.943999999E+01   0.217075467E+00   0.540541611E+01   0.222557332E+00   0.551223007E+01   0.104271840E+03   0.586258308E-01   0.522704583E+00   0.129315288E+02   0.536420076E+00   0.133307939E+02   0.179992508E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146888274E+02
  0.276000000E+02   0.282639727E-06   0.360417859E-05   0.121492517E-06   0.647411131E-05   0.203383986E-02   0.943999999E+01   0.220524128E+00   0.540541611E+01   0.226574791E+00   0.551223007E+01   0.104271668E+03   0.586258308E-01   0.529402230E+00   0.129315288E+02   0.536217555E+00   0.133307939E+02   0.179999721E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146887263E+02
  0.368000000E+02   0.315798170E-06   0.360417859E-05   0.181054341E-06   0.647411131E-05   0.207840940E-02   0.943999999E+01   0.234704357E+00   0.540541611E+01   0.241420845E+00   0.551223007E+01   0.104271489E+03   0.586258308E-01   0.563525587E+00   0.129315288E+02   0.577239038E+00   0.133307939E+02   0.179968501E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146887309E+02
  0.460000000E+02   0.348956613E-06   0.360417859E-05   0.240616165E-06   0.647411131E-05   0.212297893E-02   0.943999999E+01   0.257851684E+00   0.540541611E+01   0.265283682E+00   0.551223007E+01   0.104271315E+03   0.586258308E-01   0.629927211E+00   0.129315288E+02   0.635774753E+00   0.133307939E+02   0.179980041E+03   0.102872603E+00   0.167307380E+00   0.174995397E+00   0.146887354E+02
