       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.901362234E+02   0.334432594E-05   0.629294260E-06   0.108263714E-04   0.111418844E-03   0.230351771E-03   0.692999906E+01   0.285307943E+00   0.138716407E+01   0.291137742E+00   0.136865508E+01   0.616281645E+01   0.560934078E+00   0.714728915E+00   0.362755587E+01   0.724684202E+00   0.351824728E+01   0.162411617E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064205E+01
  0.983304255E+02   0.334948250E-05   0.629294260E-06   0.117393599E-04   0.111418844E-03   0.251476831E-03   0.692999906E+01   0.293950639E+00   0.138716407E+01   0.299630602E+00   0.136865508E+01   0.629637924E+01   0.560934078E+00   0.737488951E+00   0.362755587E+01   0.748782571E+00   0.351824728E+01   0.165056383E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064008E+01
  0.106524628E+03   0.335463907E-05   0.629294260E-06   0.126523484E-04   0.111418844E-03   0.272601892E-03   0.692999906E+01   0.302773410E+00   0.138716407E+01   0.308297525E+00   0.136865508E+01   0.643653392E+01   0.560934078E+00   0.760248987E+00   0.362755587E+01   0.772880941E+00   0.351824728E+01   0.167701149E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063840E+01
  0.114718830E+03   0.335979563E-05   0.629294260E-06   0.135653370E-04   0.111418844E-03   0.293726952E-03   0.692999906E+01   0.311760968E+00   0.138716407E+01   0.317124242E+00   0.136865508E+01   0.658285949E+01   0.560934078E+00   0.783009023E+00   0.362755587E+01   0.796979310E+00   0.351824728E+01   0.170345915E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063703E+01
  0.122913032E+03   0.336495219E-05   0.629294260E-06   0.144783255E-04   0.111418844E-03   0.314852013E-03   0.692999906E+01   0.320899468E+00   0.138716407E+01   0.326097776E+00   0.136865508E+01   0.673495373E+01   0.560934078E+00   0.805769059E+00   0.362755587E+01   0.821077680E+00   0.351824728E+01   0.172990680E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063595E+01
  0.131107234E+03   0.337010876E-05   0.629294260E-06   0.153913140E-04   0.111418844E-03   0.335977073E-03   0.692999906E+01   0.330176377E+00   0.138716407E+01   0.335206337E+00   0.136865508E+01   0.689243476E+01   0.560934078E+00   0.828529095E+00   0.362755587E+01   0.847570288E+00   0.351824728E+01   0.175635446E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063517E+01
  0.139301436E+03   0.337526532E-05   0.629294260E-06   0.163043025E-04   0.111418844E-03   0.357102134E-03   0.692999906E+01   0.339580352E+00   0.138716407E+01   0.344439213E+00   0.136865508E+01   0.705494187E+01   0.560934078E+00   0.852429032E+00   0.362755587E+01   0.874971560E+00   0.351824728E+01   0.179984426E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063469E+01
  0.147495638E+03   0.338042189E-05   0.629294260E-06   0.172172911E-04   0.111418844E-03   0.378227194E-03   0.692999906E+01   0.349101123E+00   0.138716407E+01   0.353786670E+00   0.136865508E+01   0.722213579E+01   0.560934078E+00   0.877027745E+00   0.362755587E+01   0.902372833E+00   0.351824728E+01   0.186074660E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063450E+01
  0.155689840E+03   0.338557845E-05   0.629294260E-06   0.181302796E-04   0.111418844E-03   0.399352255E-03   0.692999906E+01   0.358729393E+00   0.138716407E+01   0.363239865E+00   0.136865508E+01   0.739369856E+01   0.560934078E+00   0.901626458E+00   0.362755587E+01   0.929774105E+00   0.351824728E+01   0.192164893E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063461E+01
  0.163884043E+03   0.339073502E-05   0.629294260E-06   0.190432681E-04   0.111418844E-03   0.420477315E-03   0.692999906E+01   0.368456733E+00   0.138716407E+01   0.372790751E+00   0.136865508E+01   0.756933314E+01   0.560934078E+00   0.926225172E+00   0.362755587E+01   0.957175378E+00   0.351824728E+01   0.198255127E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063503E+01
  0.172078245E+03   0.339589158E-05   0.629294260E-06   0.199562566E-04   0.111418844E-03   0.441602376E-03   0.692999906E+01   0.378275501E+00   0.138716407E+01   0.382432012E+00   0.136865508E+01   0.774876264E+01   0.560934078E+00   0.950823885E+00   0.362755587E+01   0.984576650E+00   0.351824728E+01   0.204345361E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063573E+01
  0.180272447E+03   0.340104814E-05   0.629294260E-06   0.208692452E-04   0.111418844E-03   0.462727436E-03   0.692999906E+01   0.388178759E+00   0.138716407E+01   0.392156980E+00   0.136865508E+01   0.793172953E+01   0.560934078E+00   0.975422598E+00   0.362755587E+01   0.101197792E+01   0.351824728E+01   0.210435595E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063674E+01
  0.188466649E+03   0.340620471E-05   0.629294260E-06   0.217822337E-04   0.111418844E-03   0.483852497E-03   0.692999906E+01   0.398160203E+00   0.138716407E+01   0.401959580E+00   0.136865508E+01   0.811799464E+01   0.560934078E+00   0.100002131E+01   0.362755587E+01   0.103937920E+01   0.351824728E+01   0.216525829E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063805E+01
  0.196660851E+03   0.341136127E-05   0.629294260E-06   0.226952222E-04   0.111418844E-03   0.504977557E-03   0.692999906E+01   0.408214098E+00   0.138716407E+01   0.411834270E+00   0.136865508E+01   0.830733610E+01   0.560934078E+00   0.102462003E+01   0.362755587E+01   0.106678047E+01   0.351824728E+01   0.222616062E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517063965E+01
  0.204855053E+03   0.341651784E-05   0.629294260E-06   0.236082107E-04   0.111418844E-03   0.526102618E-03   0.692999906E+01   0.418335219E+00   0.138716407E+01   0.421775985E+00   0.136865508E+01   0.849954833E+01   0.560934078E+00   0.104921874E+01   0.362755587E+01   0.109418174E+01   0.351824728E+01   0.228706296E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064155E+01
  0.213049255E+03   0.342167440E-05   0.629294260E-06   0.245211993E-04   0.111418844E-03   0.547227678E-03   0.692999906E+01   0.428518804E+00   0.138716407E+01   0.431780095E+00   0.136865508E+01   0.869444093E+01   0.560934078E+00   0.107381745E+01   0.362755587E+01   0.112158301E+01   0.351824728E+01   0.234796530E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064375E+01
  0.221243457E+03   0.342683097E-05   0.629294260E-06   0.254341878E-04   0.111418844E-03   0.568352739E-03   0.692999906E+01   0.438760504E+00   0.138716407E+01   0.441842364E+00   0.136865508E+01   0.889183767E+01   0.560934078E+00   0.109841616E+01   0.362755587E+01   0.114898429E+01   0.351824728E+01   0.240886764E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064624E+01
  0.229437660E+03   0.343198753E-05   0.629294260E-06   0.263471763E-04   0.111418844E-03   0.589477799E-03   0.692999906E+01   0.449056341E+00   0.138716407E+01   0.451958906E+00   0.136865508E+01   0.909157542E+01   0.560934078E+00   0.112301488E+01   0.362755587E+01   0.117638556E+01   0.351824728E+01   0.246976998E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517064904E+01
  0.237631862E+03   0.343714410E-05   0.629294260E-06   0.272601648E-04   0.111418844E-03   0.610602860E-03   0.692999906E+01   0.459402676E+00   0.138716407E+01   0.462126156E+00   0.136865508E+01   0.929350326E+01   0.560934078E+00   0.114761359E+01   0.362755587E+01   0.120378683E+01   0.351824728E+01   0.253067231E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517065213E+01
  0.245826064E+03   0.344230066E-05   0.629294260E-06   0.281731534E-04   0.111418844E-03   0.631727920E-03   0.692999906E+01   0.469796173E+00   0.138716407E+01   0.472340841E+00   0.136865508E+01   0.949748149E+01   0.560934078E+00   0.117221230E+01   0.362755587E+01   0.123118810E+01   0.351824728E+01   0.259157465E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517065552E+01
  0.254020266E+03   0.344745722E-05   0.629294260E-06   0.290861419E-04   0.111418844E-03   0.652852980E-03   0.692999906E+01   0.480233770E+00   0.138716407E+01   0.482599948E+00   0.136865508E+01   0.970338080E+01   0.560934078E+00   0.119681102E+01   0.362755587E+01   0.125858938E+01   0.351824728E+01   0.265247699E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517065921E+01
  0.262214468E+03   0.345261379E-05   0.629294260E-06   0.299991304E-04   0.111418844E-03   0.673978041E-03   0.692999906E+01   0.490712652E+00   0.138716407E+01   0.492900704E+00   0.136865508E+01   0.991108147E+01   0.560934078E+00   0.122140973E+01   0.362755587E+01   0.128599065E+01   0.351824728E+01   0.271337933E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517066319E+01
  0.270408670E+03   0.345777035E-05   0.629294260E-06   0.309121189E-04   0.111418844E-03   0.695103101E-03   0.692999906E+01   0.501230230E+00   0.138716407E+01   0.503240551E+00   0.136865508E+01   0.101204726E+02   0.560934078E+00   0.124600844E+01   0.362755587E+01   0.131339192E+01   0.351824728E+01   0.277428167E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517066747E+01
  0.278602872E+03   0.346292692E-05   0.629294260E-06   0.318251075E-04   0.111418844E-03   0.716228162E-03   0.692999906E+01   0.511784119E+00   0.138716407E+01   0.513617128E+00   0.136865508E+01   0.103314514E+02   0.560934078E+00   0.127060716E+01   0.362755587E+01   0.134079319E+01   0.351824728E+01   0.283518401E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517067206E+01
  0.286797074E+03   0.346808348E-05   0.629294260E-06   0.327380960E-04   0.111418844E-03   0.737353222E-03   0.692999906E+01   0.522372118E+00   0.138716407E+01   0.524028254E+00   0.136865508E+01   0.105439225E+02   0.560934078E+00   0.129520587E+01   0.362755587E+01   0.136819447E+01   0.351824728E+01   0.289608634E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517067693E+01
  0.294991277E+03   0.347324005E-05   0.629294260E-06   0.336510845E-04   0.111418844E-03   0.758478283E-03   0.692999906E+01   0.532992193E+00   0.138716407E+01   0.534471909E+00   0.136865508E+01   0.107577976E+02   0.560934078E+00   0.131980458E+01   0.362755587E+01   0.139559574E+01   0.351824728E+01   0.295698868E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517068211E+01
  0.303185479E+03   0.347839661E-05   0.629294260E-06   0.345640731E-04   0.111418844E-03   0.779603343E-03   0.692999906E+01   0.543642466E+00   0.138716407E+01   0.544946223E+00   0.136865508E+01   0.109729946E+02   0.560934078E+00   0.134440330E+01   0.362755587E+01   0.142299701E+01   0.351824728E+01   0.301789102E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517068759E+01
  0.311379681E+03   0.348355317E-05   0.629294260E-06   0.354770616E-04   0.111418844E-03   0.800728404E-03   0.692999906E+01   0.554321195E+00   0.138716407E+01   0.555449462E+00   0.136865508E+01   0.111894371E+02   0.560934078E+00   0.136900201E+01   0.362755587E+01   0.145039828E+01   0.351824728E+01   0.307879336E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517069336E+01
  0.319573883E+03   0.348870974E-05   0.629294260E-06   0.363900501E-04   0.111418844E-03   0.821853464E-03   0.692999906E+01   0.565026767E+00   0.138716407E+01   0.565980015E+00   0.136865508E+01   0.114070543E+02   0.560934078E+00   0.139360072E+01   0.362755587E+01   0.147779956E+01   0.351824728E+01   0.313969570E+02   0.158332919E+01   0.318838765E-01   0.322610433E-01   0.517069943E+01
