n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn95.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn95.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn95.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.693000E+01  -0.135020E-04   0.208292E+00   0.214880E+00   0.539710E+00   0.551847E+00   0.525622E+01   0.139685E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.206827E+02        0.273424E+02        0.419362E+02     0.328760E-05   0.629294E-06   0.783498E-06   0.111419E-03   0.122207E+00  -0.115961E-03  -0.475875E+00   0.166291E+00  -0.491052E+00   0.174908E+00   0.108560E+00      0.942554E+01     0.000000E+00    0.100100E+04
   1  drift  0.385127E+01   0.693000E+01  -0.135020E-04   0.651478E+00   0.651048E+00   0.159039E+01   0.169701E+01   0.131832E+02   0.362691E+02   0.560934E-02      0.127536E+00        0.164211E+00        0.234923E+00        0.129044E+00        0.160078E+00        0.235063E+00        0.206830E+02        0.275343E+02        0.417186E+02     0.352996E-05   0.629294E-06   0.436940E-04   0.111419E-03   0.122207E+00   0.567717E-01  -0.331632E+01   0.162677E+01  -0.322388E+01   0.160563E+01   0.231616E+01      0.592920E+02     0.000000E+00    0.100100E+04
   2  quad   0.415127E+01   0.693000E+01  -0.135020E-04   0.564660E+00   0.825526E+00   0.137079E+01   0.214976E+01   0.140128E+02   0.384989E+02   0.560934E-02      0.127646E+00        0.164732E+00        0.231691E+00        0.129252E+00        0.161100E+00        0.237611E+00        0.206833E+02        0.275278E+02        0.417088E+02    -0.114222E-04  -0.937021E-03   0.674316E-04   0.154105E-02   0.122207E+00   0.695862E-01   0.149734E+02   0.122102E+01  -0.334199E+02   0.257740E+01   0.248810E+01      0.669879E+02     0.000000E+00    0.100100E+04
   3  drift  0.423502E+01   0.693000E+01  -0.135020E-04   0.506683E+00   0.915178E+00   0.122709E+01   0.238283E+01   0.142459E+02   0.391214E+02   0.560934E-02      0.127646E+00        0.164732E+00        0.231691E+00        0.129252E+00        0.161100E+00        0.237611E+00        0.206834E+02        0.274864E+02        0.417093E+02    -0.192697E-04  -0.937021E-03   0.803379E-04   0.154105E-02   0.122207E+00   0.780175E-01   0.134287E+02   0.983154E+00  -0.370524E+02   0.316760E+01   0.253609E+01      0.692347E+02     0.000000E+00    0.100100E+04
   4  quad   0.453502E+01   0.693000E+01  -0.135020E-04   0.419876E+00   0.978735E+00   0.102627E+01   0.254654E+01   0.150855E+02   0.414793E+02   0.560934E-02      0.127528E+00        0.164064E+00        0.233709E+00        0.129817E+00        0.161989E+00        0.233078E+00        0.206837E+02        0.274793E+02        0.416985E+02    -0.405095E-04  -0.561120E-03   0.828227E-04  -0.141246E-02   0.122207E+00   0.889363E-01  -0.142258E+01   0.675763E+00   0.245247E+02   0.360710E+01   0.270802E+01      0.776353E+02     0.000000E+00    0.100100E+04
   5  drift  0.466848E+01   0.693000E+01  -0.135020E-04   0.431751E+00   0.889938E+00   0.106246E+01   0.231443E+01   0.154611E+02   0.425947E+02   0.560934E-02      0.127528E+00        0.164064E+00        0.233709E+00        0.129817E+00        0.161989E+00        0.233078E+00        0.206838E+02        0.274346E+02        0.416939E+02    -0.479977E-04  -0.561120E-03   0.639733E-04  -0.141246E-02   0.122207E+00   0.939149E-01  -0.148230E+01   0.714528E+00   0.222958E+02   0.298227E+01   0.278449E+01      0.815487E+02     0.000000E+00    0.100100E+04
   6  quad   0.491848E+01   0.693000E+01  -0.135020E-04   0.383942E+00   0.865147E+00   0.956153E+00   0.224773E+01   0.161679E+02   0.446841E+02   0.560934E-02      0.127597E+00        0.165278E+00        0.232459E+00        0.129062E+00        0.160085E+00        0.234729E+00        0.206840E+02        0.274273E+02        0.416829E+02    -0.618753E-04  -0.504558E-03   0.493465E-04   0.204979E-03   0.122207E+00   0.995459E-01   0.678584E+01   0.564737E+00  -0.151248E+02   0.283492E+01   0.292777E+01      0.891742E+02     0.000000E+00    0.100100E+04
   7  drift  0.829744E+01   0.692992E+01  -0.109707E-02   0.124354E+01   0.165660E+01   0.297473E+01   0.298660E+01   0.270405E+02   0.729250E+02   0.582319E-02      0.137111E+00        0.172353E+00        0.233541E+00        0.911330E-01        0.108989E+00        0.166650E+00        0.223156E+02        0.288191E+02        0.415262E+02    -0.357450E-02  -0.144522E-01  -0.155938E-01  -0.254950E-01   0.122207E+00   0.238417E+00  -0.214495E+02   0.551326E+01  -0.280031E+02   0.147204E+02   0.487743E+01      0.231199E+03     0.227000E+03    0.774000E+03
