 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.13600E+00      -0.11052E-01       0.33698E-01       0.38192E+00      -0.14217E-01      -0.79358E+01
      0      1      -0.90511E-01       0.86704E-02      -0.34385E-01      -0.17077E+01       0.40796E-01       0.13177E+02
      0      1       0.36251E+00      -0.44440E-01      -0.17509E-01      -0.52058E+01      -0.39858E-01       0.98820E+01
      0      1      -0.55483E+00       0.72237E-01       0.99585E-01       0.27594E+01       0.15831E-01       0.87553E+01
      0      1      -0.17057E+00       0.18337E-01      -0.11953E-01      -0.58675E+01      -0.42905E-02       0.45183E+01
      0      1       0.11206E+00       0.63837E-04       0.39827E-01      -0.95953E+01       0.15194E-02      -0.18458E+01
      0      1       0.36894E+00      -0.26576E-01      -0.12722E-01      -0.96418E+01      -0.23021E-01      -0.86690E+00
      0      1       0.16506E+00      -0.11448E-01      -0.22899E+00      -0.17423E+02      -0.33778E-01      -0.22102E+01
      0      1       0.54679E+00      -0.54019E-01       0.66588E+00       0.27095E+02       0.32100E-01       0.84328E+01
      0      1      -0.36088E+00       0.49792E-01      -0.61896E-01      -0.10681E+01      -0.51447E-02      -0.23242E+02
      0      1      -0.21304E+00       0.28125E-01      -0.91857E-01       0.78729E+01      -0.98266E-01       0.72142E+00
      0      1      -0.79990E-01       0.14391E-01       0.52409E-01       0.49662E+01       0.83871E-01       0.59195E+01
      0      1       0.38931E+00      -0.42841E-01      -0.70275E-01      -0.51706E+01      -0.97678E-02      -0.71268E+01
      0      1       0.54547E+00      -0.69162E-01       0.70766E-01       0.91742E+01      -0.54457E-01       0.99870E+01
      0      1      -0.12411E+00       0.18201E-01      -0.13566E+00      -0.18134E+02      -0.31259E-01       0.48936E+01
      0      1      -0.58722E+00       0.61146E-01       0.10325E-01      -0.62770E+01      -0.33560E-01      -0.53744E+01
      0      1       0.29014E+00      -0.31654E-01       0.88503E-01       0.31702E+01       0.18364E-01      -0.14133E+02
      0      1       0.43223E+00      -0.50692E-01       0.11232E+00       0.11314E+02      -0.88351E-01      -0.73030E+00
      0      1      -0.30595E+00       0.35500E-01       0.10608E-01       0.12487E+02       0.70909E-01       0.45588E+01
      0      1       0.65949E+00      -0.71697E-01      -0.29144E+00      -0.16988E+02       0.34224E-01       0.13648E+01
      0      1      -0.26520E+00       0.39826E-01       0.80188E-01       0.10745E+01       0.58052E-01       0.14005E+02
      0      1       0.16337E+00      -0.17004E-01       0.29346E-01       0.60619E+01       0.25848E-01      -0.18724E+02
      0      1       0.74542E+00      -0.81943E-01       0.69007E-01       0.57974E+01       0.25423E-01       0.81989E+00
      0      1      -0.47409E+00       0.56120E-01      -0.65950E-01       0.77562E+01       0.46398E-01       0.63043E+01
      0      1       0.14742E+00      -0.16793E-01       0.88317E-01       0.37274E+01      -0.29868E-01       0.18802E+02
      0      1      -0.51947E+00       0.60266E-01      -0.65314E-01       0.37250E+01      -0.98663E-01       0.42320E+01
      0      1      -0.86383E+00       0.11789E+00      -0.55256E-01       0.35508E+01      -0.50641E-01      -0.14631E+00
      0      1       0.56662E+00      -0.73314E-01       0.75685E-02      -0.45648E+01      -0.68790E-01      -0.63160E+01
      0      1       0.22727E+00      -0.15002E-01       0.32942E+00       0.21491E+02       0.53101E-01       0.27832E+01
      0      1       0.21505E+00      -0.34746E-01       0.35859E-01       0.29966E+00       0.51498E-01       0.36439E+01
      0      1       0.24353E+00      -0.29260E-01       0.44594E-01       0.66981E+01      -0.81357E-01       0.23902E+01
      0      1      -0.11162E+00       0.94040E-02      -0.44686E-04       0.27852E+01       0.41898E-01       0.78556E+01
      0      1       0.16927E+00      -0.59557E-02       0.21378E+00       0.18575E+02       0.64316E-01       0.42374E+01
      0      1       0.16848E+00      -0.90038E-02       0.16290E+00       0.15563E+02       0.78289E-01       0.74201E+01
      0      1      -0.11938E+00       0.14522E-01      -0.67260E-02       0.44089E+01      -0.18656E-02       0.15932E+02
      0      1      -0.41627E+00       0.65643E-01      -0.45660E-01       0.31675E+01       0.58892E-01       0.40793E+01
      0      1      -0.26484E+00       0.48910E-01       0.36530E-01      -0.94034E+01       0.24030E-01      -0.14358E+02
      0      1       0.81492E+00      -0.10309E+00       0.12896E+00       0.10689E+02       0.42896E-01       0.26055E+01
      0      1      -0.36818E+00       0.52832E-01       0.13206E-01      -0.14454E+02      -0.13645E-01      -0.49035E+01
      0      1       0.15741E+00      -0.17491E-01       0.12357E+00       0.13475E+02      -0.38514E-01       0.39730E+01
      0      1       0.66306E+00      -0.78541E-01       0.86120E-01       0.13488E+01      -0.49792E-01      -0.16845E+02
      0      1       0.52359E-01       0.26319E-02      -0.98403E-02      -0.57807E+01      -0.88623E-01       0.59361E+01
      0      1       0.32939E+00      -0.48600E-01      -0.12857E+00      -0.78017E+01       0.42891E-01       0.48508E-01
      0      1       0.61046E+00      -0.72353E-01      -0.42531E+00      -0.20359E+02       0.28459E-01      -0.21014E+01
      0      1       0.60465E+00      -0.67420E-01       0.51107E+00       0.23174E+02      -0.20460E-01       0.34676E+01
      0      1       0.24000E+00      -0.33342E-01      -0.14432E+00      -0.86746E+01      -0.17872E-01       0.91891E+01
      0      1       0.68965E+00      -0.78960E-01       0.94867E-01       0.37088E+01       0.33445E-01       0.28859E+01
      0      1      -0.40664E+00       0.61031E-01      -0.46661E-01      -0.13573E+02       0.31458E-01      -0.28862E+01
      0      1       0.14537E+00      -0.17094E-01       0.11463E+00       0.64121E+01      -0.12245E-01       0.58917E+00
      0      1      -0.94273E+00       0.11166E+00      -0.25138E-01       0.27164E+01      -0.10826E-01       0.91059E+01
      0      1       0.32248E+00      -0.48047E-01      -0.10309E+00      -0.97660E+01       0.58058E-01       0.12402E+02
      0      1       0.36003E+00      -0.22499E-01      -0.66209E+00      -0.27007E+02       0.60678E-02      -0.57442E+01
      0      1       0.31984E+00      -0.15775E-01      -0.68410E+00      -0.28216E+02       0.38871E-02       0.11138E+01
