n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  10  bmag   0.242257E+01   0.100000E+02  -0.751547E-05   0.142475E+01   0.430282E+00   0.389098E+01   0.111412E+01   0.101571E+02   0.250689E+02   0.498828E-02      0.145621E+01        0.289307E+01        0.413296E+01        0.259113E+00        0.397232E+00        0.474590E+00        0.426069E+02        0.656941E+02        0.820151E+02    -0.197398E-01  -0.268969E+00  -0.101093E-03  -0.309007E-03   0.146922E+00   0.412910E+00   0.100682E+02   0.819222E+00   0.280594E+01   0.419916E+00   0.682672E+00      0.246542E+02     0.000000E+00    0.100100E+04
  11  drift  0.253312E+01   0.100000E+02  -0.751547E-05   0.123133E+01   0.398657E+00   0.337350E+01   0.103132E+01   0.102985E+02   0.254473E+02   0.498828E-02      0.145621E+01        0.289307E+01        0.413296E+01        0.259113E+00        0.397232E+00        0.474590E+00        0.426136E+02        0.657052E+02        0.820290E+02    -0.227133E-01  -0.268969E+00  -0.104509E-03  -0.309007E-03   0.146922E+00   0.429729E+00   0.868682E+01   0.611885E+00   0.257234E+01   0.360460E+00   0.711811E+00      0.253415E+02     0.000000E+00    0.100100E+04
  12  drift  0.264367E+01   0.100000E+02  -0.751547E-05   0.103831E+01   0.367410E+00   0.285602E+01   0.948515E+00   0.104438E+02   0.258257E+02   0.498828E-02      0.145621E+01        0.289307E+01        0.413296E+01        0.259113E+00        0.397232E+00        0.474590E+00        0.426206E+02        0.657168E+02        0.820434E+02    -0.256867E-01  -0.268969E+00  -0.107926E-03  -0.309007E-03   0.146922E+00   0.446548E+00   0.730539E+01   0.435091E+00   0.233873E+01   0.306168E+00   0.740937E+00      0.260574E+02     0.000000E+00    0.100100E+04
  13  bmag   0.308274E+01   0.100000E+02  -0.175090E-05   0.433764E+00   0.164598E+00   0.117631E+01   0.431361E+00   0.915585E+01   0.229855E+02   0.498829E-02      0.967399E+00        0.226076E+01        0.363467E+01        0.259177E+00        0.390939E+00        0.475018E+00        0.275018E+02        0.448597E+02        0.531513E+02    -0.344871E-01  -0.998571E-01  -0.573020E-04   0.275071E-03   0.146922E+00   0.624813E+00   0.400343E+01   0.114301E+00   0.155931E+01   0.614324E-01   0.136353E+01      0.310363E+02     0.000000E+00    0.100100E+04
  14  drift  0.317124E+01   0.100000E+02  -0.175090E-05   0.301186E+00   0.129807E+00   0.800178E+00   0.345587E+00   0.931557E+01   0.233858E+02   0.498829E-02      0.967399E+00        0.226076E+01        0.363467E+01        0.259177E+00        0.390939E+00        0.475018E+00        0.275087E+02        0.450323E+02        0.531668E+02    -0.353708E-01  -0.998571E-01  -0.548676E-04   0.275071E-03   0.146922E+00   0.636315E+00   0.268504E+01   0.551077E-01   0.106497E+01   0.382075E-01   0.139941E+01      0.321205E+02     0.000000E+00    0.100100E+04
  15  drift  0.337124E+01   0.100000E+02  -0.175090E-05   0.109578E+00   0.889765E-01   0.443995E+00   0.226796E+00   0.968150E+01   0.242903E+02   0.498829E-02      0.967399E+00        0.226076E+01        0.363467E+01        0.259177E+00        0.390939E+00        0.475018E+00        0.275248E+02        0.456229E+02        0.536740E+02    -0.373679E-01  -0.998571E-01  -0.493662E-04   0.275071E-03   0.146922E+00   0.662307E+00  -0.294380E+00   0.729443E-02  -0.521716E-01   0.179515E-01   0.148040E+01      0.346733E+02     0.000000E+00    0.100100E+04
  16  drift  0.357124E+01   0.100000E+02  -0.175090E-05   0.359833E+00   0.136714E+00   0.115436E+01   0.353208E+00   0.100537E+02   0.251948E+02   0.498829E-02      0.967399E+00        0.226076E+01        0.363467E+01        0.259177E+00        0.390939E+00        0.475018E+00        0.275416E+02        0.462269E+02        0.542569E+02    -0.393651E-01  -0.998571E-01  -0.438648E-04   0.275071E-03   0.146922E+00   0.688299E+00  -0.327380E+01   0.786580E-01  -0.116931E+01   0.423813E-01   0.156127E+01      0.373680E+02     0.000000E+00    0.100100E+04
  17  drift  0.365974E+01   0.100000E+02  -0.175090E-05   0.494036E+00   0.172475E+00   0.149385E+01   0.434997E+00   0.102203E+02   0.255950E+02   0.498829E-02      0.967399E+00        0.226076E+01        0.363467E+01        0.259177E+00        0.390939E+00        0.475018E+00        0.275492E+02        0.465016E+02        0.545153E+02    -0.402488E-01  -0.998571E-01  -0.414304E-04   0.275071E-03   0.146922E+00   0.699800E+00  -0.459219E+01   0.148272E+00  -0.166365E+01   0.674530E-01   0.159700E+01      0.386057E+02     0.000000E+00    0.100100E+04
  18  bmag   0.409881E+01   0.100000E+02   0.389078E-05   0.109436E+01   0.376470E+00   0.299624E+01   0.101575E+01   0.133105E+02   0.346670E+02   0.498829E-02      0.148970E+01        0.310138E+01        0.444961E+01        0.259183E+00        0.397021E+00        0.474338E+00        0.439187E+02        0.766321E+02        0.894190E+02    -0.436916E-01   0.338182E-01  -0.825022E-04   0.723617E-03   0.146922E+00   0.929618E+00  -0.748533E+01   0.472468E+00  -0.235950E+01   0.321366E+00   0.117027E+01      0.410745E+02     0.000000E+00    0.100100E+04
  19  drift  0.420936E+01   0.100000E+02   0.389078E-05   0.128629E+01   0.407232E+00   0.347307E+01   0.110079E+01   0.134988E+02   0.351774E+02   0.498829E-02      0.148970E+01        0.310138E+01        0.444961E+01        0.259183E+00        0.397021E+00        0.474338E+00        0.439264E+02        0.768218E+02        0.899553E+02    -0.433178E-01   0.338182E-01  -0.745027E-04   0.723617E-03   0.146922E+00   0.946230E+00  -0.881974E+01   0.652721E+00  -0.258542E+01   0.376032E+00   0.119840E+01      0.422371E+02     0.000000E+00    0.100100E+04
  20  drift  0.431991E+01   0.100000E+02   0.389078E-05   0.147859E+01   0.438349E+00   0.398239E+01   0.118582E+01   0.136888E+02   0.356877E+02   0.498829E-02      0.148970E+01        0.310138E+01        0.444961E+01        0.259183E+00        0.397021E+00        0.474338E+00        0.439344E+02        0.770093E+02        0.904928E+02    -0.429439E-01   0.338182E-01  -0.665031E-04   0.723617E-03   0.146922E+00   0.962842E+00  -0.101542E+02   0.862477E+00  -0.281133E+01   0.435693E+00   0.122652E+01      0.434272E+02     0.000000E+00    0.100100E+04
  21  bmag   0.475898E+01   0.100000E+02   0.945064E-05   0.239647E+01   0.459409E+00   0.662020E+01   0.123905E+01   0.114054E+02   0.319444E+02   0.498829E-02      0.385362E+00        0.101346E+01        0.372597E+01        0.259145E+00        0.397110E+00        0.474444E+00        0.116530E+02        0.195246E+02        0.249995E+02    -0.310488E-01  -0.220567E+00  -0.292335E-04   0.109610E-02   0.146922E+00   0.895909E+00  -0.567114E+02   0.875837E+01  -0.548036E+00   0.478635E+00   0.486956E+01      0.113663E+03     0.000000E+00    0.100100E+04
  22  drift  0.484748E+01   0.100000E+02   0.945064E-05   0.253380E+01   0.464142E+00   0.698592E+01   0.124973E+01   0.115986E+02   0.324821E+02   0.498829E-02      0.385362E+00        0.101346E+01        0.372597E+01        0.259145E+00        0.397110E+00        0.474444E+00        0.116760E+02        0.195198E+02        0.250254E+02    -0.330008E-01  -0.220567E+00  -0.195330E-04   0.109610E-02   0.146922E+00   0.906299E+00  -0.599623E+02   0.979094E+01  -0.572080E+00   0.488548E+00   0.494532E+01      0.117314E+03     0.000000E+00    0.100100E+04
  23  drift  0.489748E+01   0.100000E+02   0.945064E-05   0.261139E+01   0.466884E+00   0.719254E+01   0.125577E+01   0.117077E+02   0.327859E+02   0.498829E-02      0.385362E+00        0.101346E+01        0.372597E+01        0.259145E+00        0.397110E+00        0.474444E+00        0.116891E+02        0.195311E+02        0.250399E+02    -0.341037E-01  -0.220567E+00  -0.140525E-04   0.109610E-02   0.146922E+00   0.912170E+00  -0.617989E+02   0.103997E+02  -0.585664E+00   0.494336E+00   0.498795E+01      0.119399E+03     0.000000E+00    0.100100E+04
  24  quad   0.534748E+01   0.100000E+02   0.945064E-05   0.200935E+01   0.745607E+00   0.544061E+01   0.198373E+01   0.127016E+02   0.355192E+02   0.498829E-02      0.698711E+00        0.335627E+01        0.109325E+02        0.258455E+00        0.403957E+00        0.476927E+00        0.119625E+02        0.197375E+02        0.253370E+02    -0.266939E-01   0.528557E+00   0.117200E-04   0.231222E-03   0.146922E+00   0.102975E+01   0.685157E+02   0.339596E+01  -0.213628E+02   0.126410E+01   0.529936E+01      0.137318E+03     0.000000E+00    0.100100E+04
  25  drift  0.536748E+01   0.100000E+02   0.945064E-05   0.192827E+01   0.770809E+00   0.521227E+01   0.205013E+01   0.127475E+02   0.356406E+02   0.498829E-02      0.698711E+00        0.335627E+01        0.109325E+02        0.258455E+00        0.403957E+00        0.476927E+00        0.120044E+02        0.198170E+02        0.253739E+02    -0.256368E-01   0.528557E+00   0.121825E-04   0.231222E-03   0.146922E+00   0.104616E+01   0.657504E+02   0.312742E+01  -0.220865E+02   0.135100E+01   0.530000E+01      0.137830E+03     0.000000E+00    0.100100E+04
  26  quad   0.581748E+01   0.100000E+02   0.945064E-05   0.858243E+00   0.851628E+00   0.209285E+01   0.225442E+01   0.137504E+02   0.383740E+02   0.498829E-02      0.619983E+00        0.294196E+01        0.961425E+01        0.262080E+00        0.401354E+00        0.490054E+00        0.124109E+02        0.205017E+02        0.260174E+02    -0.121133E-01   0.115757E+00   0.437290E-04   0.662101E-03   0.146922E+00   0.119400E+01   0.842493E+01   0.698214E+00   0.176528E+02   0.162635E+01   0.553768E+01      0.155116E+03     0.000000E+00    0.100100E+04
  27  drift  0.674248E+01   0.100000E+02   0.945064E-05   0.151207E+00   0.485578E-01   0.109684E+01   0.122463E+00   0.157780E+02   0.439924E+02   0.498829E-02      0.619983E+00        0.294196E+01        0.961425E+01        0.262080E+00        0.401354E+00        0.490054E+00        0.125714E+02        0.209090E+02        0.263338E+02    -0.140585E-02   0.115757E+00   0.104973E-03   0.662101E-03   0.146922E+00   0.128275E+01  -0.111097E+01   0.216727E-01  -0.127806E+00   0.528728E-02   0.629568E+01      0.201630E+03     0.000000E+00    0.100100E+04
  28  mtrx2  0.674248E+01   0.100000E+02   0.945064E-05   0.151207E+00   0.485578E-01   0.109684E+01   0.122463E+00   0.157780E+02   0.439924E+02   0.498829E-02      0.619983E+00        0.294196E+01        0.961425E+01        0.262080E+00        0.401354E+00        0.490054E+00        0.125714E+02        0.209090E+02        0.263338E+02    -0.140585E-02   0.115757E+00   0.104973E-03   0.662101E-03   0.146922E+00   0.128275E+01  -0.111097E+01   0.216727E-01  -0.127806E+00   0.528728E-02   0.629568E+01      0.201630E+03     0.000000E+00    0.100100E+04
