n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  11  slit    7.0  14.0    -1       1.490       0.039     160.200   0.0007864   0.0000181   0.1228865       1.490       0.039       0.000   0.0007864   0.0000181   0.1228865       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.175      -1.222     160.200   0.0001129  -0.0000267   0.1228495       0.175      -1.222       0.000   0.0001129  -0.0000267   0.1228495       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.330       0.376     160.200  -0.0006889   0.0002832   0.1229036      -1.330       0.376       0.000  -0.0006889   0.0002832   0.1229036       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.345       1.277     160.200  -0.0001194   0.0002096   0.1228147      -0.345       1.277       0.000  -0.0001194   0.0002096   0.1228147       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1       1.421       0.338     160.200   0.0005490   0.0000466   0.1228936       1.421       0.338       0.000   0.0005490   0.0000466   0.1228936       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.020       1.205     160.200   0.0000612   0.0001854   0.1228962      -0.020       1.205       0.000   0.0000612   0.0001854   0.1228962       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.355       0.429     160.200  -0.0007957   0.0002392   0.1228609      -1.355       0.429       0.000  -0.0007957   0.0002392   0.1228609       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.710      -1.257     160.200   0.0004821   0.0002756   0.1227926       0.710      -1.257       0.000   0.0004821   0.0002756   0.1227926       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.263       1.487     160.200  -0.0001704  -0.0001841   0.1228204      -0.263       1.487       0.000  -0.0001704  -0.0001841   0.1228204       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2       0.097      -1.461     160.200   0.0000375   0.0002135   0.1228043       0.097      -1.461       0.000   0.0000375   0.0002135   0.1228043       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -1      -1.263       0.565     160.200  -0.0006980   0.0000417   0.1228588      -1.263       0.565       0.000  -0.0006980   0.0000417   0.1228588       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  slit    7.0  14.0    -2      -0.005      -1.350     160.200  -0.0001666  -0.0001466   0.1228067      -0.005      -1.350       0.000  -0.0001666  -0.0001466   0.1228067       0.000       0.000     160.200   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
