       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.196695887E-02   0.387044160E-01  -0.614181533E-03   0.695239403E-01   0.170729574E-01   0.710990590E+01   0.260688930E+00   0.580416728E+01   0.265968836E+00   0.591886082E+01   0.102771810E+03   0.584078892E-01   0.629521645E+00   0.139099355E+02   0.637775049E+00   0.142446669E+02   0.179996619E+03   0.101166371E+00   0.167307382E+00   0.174995398E+00   0.977649766E+02
  0.000000000E+00   0.196695887E-02   0.387044160E-01  -0.614181533E-03   0.695239403E-01   0.170729574E-01   0.710990590E+01   0.260688930E+00   0.580416728E+01   0.265968836E+00   0.591886082E+01   0.102771810E+03   0.584078892E-01   0.629521645E+00   0.139099355E+02   0.637775049E+00   0.142446669E+02   0.179996619E+03   0.101166371E+00   0.167307382E+00   0.174995398E+00   0.977649766E+02
  0.000000000E+00   0.196676220E-06   0.387005459E-05  -0.614120121E-07   0.695169886E-05   0.119385655E-01   0.710999999E+01   0.260688929E+00   0.580416727E+01   0.265968836E+00   0.591886078E+01   0.102765878E+03   0.584078877E-01   0.629000131E+00   0.138854725E+02   0.637160867E+00   0.143141908E+02   0.179989624E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.977622287E+02
  0.000000000E+00   0.196676220E-06   0.387005459E-05  -0.614120121E-07   0.695169886E-05   0.252838695E-02   0.710999999E+01   0.260688929E+00   0.580416727E+01   0.265968836E+00   0.591886078E+01   0.104272135E+03   0.584078877E-01   0.629000131E+00   0.138854725E+02   0.637160867E+00   0.143141908E+02   0.179979542E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110222138E+02
  0.000000000E+00   0.196676220E-06   0.387005459E-05  -0.614120121E-07   0.695169886E-05   0.252838695E-02   0.710999999E+01   0.260688929E+00   0.580416727E+01   0.265968836E+00   0.591886078E+01   0.104272135E+03   0.584078877E-01   0.629000131E+00   0.138854725E+02   0.637160867E+00   0.143141908E+02   0.179979542E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110222138E+02
  0.788571429E+01   0.227194364E-06   0.387005459E-05  -0.659290104E-08   0.695169886E-05   0.195076047E-02   0.710999999E+01   0.243566886E+00   0.580416727E+01   0.248984312E+00   0.591886078E+01   0.104272017E+03   0.584078877E-01   0.583640543E+00   0.138854725E+02   0.600432268E+00   0.143141908E+02   0.179977760E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110221701E+02
  0.157714286E+02   0.257712509E-06   0.387005459E-05   0.482262100E-07   0.695169886E-05   0.200138970E-02   0.710999999E+01   0.234266353E+00   0.580416727E+01   0.240008253E+00   0.591886078E+01   0.104271854E+03   0.584078877E-01   0.560080943E+00   0.138854725E+02   0.579237945E+00   0.143141908E+02   0.179990047E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110221740E+02
  0.236571429E+02   0.288230654E-06   0.387005459E-05   0.103045321E-06   0.695169886E-05   0.205201894E-02   0.710999999E+01   0.233722929E+00   0.580416727E+01   0.239941124E+00   0.591886078E+01   0.104271690E+03   0.584078877E-01   0.564922956E+00   0.138854725E+02   0.569497565E+00   0.143141908E+02   0.179998861E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110220986E+02
  0.315428571E+02   0.318748799E-06   0.387005459E-05   0.157864432E-06   0.695169886E-05   0.210264817E-02   0.710999999E+01   0.241995615E+00   0.580416727E+01   0.248790136E+00   0.591886078E+01   0.104271518E+03   0.584078877E-01   0.579056256E+00   0.138854725E+02   0.594651230E+00   0.143141908E+02   0.179967369E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110221025E+02
  0.394285714E+02   0.349266943E-06   0.387005459E-05   0.212683543E-06   0.695169886E-05   0.215327740E-02   0.710999999E+01   0.258238522E+00   0.580416727E+01   0.265665821E+00   0.591886078E+01   0.104271352E+03   0.584078877E-01   0.625467631E+00   0.138854725E+02   0.632406306E+00   0.143141908E+02   0.179979017E+03   0.102489913E+00   0.167307380E+00   0.174995397E+00   0.110221063E+02
