n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.711000E+01  -0.132341E-06   0.260689E+00   0.265969E+00   0.629000E+00   0.637161E+00   0.102766E+03   0.179990E+03   0.584079E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.391049E+03        0.510228E+03        0.601684E+03     0.196676E-06   0.387005E-05  -0.614120E-07   0.695170E-05   0.123790E+00   0.684029E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.126414E-01      0.175959E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.711000E+01  -0.132341E-06   0.260689E+00   0.265969E+00   0.629000E+00   0.637161E+00   0.104272E+03   0.179980E+03   0.584079E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.440889E+02        0.567279E+02        0.668961E+02     0.196676E-06   0.387005E-05  -0.614120E-07   0.695170E-05   0.123790E+00   0.144866E+00   0.503328E+00   0.502825E-01   0.490005E+00   0.500405E-01  -0.796606E-02      0.178530E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.711000E+01  -0.132340E-06   0.309042E+00   0.317825E+00   0.747696E+00   0.766406E+00   0.104271E+03   0.179998E+03   0.584079E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.440884E+02        0.568187E+02        0.670032E+02     0.410303E-06   0.387005E-05   0.322322E-06   0.695170E-05   0.123790E+00   0.165172E+00  -0.872584E+00   0.706654E-01  -0.877962E+00   0.714558E-01  -0.794504E-02      0.178528E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.711000E+01  -0.132340E-06   0.328850E+00   0.338083E+00   0.786446E+00   0.818636E+00   0.104271E+03   0.179990E+03   0.584079E-03      0.669230E+00        0.905696E+00        0.998563E+00        0.699982E+00        0.945126E+00        0.104319E+01        0.440884E+02        0.568187E+02        0.670032E+02     0.429654E-06   0.387005E-05   0.357080E-06   0.695170E-05   0.123790E+00   0.167011E+00  -0.997214E+00   0.800144E-01  -0.100187E+01   0.808549E-01  -0.779715E-02      0.178527E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.711000E+01  -0.132340E-06   0.538702E+00   0.365000E+00   0.129773E+01   0.887070E+00   0.104271E+03   0.179994E+03   0.584079E-03      0.669334E+00        0.905844E+00        0.997625E+00        0.700004E+00        0.944100E+00        0.104320E+01        0.440883E+02        0.568304E+02        0.670170E+02     0.760276E-06   0.221322E-04  -0.233331E-06  -0.513504E-04   0.123790E+00   0.109480E+00  -0.527057E+01   0.214685E+00   0.559949E+00   0.942392E-01  -0.773445E-02      0.178527E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.711000E+01  -0.132340E-06   0.671424E+00   0.345490E+00   0.161319E+01   0.838428E+00   0.104271E+03   0.179998E+03   0.584079E-03      0.669334E+00        0.905844E+00        0.997625E+00        0.700004E+00        0.944100E+00        0.104320E+01        0.440883E+02        0.568034E+02        0.670642E+02     0.981598E-06   0.221322E-04  -0.746835E-06  -0.513504E-04   0.123790E+00   0.156204E+00  -0.661109E+01   0.333501E+00   0.420565E+00   0.844340E-01  -0.801193E-02      0.178527E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.711000E+01  -0.132340E-06   0.736754E+00   0.445693E+00   0.177797E+01   0.107166E+01   0.104270E+03   0.179998E+03   0.584079E-03      0.669291E+00        0.906368E+00        0.100262E+01        0.700048E+00        0.945207E+00        0.104327E+01        0.440878E+02        0.568000E+02        0.671395E+02     0.913199E-06  -0.247713E-04  -0.150293E-05  -0.502427E-05   0.123790E+00   0.132595E+00   0.458322E+01   0.401585E+00  -0.318314E+01   0.140505E+00  -0.864580E-02      0.178528E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.711000E+01  -0.132340E-06   0.652928E+00   0.547584E+00   0.157965E+01   0.132309E+01   0.104270E+03   0.179970E+03   0.584079E-03      0.669291E+00        0.906368E+00        0.100262E+01        0.700048E+00        0.945207E+00        0.104327E+01        0.440877E+02        0.568049E+02        0.671452E+02     0.665486E-06  -0.247713E-04  -0.155317E-05  -0.502427E-05   0.123790E+00   0.106536E+00   0.403525E+01   0.315400E+00  -0.397546E+01   0.212091E+00  -0.865128E-02      0.178527E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.711000E+01  -0.132340E-06   0.579769E+00   0.672633E+00   0.140637E+01   0.162675E+01   0.104269E+03   0.179990E+03   0.584079E-03      0.669211E+00        0.906487E+00        0.100054E+01        0.699957E+00        0.945081E+00        0.104314E+01        0.440872E+02        0.568371E+02        0.672628E+02     0.173344E-06  -0.122770E-04  -0.234368E-05  -0.583040E-04   0.123790E+00   0.222991E+00  -0.986802E+00   0.248710E+00   0.308975E+00   0.320061E+00  -0.909048E-02      0.178526E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.711000E+01  -0.132340E-06   0.591385E+00   0.669469E+00   0.143368E+01   0.161804E+01   0.104269E+03   0.179998E+03   0.584079E-03      0.669211E+00        0.906487E+00        0.100054E+01        0.699957E+00        0.945081E+00        0.104314E+01        0.440872E+02        0.568371E+02        0.672628E+02     0.111959E-06  -0.122770E-04  -0.263520E-05  -0.583040E-04   0.123790E+00   0.223413E+00  -0.102648E+01   0.258777E+00   0.291862E+00   0.317057E+00  -0.894281E-02      0.178526E+04     0.000000E+00    0.100010E+05
  10  drift  0.196900E+01   0.711000E+01  -0.132340E-06   0.682649E+00   0.651477E+00   0.164274E+01   0.157864E+01   0.104268E+03   0.179995E+03   0.584079E-03      0.669211E+00        0.906487E+00        0.100054E+01        0.699957E+00        0.945081E+00        0.104314E+01        0.440860E+02        0.568101E+02        0.674704E+02    -0.338608E-06  -0.122770E-04  -0.477496E-05  -0.583040E-04   0.123790E+00   0.298502E+00  -0.131774E+01   0.344809E+00   0.166249E+00   0.300244E+00  -0.105489E-01      0.178527E+04     0.000000E+00    0.100010E+05
  11  slit   0.196900E+01   0.711003E+01   0.358280E-03   0.614515E+00   0.604598E+00   0.120000E+01   0.119950E+01   0.104349E+03   0.179995E+03   0.583631E-03      0.626831E+00        0.826458E+00        0.102032E+01        0.675683E+00        0.881831E+00        0.105482E+01        0.440826E+02        0.570474E+02        0.675917E+02     0.455282E-04  -0.706191E-02  -0.524946E-02  -0.252778E-03   0.123790E+00   0.129731E+00  -0.114615E+01   0.298306E+00   0.146654E+00   0.267879E+00  -0.168042E-01      0.178818E+04     0.120700E+04    0.879400E+04
